EntryName,Status,Week_1
0Money0-1,Alive,JAC
101-Ways-1,Alive,PIT
10-4goodbuddy-1,Alive,DET
10--FOR-THE-BIG-GUY-1,Alive,DET
13LUCKY-1,Alive,JAC
13LUCKY-2,Alive,PIT
13LUCKY-3,Alive,LV
16th_Floor-1,Alive,LV
16th_Floor-2,Alive,PIT
17billsmafia-1,Alive,PIT
17chuckstump-1,Alive,BAL
17rjakubik-1,Alive,JAC
1958lou-2,Alive,JAC
1abe-1,Alive,JAC
1calloway-1,Alive,PIT
1calloway-2,Alive,JAC
1calloway-3,Alive,JAC
1calloway-4,Alive,LV
1calloway-5,Alive,LV
1Rona-1,Alive,LV
20short-1,Alive,LV
20short-2,Alive,JAC
20short-3,Alive,PIT
21Mill-1,Alive,DET
2baconneggs-1,Alive,JAC
2livebrew-1,Alive,PIT
305Player-1,Alive,JAC
305Player-3,Alive,JAC
39gardener-1,Alive,JAC
3bees-1,Alive,PIT
3jjs-1,Alive,LV
3jjs-2,Alive,PIT
3JS-1,Alive,CHI
3JS-2,Alive,NYG
3mmm-1,Alive,JAC
3mmm-2,Alive,PIT
3mmm-3,Alive,LV
3mmm-4,Alive,NYJ
3mmm-5,Alive,DET
3mmm-6,Alive,JAC
3peatphil-1,Alive,PIT
40THSTREET-1,Alive,LV
426hemi-2,Alive,PIT
4est1-2,Alive,JAC
50commands4sp-1,Alive,JAC
5thStringJV-1,Alive,LV
6picks-1,Alive,JAC
7yrsago-1,Alive,JAC
810ofclubs-1,Alive,NYJ
810ofclubs-2,Alive,PIT
810ofclubs-3,Alive,PIT
810ofclubs-4,Alive,JAC
810ofclubs-5,Alive,JAC
810ofclubs-6,Alive,JAC
810ofclubs-7,Alive,JAC
810ofclubs-8,Alive,JAC
810ofclubs-9,Alive,JAC
810ofclubs-10,Alive,PIT
810ofclubs-11,Alive,PIT
810ofclubs-12,Alive,PHI
810ofclubs-13,Alive,JAC
810ofclubs-16,Alive,PIT
810ofclubs-17,Alive,CHI
810ofclubs-18,Alive,JAC
810ofclubs-19,Alive,JAC
810ofclubs-20,Alive,PIT
810ofclubs-21,Alive,JAC
810ofclubs-23,Alive,PIT
810ofclubs-24,Alive,PIT
810ofclubs-25,Alive,LV
810ofclubs-27,Alive,JAC
810ofclubs-28,Alive,PIT
810ofclubs-29,Alive,LV
810ofclubs-30,Alive,PIT
810ofclubs-32,Alive,JAC
810ofclubs-33,Alive,JAC
810ofclubs-34,Alive,CIN
810ofclubs-35,Alive,PIT
810ofclubs-36,Alive,JAC
810ofclubs-37,Alive,PIT
810ofclubs-38,Alive,PIT
810ofclubs-39,Alive,PIT
810ofclubs-41,Alive,JAC
810ofclubs-44,Alive,MIN
810ofclubs-45,Alive,CHI
810ofclubs-46,Alive,JAC
810ofclubs-47,Alive,PIT
810ofclubs-48,Alive,LV
810ofclubs-49,Alive,PIT
810ofclubs-50,Alive,DET
810ofclubs-51,Alive,JAC
810ofclubs-52,Alive,JAC
810ofclubs-55,Alive,PIT
810ofclubs-61,Alive,JAC
810ofclubs-62,Alive,PIT
810ofclubs-63,Alive,PIT
810ofclubs-64,Alive,JAC
810ofclubs-66,Alive,PIT
810ofclubs-67,Alive,JAC
810ofclubs-68,Alive,PIT
810ofclubs-69,Alive,DET
810ofclubs-70,Alive,JAC
810ofclubs-71,Alive,DET
810ofclubs-72,Alive,DET
810ofclubs-74,Alive,JAC
810ofclubs-75,Alive,PIT
810ofclubs-76,Alive,JAC
810ofclubs-77,Alive,DET
810ofclubs-79,Alive,PIT
810ofclubs-80,Alive,JAC
810ofclubs-81,Alive,PIT
810ofclubs-82,Alive,PIT
810ofclubs-83,Alive,PIT
810ofclubs-84,Alive,PIT
810ofclubs-85,Alive,PHI
810ofclubs-86,Alive,DET
810ofclubs-88,Alive,PIT
810ofclubs-90,Alive,JAC
810ofclubs-92,Alive,JAC
810ofclubs-93,Alive,PHI
810ofclubs-94,Alive,JAC
810ofclubs-95,Alive,PIT
810ofclubs-96,Alive,DET
810ofclubs-97,Alive,JAC
810ofclubs-98,Alive,JAC
810ofclubs-101,Alive,JAC
810ofclubs-102,Alive,PHI
810ofclubs-103,Alive,DET
810ofclubs-104,Alive,PIT
810ofclubs-108,Alive,CIN
810ofclubs-110,Alive,JAC
810ofclubs-111,Alive,DET
810ofclubs-112,Alive,CHI
810ofclubs-113,Alive,JAC
810ofclubs-114,Alive,DET
810ofclubs-116,Alive,PIT
810ofclubs-117,Alive,JAC
810ofclubs-118,Alive,DET
810ofclubs-119,Alive,LV
810ofclubs-120,Alive,PIT
810ofclubs-121,Alive,PHI
810ofclubs-122,Alive,PIT
810ofclubs-123,Alive,PIT
810ofclubs-124,Alive,JAC
810ofclubs-125,Alive,JAC
810ofclubs-126,Alive,MIN
810ofclubs-127,Alive,PIT
810ofclubs-128,Alive,DET
810ofclubs-130,Alive,PIT
810ofclubs-135,Alive,CHI
810ofclubs-136,Alive,CIN
810ofclubs-137,Alive,PHI
810ofclubs-138,Alive,JAC
810ofclubs-140,Alive,JAC
810ofclubs-142,Alive,CHI
810ofclubs-143,Alive,CIN
810ofclubs-144,Alive,JAC
810ofclubs-145,Alive,CHI
810ofclubs-147,Alive,JAC
810ofclubs-148,Alive,PHI
8-18feds-1,Alive,JAC
888-697-1,Alive,PIT
9135david-1,Alive,DET
99problems53-1,Alive,LV
AAABGTX1-1,Alive,DET
AAC_lucc-1,Alive,DET
aa-irony-1,Alive,PIT
aamirrajani-1,Alive,JAC
AAOA2026-1,Alive,PIT
AAOA2026-2,Alive,PIT
AAOA2026-3,Alive,PIT
AAOA2026-4,Alive,PIT
AAOA2026-5,Alive,LV
AAOA2026-6,Alive,JAC
AAOA2026-7,Alive,NYJ
AAOA2026-8,Alive,LV
AAOA2026-9,Alive,PIT
AAOA2026-10,Alive,JAC
aarmst53-2,Alive,DET
aarmst53-3,Alive,DET
aarmst53-6,Alive,JAC
aarmst53-7,Alive,DET
aaron-Bliven-1,Alive,PIT
AARONLIPPMAN-1,Alive,PIT
AaronW850-1,Alive,LV
aayer-1,Alive,JAC
aazi-1,Alive,CHI
aazi-2,Alive,DET
aazi-3,Alive,BAL
Abaco21-1,Alive,JAC
Abaco21-2,Alive,PIT
Abaco21-4,Alive,LV
abarto3-1,Alive,JAC
abbq-1,Alive,BAL
