EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
0Money0-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
101-Ways-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
10-4goodbuddy-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
10--FOR-THE-BIG-GUY-1,Eliminated,DET,TB,63.3,6.7,96.0,94.5,41.3,61.9,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
13LUCKY-1,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
13LUCKY-2,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
13LUCKY-3,Eliminated,LV,TB,45.2,5.1,82.7,86.6,62.8,15.6,2,Sprinter,Sprinter (87) / EV Hunter (83),Medium
16th_Floor-1,Eliminated,LV,LAC,56.2,8.3,85.1,87.4,50.5,66.1,2,Sprinter,Sprinter (87) / EV Hunter (85),Medium
16th_Floor-2,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
17billsmafia-1,Alive,PIT,BUF,74.7,22.9,87.2,86.4,27.0,69.5,2,EV Hunter,EV Hunter (87) / Sprinter (86) / Planner (75),Medium
17chuckstump-1,Alive,BAL,SF,92.2,20.8,82.8,82.8,11.8,67.8,2,Planner,Planner (92) / EV Hunter (83) / Sprinter (83),Medium
17rjakubik-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
1958lou-2,Eliminated,JAC,BAL,79.8,6.9,86.6,97.6,21.5,61.0,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
1abe-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
1calloway-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
1calloway-2,Alive,JAC,NE,71.5,13.3,78.5,90.3,39.3,22.0,2,Sprinter,Sprinter (90) / EV Hunter (78),Medium
1calloway-3,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
1calloway-4,Alive,LV,SF,69.2,6.7,85.9,89.1,36.2,11.4,2,Sprinter,Sprinter (89) / EV Hunter (86),Medium
1calloway-5,Eliminated,LV,TB,45.2,5.1,82.7,86.6,62.8,15.6,2,Sprinter,Sprinter (87) / EV Hunter (83),Medium
1Rona-1,Eliminated,LV,TB,45.2,5.1,82.7,86.6,62.8,15.6,2,Sprinter,Sprinter (87) / EV Hunter (83),Medium
20short-1,Eliminated,LV,LAC,56.2,8.3,85.1,87.4,50.5,66.1,2,Sprinter,Sprinter (87) / EV Hunter (85),Medium
20short-2,Eliminated,JAC,BAL,79.8,6.9,86.6,97.6,21.5,61.0,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
20short-3,Alive,PIT,DAL,56.7,13.2,86.4,83.6,50.2,20.6,2,EV Hunter,EV Hunter (86) / Sprinter (84),Medium
21Mill-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
2baconneggs-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
2livebrew-1,Eliminated,PIT,LAC,62.2,6.8,96.1,93.7,42.1,15.1,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
305Player-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
305Player-3,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
39gardener-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
3bees-1,Alive,PIT,PHI,74.0,8.4,91.2,87.2,33.5,16.6,2,EV Hunter,EV Hunter (91) / Sprinter (87),Medium
