EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
* THE NUT SQUIRRELS-1,18,KC,TEN,CLE,LAR,ARI,IND,BUF,PHI,PIT,GB,LAC,HOU,MIA,MIN,SEA,BAL,TB,WAS,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
7- Out-1,18,NE,TEN,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,HOU,NYG,MIN,SEA,ARI,CHI,CLE,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Artie Blanco-1,18,BUF,TB,CLE,LAR,DAL,MIA,NO,KC,PIT,GB,LAC,HOU,NYG,MIN,SEA,TEN,BAL,IND,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
BALD RAZORS-2,18,BUF,ARI,CLE,TB,LAR,IND,LAC,PHI,KC,GB,PIT,HOU,NYG,MIA,SEA,TEN,BAL,NO,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
BOBBYT-2,18,BUF,SEA,CLE,LAR,BAL,MIA,LAC,PHI,KC,GB,PIT,HOU,NYG,MIN,TB,TEN,NO,IND,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
BOYCOTT 8 PCT-4,18,KC,TEN,CLE,LAR,HOU,MIA,NO,PHI,PIT,GB,LAC,WAS,NYG,MIN,SEA,BAL,TB,IND,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
CLARKGRIZWOLD-2,18,BUF,TEN,IND,LAR,BAL,MIA,LAC,PHI,PIT,NO,KC,HOU,CLE,MIN,SEA,GB,TB,WAS,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
COLTS45-2,18,PIT,GB,IND,LAR,NO,MIA,PHI,TB,NE,CLE,LAC,HOU,BUF,LV,SEA,BAL,KC,TEN,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
DaliBones-1,18,KC,CHI,CLE,LAR,DAL,IND,BUF,PHI,PIT,NO,LAC,WAS,GB,MIA,SEA,BAL,TB,TEN,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
EX-FINANCE-1,18,KC,TEN,IND,LAR,ARI,MIA,BUF,TB,PIT,GB,LAC,HOU,NO,MIN,SEA,BAL,CHI,CLE,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
Golfing in Hell-2,18,BUF,TB,IND,LAR,HOU,MIA,NO,PHI,PIT,GB,LAC,WAS,CLE,MIN,SEA,TEN,KC,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
JakestroJans-1,18,TEN,PIT,TB,LAR,ARI,MIA,LAC,PHI,GB,NO,KC,HOU,CLE,LV,SEA,BAL,CHI,IND,100.0,35.9,71.9,71.9,20.2,60.2,1,Planner,Planner (100),Low
Joncon16-1,18,NE,CLE,IND,LAR,ARI,BAL,PHI,BUF,PIT,GB,LAC,HOU,NYG,MIA,SEA,TEN,KC,WAS,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
LoveMyBaxter-1,18,BAL,CLE,IND,LAR,PIT,MIA,BUF,KC,GB,NO,LAC,HOU,NYG,MIN,SEA,TEN,TB,WAS,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
LoveMyBaxter-2,18,BAL,CLE,IND,LAR,PIT,MIA,BUF,KC,GB,NO,LAC,HOU,NYG,MIN,SEA,TEN,TB,WAS,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
MK INVEST-1,18,BUF,ARI,CLE,LAR,NO,MIA,KC,PHI,PIT,TB,LAC,HOU,NYG,LV,SEA,TEN,BAL,IND,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Mucked Nuts.-1,18,KC,PIT,NE,TB,LAR,IND,BUF,PHI,TEN,NO,LAC,HOU,GB,MIA,SEA,ARI,CHI,BAL,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
Pauline Park-4,18,BUF,SF,IND,LAR,NO,BAL,LAC,PHI,PIT,GB,KC,HOU,CLE,MIA,SEA,TEN,TB,WAS,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
PICKSWCLARS24-1,18,BUF,TB,CLE,LAR,ARI,MIA,LAC,PHI,NE,GB,PIT,HOU,NYG,MIN,SEA,TEN,KC,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
PLAYIN N STAYIN-1,18,BUF,TB,IND,LAR,BAL,MIA,NO,KC,NE,CLE,PIT,WAS,NYG,LV,SEA,GB,CHI,TEN,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
pointsonthepackage-1,18,PIT,TB,IND,LAR,ARI,MIA,BUF,PHI,NE,GB,LAC,HOU,CLE,MIN,SEA,TEN,KC,BAL,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
