Year,Week,Calendar Date,Home Team,Away Team,Winner/tie,Loser/tie,PtsW,PtsL
2010,1,2010-09-09,NO,MIN,NO,MIN,14.0,9.0
2010,1,2010-09-12,BUF,MIA,MIA,BUF,15.0,10.0
2010,1,2010-09-12,CHI,DET,CHI,DET,19.0,14.0
2010,1,2010-09-12,HOU,IND,HOU,IND,34.0,24.0
2010,1,2010-09-12,JAX,DEN,JAX,DEN,24.0,17.0
2010,1,2010-09-12,NE,CIN,NE,CIN,38.0,24.0
2010,1,2010-09-12,NYG,CAR,NYG,CAR,31.0,18.0
2010,1,2010-09-12,PIT,ATL,PIT,ATL,15.0,9.0
2010,1,2010-09-12,TB,CLE,TB,CLE,17.0,14.0
2010,1,2010-09-12,TEN,OAK,TEN,OAK,38.0,13.0
2010,1,2010-09-12,PHI,GB,GB,PHI,27.0,20.0
2010,1,2010-09-12,SEA,SF,SEA,SF,31.0,6.0
2010,1,2010-09-12,STL,ARI,ARI,STL,17.0,13.0
2010,1,2010-09-12,WSH,DAL,WSH,DAL,13.0,7.0
2010,1,2010-09-13,NYJ,BAL,BAL,NYJ,10.0,9.0
2010,1,2010-09-13,KC,SD,KC,SD,21.0,14.0
2010,2,2010-09-19,ATL,ARI,ATL,ARI,41.0,7.0
2010,2,2010-09-19,CAR,TB,TB,CAR,20.0,7.0
2010,2,2010-09-19,CIN,BAL,CIN,BAL,15.0,10.0
2010,2,2010-09-19,CLE,KC,KC,CLE,16.0,14.0
2010,2,2010-09-19,DAL,CHI,CHI,DAL,27.0,20.0
2010,2,2010-09-19,DET,PHI,PHI,DET,35.0,32.0
2010,2,2010-09-19,GB,BUF,GB,BUF,34.0,7.0
2010,2,2010-09-19,MIN,MIA,MIA,MIN,14.0,10.0
2010,2,2010-09-19,TEN,PIT,PIT,TEN,19.0,11.0
2010,2,2010-09-19,DEN,SEA,DEN,SEA,31.0,14.0
2010,2,2010-09-19,OAK,STL,OAK,STL,16.0,14.0
2010,2,2010-09-19,NYJ,NE,NYJ,NE,28.0,14.0
2010,2,2010-09-19,SD,JAX,SD,JAX,38.0,13.0
2010,2,2010-09-19,WSH,HOU,HOU,WSH,30.0,27.0
2010,2,2010-09-19,IND,NYG,IND,NYG,38.0,14.0
2010,2,2010-09-20,SF,NO,NO,SF,25.0,22.0
2010,3,2010-09-26,BAL,CLE,BAL,CLE,24.0,17.0
2010,3,2010-09-26,CAR,CIN,CIN,CAR,20.0,7.0
2010,3,2010-09-26,HOU,DAL,DAL,HOU,27.0,13.0
2010,3,2010-09-26,KC,SF,KC,SF,31.0,10.0
2010,3,2010-09-26,MIN,DET,MIN,DET,24.0,10.0
2010,3,2010-09-26,NE,BUF,NE,BUF,38.0,30.0
2010,3,2010-09-26,NO,ATL,ATL,NO,27.0,24.0
2010,3,2010-09-26,NYG,TEN,TEN,NYG,29.0,10.0
2010,3,2010-09-26,TB,PIT,PIT,TB,38.0,13.0
2010,3,2010-09-26,JAX,PHI,PHI,JAX,28.0,3.0
2010,3,2010-09-26,STL,WSH,STL,WSH,30.0,16.0
2010,3,2010-09-26,ARI,OAK,ARI,OAK,24.0,23.0
2010,3,2010-09-26,DEN,IND,IND,DEN,27.0,13.0
2010,3,2010-09-26,SEA,SD,SEA,SD,27.0,20.0
2010,3,2010-09-26,MIA,NYJ,NYJ,MIA,31.0,23.0
2010,3,2010-09-27,CHI,GB,CHI,GB,20.0,17.0
2010,4,2010-10-03,ATL,SF,ATL,SF,16.0,14.0
2010,4,2010-10-03,BUF,NYJ,NYJ,BUF,38.0,14.0
2010,4,2010-10-03,CLE,CIN,CLE,CIN,23.0,20.0
2010,4,2010-10-03,GB,DET,GB,DET,28.0,26.0
2010,4,2010-10-03,NO,CAR,NO,CAR,16.0,14.0
2010,4,2010-10-03,PIT,BAL,BAL,PIT,17.0,14.0
2010,4,2010-10-03,STL,SEA,STL,SEA,20.0,3.0
2010,4,2010-10-03,TEN,DEN,DEN,TEN,26.0,20.0
2010,4,2010-10-03,JAX,IND,JAX,IND,31.0,28.0
2010,4,2010-10-03,OAK,HOU,HOU,OAK,31.0,24.0
2010,4,2010-10-03,PHI,WSH,WSH,PHI,17.0,12.0
2010,4,2010-10-03,SD,ARI,SD,ARI,41.0,10.0
2010,4,2010-10-03,NYG,CHI,NYG,CHI,17.0,3.0
2010,4,2010-10-04,MIA,NE,NE,MIA,41.0,14.0
2010,5,2010-10-10,BAL,DEN,BAL,DEN,31.0,17.0
2010,5,2010-10-10,BUF,JAX,JAX,BUF,36.0,26.0
2010,5,2010-10-10,CAR,CHI,CHI,CAR,23.0,6.0
2010,5,2010-10-10,CIN,TB,TB,CIN,24.0,21.0
2010,5,2010-10-10,CLE,ATL,ATL,CLE,20.0,10.0
2010,5,2010-10-10,DET,STL,DET,STL,44.0,6.0
2010,5,2010-10-10,HOU,NYG,NYG,HOU,34.0,10.0
2010,5,2010-10-10,IND,KC,IND,KC,19.0,9.0
2010,5,2010-10-10,WSH,GB,WSH,GB,16.0,13.0
2010,5,2010-10-10,ARI,NO,ARI,NO,30.0,20.0
2010,5,2010-10-10,DAL,TEN,TEN,DAL,34.0,27.0
2010,5,2010-10-10,OAK,SD,OAK,SD,35.0,27.0
2010,5,2010-10-10,SF,PHI,PHI,SF,27.0,24.0
2010,5,2010-10-11,NYJ,MIN,NYJ,MIN,29.0,20.0
2010,6,2010-10-17,CHI,SEA,SEA,CHI,23.0,20.0
2010,6,2010-10-17,GB,MIA,MIA,GB,23.0,20.0
2010,6,2010-10-17,HOU,KC,HOU,KC,35.0,31.0
2010,6,2010-10-17,NE,BAL,NE,BAL,23.0,20.0
2010,6,2010-10-17,NYG,DET,NYG,DET,28.0,20.0
2010,6,2010-10-17,PHI,ATL,PHI,ATL,31.0,17.0
2010,6,2010-10-17,PIT,CLE,PIT,CLE,28.0,10.0
2010,6,2010-10-17,STL,SD,STL,SD,20.0,17.0
2010,6,2010-10-17,TB,NO,NO,TB,31.0,6.0
2010,6,2010-10-17,DEN,NYJ,NYJ,DEN,24.0,20.0
2010,6,2010-10-17,SF,OAK,SF,OAK,17.0,9.0
2010,6,2010-10-17,MIN,DAL,MIN,DAL,24.0,21.0
2010,6,2010-10-17,WSH,IND,IND,WSH,27.0,24.0
2010,6,2010-10-18,JAX,TEN,TEN,JAX,30.0,3.0
2010,7,2010-10-24,ATL,CIN,ATL,CIN,39.0,32.0
2010,7,2010-10-24,BAL,BUF,BAL,BUF,37.0,34.0
2010,7,2010-10-24,CAR,SF,CAR,SF,23.0,20.0
2010,7,2010-10-24,CHI,WSH,WSH,CHI,17.0,14.0
2010,7,2010-10-24,KC,JAX,KC,JAX,42.0,20.0
2010,7,2010-10-24,MIA,PIT,PIT,MIA,23.0,22.0
2010,7,2010-10-24,NO,CLE,CLE,NO,30.0,17.0
2010,7,2010-10-24,TB,STL,TB,STL,18.0,17.0
2010,7,2010-10-24,TEN,PHI,TEN,PHI,37.0,19.0
2010,7,2010-10-24,SEA,ARI,SEA,ARI,22.0,10.0
2010,7,2010-10-24,DEN,OAK,OAK,DEN,59.0,14.0
2010,7,2010-10-24,SD,NE,NE,SD,23.0,20.0
2010,7,2010-10-24,GB,MIN,GB,MIN,28.0,24.0
2010,7,2010-10-25,DAL,NYG,NYG,DAL,41.0,35.0
2010,8,2010-10-31,CIN,MIA,MIA,CIN,22.0,14.0
2010,8,2010-10-31,DAL,JAX,JAX,DAL,35.0,17.0
2010,8,2010-10-31,DET,WSH,DET,WSH,37.0,25.0
2010,8,2010-10-31,KC,BUF,KC,BUF,13.0,10.0
2010,8,2010-10-31,NYJ,GB,GB,NYJ,9.0,0.0
2010,8,2010-10-31,SF,DEN,SF,DEN,24.0,16.0
2010,8,2010-10-31,STL,CAR,STL,CAR,20.0,10.0
2010,8,2010-10-31,SD,TEN,SD,TEN,33.0,25.0
2010,8,2010-10-31,ARI,TB,TB,ARI,38.0,35.0
2010,8,2010-10-31,NE,MIN,NE,MIN,28.0,18.0
2010,8,2010-10-31,OAK,SEA,OAK,SEA,33.0,3.0
2010,8,2010-10-31,NO,PIT,NO,PIT,20.0,10.0
2010,8,2010-11-01,IND,HOU,IND,HOU,30.0,17.0
2010,9,2010-11-07,ATL,TB,ATL,TB,27.0,21.0
2010,9,2010-11-07,BAL,MIA,BAL,MIA,26.0,10.0
2010,9,2010-11-07,BUF,CHI,CHI,BUF,22.0,19.0
2010,9,2010-11-07,CAR,NO,NO,CAR,34.0,3.0
2010,9,2010-11-07,CLE,NE,CLE,NE,34.0,14.0
2010,9,2010-11-07,DET,NYJ,NYJ,DET,23.0,20.0
2010,9,2010-11-07,HOU,SD,SD,HOU,29.0,23.0
2010,9,2010-11-07,MIN,ARI,MIN,ARI,27.0,24.0
2010,9,2010-11-07,SEA,NYG,NYG,SEA,41.0,7.0
2010,9,2010-11-07,OAK,KC,OAK,KC,23.0,20.0
2010,9,2010-11-07,PHI,IND,PHI,IND,26.0,24.0
2010,9,2010-11-07,GB,DAL,GB,DAL,45.0,7.0
2010,9,2010-11-08,CIN,PIT,PIT,CIN,27.0,21.0
2010,10,2010-11-11,ATL,BAL,ATL,BAL,26.0,21.0
2010,10,2010-11-14,BUF,DET,BUF,DET,14.0,12.0
2010,10,2010-11-14,CHI,MIN,CHI,MIN,27.0,13.0
2010,10,2010-11-14,CLE,NYJ,NYJ,CLE,26.0,20.0
2010,10,2010-11-14,IND,CIN,IND,CIN,23.0,17.0
2010,10,2010-11-14,JAX,HOU,JAX,HOU,31.0,24.0
2010,10,2010-11-14,MIA,TEN,MIA,TEN,29.0,17.0
2010,10,2010-11-14,TB,CAR,TB,CAR,31.0,16.0
2010,10,2010-11-14,DEN,KC,DEN,KC,49.0,29.0
2010,10,2010-11-14,ARI,SEA,SEA,ARI,36.0,18.0
2010,10,2010-11-14,NYG,DAL,DAL,NYG,33.0,20.0
2010,10,2010-11-14,SF,STL,SF,STL,23.0,20.0
2010,10,2010-11-14,PIT,NE,NE,PIT,39.0,26.0
2010,10,2010-11-15,WSH,PHI,PHI,WSH,59.0,28.0
2010,11,2010-11-18,MIA,CHI,CHI,MIA,16.0,0.0
2010,11,2010-11-21,CAR,BAL,BAL,CAR,37.0,13.0
2010,11,2010-11-21,CIN,BUF,BUF,CIN,49.0,31.0
2010,11,2010-11-21,DAL,DET,DAL,DET,35.0,19.0
2010,11,2010-11-21,JAX,CLE,JAX,CLE,24.0,20.0
2010,11,2010-11-21,KC,ARI,KC,ARI,31.0,13.0
2010,11,2010-11-21,MIN,GB,GB,MIN,31.0,3.0
2010,11,2010-11-21,NYJ,HOU,NYJ,HOU,30.0,27.0
2010,11,2010-11-21,PIT,OAK,PIT,OAK,35.0,3.0
2010,11,2010-11-21,TEN,WSH,WSH,TEN,19.0,16.0
2010,11,2010-11-21,NO,SEA,NO,SEA,34.0,19.0
2010,11,2010-11-21,SF,TB,TB,SF,21.0,0.0
2010,11,2010-11-21,STL,ATL,ATL,STL,34.0,17.0
2010,11,2010-11-21,NE,IND,NE,IND,31.0,28.0
2010,11,2010-11-21,PHI,NYG,PHI,NYG,27.0,17.0
2010,11,2010-11-22,SD,DEN,SD,DEN,35.0,14.0
2010,12,2010-11-25,DET,NE,NE,DET,45.0,24.0
2010,12,2010-11-25,DAL,NO,NO,DAL,30.0,27.0
2010,12,2010-11-25,NYJ,CIN,NYJ,CIN,26.0,10.0
