EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.13,68.0%,1.9%,NO,MIN,4.5,2010,1
1.12,71.7%,10.7%,CHI,DET,1.0,2010,1
1.12,71.7%,10.5%,NYG,CAR,3.0,2010,1
1.1,66.5%,1.3%,NE,CIN,3.5,2010,1
1.07,65.6%,3.6%,ARI,STL,0.5,2010,1
1.04,63.1%,1.6%,DAL,WAS,2.5,2010,1
1.0,60.0%,1.1%,TB,CLE,1.0,2010,1
0.99,60.0%,1.7%,GB,PHI,4.0,2010,1
0.98,66.5%,16.5%,SD,KC,5.0,2010,1
0.96,60.0%,5.0%,SF,SEA,2.0,2010,1
0.96,71.7%,32.6%,TEN,OAK,1.5,2010,1
0.94,56.4%,0.4%,JAX,DEN,0.5,2010,1
0.94,60.0%,8.1%,MIA,BUF,1.0,2010,1
0.93,56.4%,1.7%,IND,HOU,3.5,2010,1
0.92,55.3%,0.6%,ATL,PIT,3.0,2010,1
0.91,54.2%,0.2%,NYJ,BAL,2.5,2010,1
0.77,45.8%,0.2%,BAL,NYJ,4.0,2010,1
0.75,44.7%,0.2%,PIT,ATL,3.5,2010,1
0.74,43.6%,0.0%,HOU,IND,1.5,2010,1
0.73,40.0%,0.1%,BUF,MIA,0.0,2010,1
0.73,43.6%,0.3%,DEN,JAX,1.0,2010,1
0.71,28.3%,0.1%,OAK,TEN,1.0,2010,1
0.71,40.0%,0.1%,SEA,SF,0.5,2010,1
0.69,33.5%,0.1%,KC,SD,2.0,2010,1
0.68,40.0%,0.0%,PHI,GB,3.0,2010,1
0.67,40.0%,0.7%,CLE,TB,0.5,2010,1
0.63,36.9%,0.1%,WAS,DAL,0.5,2010,1
0.6,34.4%,0.2%,STL,ARI,0.5,2010,1
0.57,33.5%,0.1%,CIN,NE,1.0,2010,1
0.55,28.3%,0.0%,CAR,NYG,0.5,2010,1
0.55,28.3%,0.2%,DET,CHI,0.5,2010,1
0.55,32.0%,0.2%,MIN,NO,1.5,2010,1
1.13,74.1%,3.1%,SD,JAX,5.0,2010,2
1.1,74.1%,7.2%,DAL,CHI,2.0,2010,2
1.09,74.1%,8.5%,PHI,DET,2.5,2010,2
1.07,71.7%,5.3%,ATL,ARI,3.0,2010,2
1.05,69.3%,2.7%,MIN,MIA,1.5,2010,2
1.05,68.0%,0.6%,TEN,PIT,1.5,2010,2
1.03,66.5%,0.6%,IND,NYG,3.5,2010,2
1.02,68.0%,5.0%,NO,SF,4.5,2010,2
0.99,84.7%,57.3%,GB,BUF,3.5,2010,2
0.98,63.1%,0.4%,DEN,SEA,1.0,2010,2
0.96,63.1%,2.1%,OAK,STL,0.5,2010,2
0.95,60.0%,0.1%,CLE,KC,0.5,2010,2
0.93,60.0%,0.7%,NE,NYJ,3.5,2010,2
0.92,60.0%,1.3%,CAR,TB,0.0,2010,2
0.87,56.4%,0.6%,BAL,CIN,4.0,2010,2
0.86,56.4%,1.3%,HOU,WAS,1.5,2010,2
0.69,43.6%,0.1%,WAS,HOU,0.5,2010,2
0.68,43.6%,0.1%,CIN,BAL,1.0,2010,2
0.63,40.0%,0.1%,TB,CAR,1.0,2010,2
0.63,40.0%,0.0%,NYJ,NE,3.0,2010,2
0.6,40.0%,2.2%,KC,CLE,2.5,2010,2
0.59,36.9%,0.3%,STL,OAK,0.5,2010,2
0.57,36.9%,0.2%,SEA,DEN,0.5,2010,2
0.56,15.3%,0.0%,BUF,GB,0.0,2010,2
0.54,32.0%,0.0%,SF,NO,2.5,2010,2
0.52,33.5%,0.0%,NYG,IND,3.5,2010,2
0.5,32.0%,0.0%,PIT,TEN,4.0,2010,2
0.5,30.7%,0.0%,MIA,MIN,1.0,2010,2
0.48,28.3%,0.1%,ARI,ATL,1.0,2010,2
0.46,25.9%,0.1%,DET,PHI,0.5,2010,2
0.45,25.9%,0.0%,CHI,DAL,1.5,2010,2
0.42,25.9%,0.0%,JAX,SD,1.0,2010,2
1.15,84.2%,7.9%,MIN,DET,1.0,2010,3
1.05,83.2%,23.3%,BAL,CLE,3.5,2010,3
1.0,87.2%,52.9%,NE,BUF,3.0,2010,3
0.97,69.3%,0.9%,IND,DEN,3.5,2010,3
0.97,69.0%,0.9%,ARI,OAK,0.5,2010,3
0.9,67.1%,6.5%,WAS,STL,0.0,2010,3
0.9,64.0%,0.9%,SD,SEA,5.0,2010,3
0.86,60.8%,0.5%,NO,ATL,4.5,2010,3
0.85,60.0%,0.2%,NYG,TEN,3.5,2010,3
0.84,60.8%,2.3%,CIN,CAR,1.0,2010,3
0.82,58.3%,0.4%,GB,CHI,3.5,2010,3
0.81,57.8%,0.6%,SF,KC,2.0,2010,3
0.81,57.8%,0.6%,PIT,TB,4.0,2010,3
0.79,56.4%,0.4%,HOU,DAL,1.5,2010,3
0.79,56.4%,0.6%,PHI,JAX,2.5,2010,3
0.78,55.2%,0.1%,MIA,NYJ,1.0,2010,3
0.63,44.8%,0.1%,NYJ,MIA,3.0,2010,3
0.62,43.6%,0.0%,JAX,PHI,1.0,2010,3
0.62,43.6%,0.1%,DAL,HOU,2.5,2010,3
0.6,42.2%,0.1%,TB,PIT,1.0,2010,3
0.6,42.2%,0.3%,KC,SF,2.5,2010,3
0.59,41.7%,0.1%,CHI,GB,1.5,2010,3
0.57,39.2%,0.0%,CAR,CIN,0.0,2010,3
0.57,40.0%,0.0%,TEN,NYG,1.5,2010,3
0.56,39.2%,0.0%,ATL,NO,3.5,2010,3
0.52,36.0%,0.0%,SEA,SD,0.5,2010,3
0.51,32.9%,0.0%,STL,WAS,1.0,2010,3
0.44,31.0%,0.1%,OAK,ARI,0.5,2010,3
0.44,30.7%,0.0%,DEN,IND,1.0,2010,3
0.42,12.8%,0.0%,BUF,NE,0.0,2010,3
0.36,16.8%,0.0%,CLE,BAL,0.5,2010,3
0.26,15.8%,0.1%,DET,MIN,0.5,2010,3
1.19,87.9%,11.7%,GB,DET,3.0,2010,4
1.1,81.0%,7.6%,SD,ARI,5.0,2010,4
1.0,85.3%,46.0%,NO,CAR,4.5,2010,4
0.99,73.8%,6.8%,IND,JAX,3.5,2010,4
0.99,71.8%,1.0%,TEN,DEN,1.0,2010,4
0.96,71.9%,7.6%,ATL,SF,3.0,2010,4
0.94,67.9%,1.2%,PHI,WAS,2.5,2010,4
0.92,69.3%,9.2%,NYJ,BUF,3.0,2010,4
0.89,64.0%,0.1%,NYG,CHI,3.5,2010,4
0.87,64.5%,4.3%,HOU,OAK,1.5,2010,4
0.79,56.6%,0.2%,PIT,BAL,4.5,2010,4
0.77,56.8%,2.7%,CIN,CLE,1.0,2010,4
0.76,55.2%,0.7%,SEA,STL,0.5,2010,4
