EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.15,78.8%,10.6%,TB,DAL,4.5,2021,1
1.06,71.3%,4.2%,BUF,PIT,4.0,2021,1
1.04,76.4%,21.8%,LAR,CHI,2.5,2021,1
1.04,78.2%,27.6%,SF,DET,3.0,2021,1
1.01,67.8%,4.5%,KC,CLE,5.0,2021,1
0.94,62.2%,1.4%,ATL,PHI,0.5,2021,1
0.94,62.8%,2.6%,GB,NO,2.0,2021,1
0.94,62.2%,1.8%,BAL,LV,3.0,2021,1
0.93,61.8%,1.0%,NE,MIA,1.5,2021,1
0.92,61.5%,3.6%,JAX,HOU,0.5,2021,1
0.89,59.5%,2.1%,SEA,IND,2.0,2021,1
0.89,62.4%,10.0%,CAR,NYJ,0.5,2021,1
0.87,58.1%,2.7%,MIN,CIN,1.0,2021,1
0.86,57.0%,1.5%,DEN,NYG,2.0,2021,1
0.86,57.0%,1.4%,TEN,ARI,2.0,2021,1
0.84,54.8%,0.4%,WAS,LAC,0.5,2021,1
0.69,45.2%,0.7%,LAC,WAS,1.5,2021,1
0.66,43.0%,0.1%,ARI,TEN,1.5,2021,1
0.66,43.0%,0.3%,NYG,DEN,0.5,2021,1
0.65,41.9%,0.1%,CIN,MIN,0.0,2021,1
0.64,37.6%,0.1%,NYJ,CAR,0.0,2021,1
0.63,40.5%,0.0%,IND,SEA,2.5,2021,1
0.61,38.5%,0.3%,HOU,JAX,0.0,2021,1
0.59,38.2%,0.2%,MIA,NE,2.0,2021,1
0.58,37.8%,0.2%,LV,BAL,0.5,2021,1
0.58,37.2%,0.0%,NO,GB,1.5,2021,1
0.58,37.8%,0.3%,PHI,ATL,0.0,2021,1
0.52,32.2%,0.0%,CLE,KC,3.0,2021,1
0.48,21.8%,0.1%,DET,SF,0.0,2021,1
0.48,23.6%,0.0%,CHI,LAR,0.5,2021,1
0.46,28.7%,0.1%,PIT,BUF,1.5,2021,1
0.37,21.2%,0.1%,DAL,TB,2.0,2021,1
