EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.11,73.5%,8.0%,CIN,PIT,2.5,2022,1
1.07,71.3%,8.7%,SF,CHI,2.5,2022,1
1.06,68.2%,1.7%,KC,ARI,3.0,2022,1
1.05,68.5%,4.4%,PHI,DET,2.5,2022,1
1.02,71.6%,16.5%,IND (tie),HOU,2.5,2022,1
1.02,69.7%,12.0%,DEN,SEA,2.5,2022,1
1.02,66.9%,5.2%,NO,ATL,1.0,2022,1
1.00,70.9%,18.3%,BAL,NYJ,2.5,2022,1
0.99,68.2%,13.4%,TEN,NYG,1.5,2022,1
0.98,63.0%,0.6%,LAC,LV,3.0,2022,1
0.92,59.0%,1.2%,MIA,NE,1.5,2022,1
0.91,59.1%,2.6%,WAS,JAX,0.5,2022,1
0.85,54.6%,0.5%,TB,DAL,4.0,2022,1
0.85,54.2%,0.2%,MIN,GB,2.0,2022,1
0.84,54.0%,1.4%,BUF,LAR,5.0,2022,1
0.82,52.8%,1.4%,CAR,CLE,0.5,2022,1
0.75,47.2%,0.3%,CLE,CAR,2.0,2022,1
0.72,46.0%,0.9%,LAR,BUF,3.0,2022,1
0.71,45.8%,0.6%,GB,MIN,4.0,2022,1
0.71,45.4%,0.2%,DAL,TB,3.0,2022,1
0.66,40.9%,0.5%,JAX,WAS,0.5,2022,1
0.65,41.0%,0.2%,NE,MIA,1.5,2022,1
0.58,37.0%,0.2%,LV,LAC,1.5,2022,1
0.58,31.8%,0.1%,NYG,TEN,0.5,2022,1
0.57,29.1%,0.2%,NYJ,BAL,0.5,2022,1
0.55,33.1%,0.2%,ATL,NO,0.0,2022,1
0.55,30.3%,0.1%,SEA,DEN,0.5,2022,1
0.54,28.4%,0.0%,HOU (tie),IND,0.0,2022,1
0.52,31.5%,0.1%,DET,PHI,0.5,2022,1
0.51,31.8%,0.0%,ARI,KC,1.5,2022,1
0.50,28.7%,0.1%,CHI,SF,0.5,2022,1
0.46,26.5%,0.2%,PIT,CIN,0.5,2022,1
1.09,77.1%,3.6%,SF,SEA,2.0,2022,2
1.09,78.2%,7.8%,GB,CHI,3.5,2022,2
1.09,80.8%,17.2%,DEN,HOU,2.0,2022,2
1.08,77.3%,7.5%,BUF,TEN,5.0,2022,2
1.01,79.3%,28.1%,LAR,ATL,3.0,2022,2
0.99,72.8%,12.1%,CIN,DAL,2.0,2022,2
0.99,69.1%,1.2%,LV,ARI,1.0,2022,2
0.92,69.0%,13.2%,CLE,NYJ,1.5,2022,2
0.91,63.7%,1.2%,KC,LAC,3.5,2022,2
0.89,62.1%,0.7%,BAL,MIA,2.5,2022,2
0.85,59.9%,1.8%,IND,JAX,2.0,2022,2
0.83,57.9%,0.6%,NE,PIT,1.0,2022,2
0.82,57.4%,0.7%,TB,NO,4.5,2022,2
0.82,56.9%,0.2%,PHI,MIN,3.0,2022,2
0.75,51.9%,0.4%,WAS,DET,0.5,2022,2
0.74,51.6%,0.3%,CAR,NYG,0.5,2022,2
0.69,48.4%,0.7%,NYG,CAR,1.0,2022,2
0.69,48.1%,0.8%,DET,WAS,0.5,2022,2
0.62,43.1%,0.3%,MIN,PHI,2.5,2022,2
0.61,42.6%,0.1%,NO,TB,1.5,2022,2
0.60,42.1%,0.8%,PIT,NE,0.5,2022,2
0.58,40.1%,0.1%,JAX,IND,0.5,2022,2
0.55,37.9%,0.1%,MIA,BAL,2.0,2022,2
0.53,36.3%,0.1%,LAC,KC,3.0,2022,2
0.51,31.0%,0.1%,NYJ,CLE,0.0,2022,2
0.45,30.9%,0.1%,ARI,LV,1.5,2022,2
0.45,27.2%,0.1%,DAL,CIN,2.0,2022,2
0.42,20.7%,0.0%,ATL,LAR,0.0,2022,2
0.36,22.7%,0.0%,TEN,BUF,1.5,2022,2
0.35,19.2%,0.0%,HOU,DEN,0.0,2022,2
0.35,21.8%,0.0%,CHI,GB,0.5,2022,2
0.34,22.9%,0.1%,SEA,SF,0.5,2022,2
