EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.14,78.0%,15.3%,PHI,DAL,3.0,2025,Week 1
1.10,79.2%,25.4%,DEN,TEN,2.0,2025,Week 1
1.04,70.9%,11.1%,WSH,NYG,1.5,2025,Week 1
1.02,66.4%,3.6%,JAX,CAR,0.5,2025,Week 1
1.00,67.2%,7.9%,CIN,CLE,2.0,2025,Week 1
0.99,69.1%,14.3%,ARI,NO,1.0,2025,Week 1
0.94,60.5%,0.9%,LAR,HOU,2.0,2025,Week 1
0.93,60.3%,2.3%,KC,LAC,3.0,2025,Week 1
0.91,59.5%,3.1%,PIT,NYJ,0.5,2025,Week 1
0.87,56.3%,1.7%,NE,LV,1.0,2025,Week 1
0.85,54.7%,0.7%,SF,SEA,2.5,2025,Week 1
0.83,52.9%,0.5%,BAL,BUF,5.0,2025,Week 1
0.81,51.8%,0.3%,GB,DET,1.5,2025,Week 1
0.81,51.3%,0.3%,IND,MIA,0.0,2025,Week 1
0.79,50.0%,0.2%,ATL,TB,0.5,2025,Week 1
0.79,50.0%,1.1%,CHI,MIN,1.0,2025,Week 1
0.77,50.0%,1.4%,TB,ATL,2.0,2025,Week 1
0.77,50.0%,3.1%,MIN,CHI,0.5,2025,Week 1
0.75,48.7%,1.7%,MIA,IND,0.5,2025,Week 1
0.75,48.2%,0.6%,DET,GB,2.5,2025,Week 1
0.74,47.1%,0.6%,BUF,BAL,5.0,2025,Week 1
0.71,45.3%,0.3%,SEA,SF,0.5,2025,Week 1
0.69,43.7%,0.5%,LV,NE,0.5,2025,Week 1
0.65,40.5%,0.2%,NYJ,PIT,0.0,2025,Week 1
0.63,39.7%,0.4%,LAC,KC,1.5,2025,Week 1
0.62,39.5%,0.3%,HOU,LAR,1.0,2025,Week 1
0.57,30.9%,0.2%,NO,ARI,0.0,2025,Week 1
0.56,32.8%,0.2%,CLE,CIN,0.0,2025,Week 1
0.55,33.6%,0.3%,CAR,JAX,0.0,2025,Week 1
0.52,29.1%,0.2%,NYG,WSH,0.0,2025,Week 1
0.46,20.8%,0.4%,TEN,DEN,0.0,2025,Week 1
0.42,22.0%,0.5%,DAL,PHI,0.5,2025,Week 1
