Year,Week,Calendar Date,Home Team,Away Team,Winner/tie,Loser/tie,PtsW,PtsL
2025,1,2025-09-04,PHI,DAL,PHI,DAL,24,20
2025,1,2025-09-05,LAC,KC,LAC,KC,27,21
2025,1,2025-09-07,ATL,TB,TB,ATL,23,20
2025,1,2025-09-07,CLE,CIN,CIN,CLE,17,16
2025,1,2025-09-07,IND,MIA,IND,MIA,33,8
2025,1,2025-09-07,JAX,CAR,JAX,CAR,26,10
2025,1,2025-09-07,NE,LV,LV,NE,20,13
2025,1,2025-09-07,NO,ARI,ARI,NO,20,13
2025,1,2025-09-07,NYJ,PIT,PIT,NYJ,34,32
2025,1,2025-09-07,WAS,NYG,WAS,NYG,21,6
2025,1,2025-09-07,DEN,TEN,DEN,TEN,20,12
2025,1,2025-09-07,SEA,SF,SF,SEA,17,13
2025,1,2025-09-07,GB,DET,GB,DET,27,13
2025,1,2025-09-07,LAR,HOU,LA,HOU,14,9
2025,1,2025-09-07,BUF,BAL,BUF,BAL,41,40
2025,1,2025-09-08,CHI,MIN,MIN,CHI,27,24
2025,2,2025-09-11,GB,WAS,GB,WAS,27,18
2025,2,2025-09-14,BAL,CLE,BAL,CLE,41,17
2025,2,2025-09-14,CIN,JAX,CIN,JAX,31,27
2025,2,2025-09-14,DAL,NYG,DAL,NYG,40,37
2025,2,2025-09-14,DET,CHI,DET,CHI,52,21
2025,2,2025-09-14,MIA,NE,NE,MIA,33,27
2025,2,2025-09-14,NO,SF,SF,NO,26,21
2025,2,2025-09-14,NYJ,BUF,BUF,NYJ,30,10
2025,2,2025-09-14,PIT,SEA,SEA,PIT,31,17
2025,2,2025-09-14,TEN,LAR,LA,TEN,33,19
2025,2,2025-09-14,ARI,CAR,ARI,CAR,27,22
2025,2,2025-09-14,IND,DEN,IND,DEN,29,28
2025,2,2025-09-14,KC,PHI,PHI,KC,20,17
2025,2,2025-09-14,MIN,ATL,ATL,MIN,22,6
2025,2,2025-09-15,HOU,TB,TB,HOU,20,19
2025,2,2025-09-15,LV,LAC,LAC,LV,20,9
2025,3,2025-09-18,BUF,MIA,BUF,MIA,31,21
2025,3,2025-09-21,CAR,ATL,CAR,ATL,30,0
2025,3,2025-09-21,CLE,GB,CLE,GB,13,10
2025,3,2025-09-21,JAX,HOU,JAX,HOU,17,10
2025,3,2025-09-21,MIN,CIN,MIN,CIN,48,10
2025,3,2025-09-21,NE,PIT,PIT,NE,21,14
2025,3,2025-09-21,PHI,LAR,PHI,LA,33,26
2025,3,2025-09-21,TB,NYJ,TB,NYJ,29,27
2025,3,2025-09-21,TEN,IND,IND,TEN,41,20
2025,3,2025-09-21,WAS,LV,WAS,LV,41,24
2025,3,2025-09-21,LAC,DEN,LAC,DEN,23,20
2025,3,2025-09-21,SEA,NO,SEA,NO,44,13
2025,3,2025-09-21,CHI,DAL,CHI,DAL,31,14
2025,3,2025-09-21,SF,ARI,SF,ARI,16,15
2025,3,2025-09-21,NYG,KC,KC,NYG,22,9
2025,3,2025-09-22,BAL,DET,DET,BAL,38,30
2025,4,2025-09-25,ARI,SEA,SEA,ARI,23,20
2025,4,2025-09-28,PIT,MIN,PIT,MIN,24,21
2025,4,2025-09-28,ATL,WAS,ATL,WAS,34,27
2025,4,2025-09-28,BUF,NO,BUF,NO,31,19
2025,4,2025-09-28,DET,CLE,DET,CLE,34,10
2025,4,2025-09-28,HOU,TEN,HOU,TEN,26,0
2025,4,2025-09-28,NE,CAR,NE,CAR,42,13
2025,4,2025-09-28,NYG,LAC,NYG,LAC,21,18
2025,4,2025-09-28,TB,PHI,PHI,TB,31,25
2025,4,2025-09-28,LAR,IND,LA,IND,27,20
2025,4,2025-09-28,SF,JAX,JAX,SF,26,21
2025,4,2025-09-28,KC,BAL,KC,BAL,37,20
2025,4,2025-09-28,LV,CHI,CHI,LV,25,24
2025,4,2025-09-28,DAL,GB,Tie,Tie,40,40
2025,4,2025-09-29,MIA,NYJ,MIA,NYJ,27,21
2025,4,2025-09-29,DEN,CIN,DEN,CIN,28,3
2025,5,2025-10-02,LAR,SF,SF,LA,26,23
2025,5,2025-10-05,CLE,MIN,MIN,CLE,21,17
2025,5,2025-10-05,BAL,HOU,HOU,BAL,44,10
2025,5,2025-10-05,CAR,MIA,CAR,MIA,27,24
2025,5,2025-10-05,IND,LV,IND,LV,40,6
2025,5,2025-10-05,NO,NYG,NO,NYG,26,14
2025,5,2025-10-05,NYJ,DAL,DAL,NYJ,37,22
2025,5,2025-10-05,PHI,DEN,DEN,PHI,21,17
2025,5,2025-10-05,ARI,TEN,TEN,ARI,22,21
2025,5,2025-10-05,SEA,TB,TB,SEA,38,35
2025,5,2025-10-05,CIN,DET,DET,CIN,37,24
2025,5,2025-10-05,LAC,WAS,WAS,LAC,27,10
2025,5,2025-10-05,BUF,NE,NE,BUF,23,20
2025,5,2025-10-06,JAX,KC,JAX,KC,31,28
2025,6,2025-10-09,NYG,PHI,NYG,PHI,34,17
2025,6,2025-10-12,NYJ,DEN,DEN,NYJ,13,11
2025,6,2025-10-12,BAL,LAR,LA,BAL,17,3
2025,6,2025-10-12,CAR,DAL,CAR,DAL,30,27
2025,6,2025-10-12,IND,ARI,IND,ARI,31,27
2025,6,2025-10-12,JAX,SEA,SEA,JAX,20,12
2025,6,2025-10-12,MIA,LAC,LAC,MIA,29,27
2025,6,2025-10-12,NO,NE,NE,NO,25,19
2025,6,2025-10-12,PIT,CLE,PIT,CLE,23,9
2025,6,2025-10-12,LV,TEN,LV,TEN,20,10
2025,6,2025-10-12,GB,CIN,GB,CIN,27,18
2025,6,2025-10-12,TB,SF,TB,SF,30,19
2025,6,2025-10-12,KC,DET,KC,DET,30,17
2025,6,2025-10-13,ATL,BUF,ATL,BUF,24,14
2025,6,2025-10-13,WAS,CHI,CHI,WAS,25,24
2025,7,2025-10-16,CIN,PIT,CIN,PIT,33,31
2025,7,2025-10-19,JAX,LAR,LA,JAX,35,7
2025,7,2025-10-19,CHI,NO,CHI,NO,26,14
2025,7,2025-10-19,CLE,MIA,CLE,MIA,31,6
2025,7,2025-10-19,KC,LV,KC,LV,31,0
2025,7,2025-10-19,MIN,PHI,PHI,MIN,28,22
2025,7,2025-10-19,NYJ,CAR,CAR,NYJ,13,6
2025,7,2025-10-19,TEN,NE,NE,TEN,31,13
2025,7,2025-10-19,DEN,NYG,DEN,NYG,33,32
2025,7,2025-10-19,LAC,IND,IND,LAC,38,24
2025,7,2025-10-19,ARI,GB,GB,ARI,27,23
2025,7,2025-10-19,DAL,WAS,DAL,WAS,44,22
2025,7,2025-10-19,SF,ATL,SF,ATL,20,10
2025,7,2025-10-20,DET,TB,DET,TB,24,9
2025,7,2025-10-20,SEA,HOU,SEA,HOU,27,19
2025,8,2025-10-23,LAC,MIN,LAC,MIN,37,10
2025,8,2025-10-26,ATL,MIA,MIA,ATL,34,10
2025,8,2025-10-26,BAL,CHI,BAL,CHI,30,16
2025,8,2025-10-26,CAR,BUF,BUF,CAR,40,9
2025,8,2025-10-26,CIN,NYJ,NYJ,CIN,39,38
2025,8,2025-10-26,HOU,SF,HOU,SF,26,15
2025,8,2025-10-26,NE,CLE,NE,CLE,32,13
2025,8,2025-10-26,PHI,NYG,PHI,NYG,38,20
2025,8,2025-10-26,NO,TB,TB,NO,23,3
2025,8,2025-10-26,DEN,DAL,DEN,DAL,44,24
2025,8,2025-10-26,IND,TEN,IND,TEN,38,14
2025,8,2025-10-26,PIT,GB,GB,PIT,35,25
2025,8,2025-10-27,KC,WAS,KC,WAS,28,7
2025,9,2025-10-30,MIA,BAL,BAL,MIA,28,6
2025,9,2025-11-02,CIN,CHI,CHI,CIN,47,42
2025,9,2025-11-02,DET,MIN,MIN,DET,27,24
2025,9,2025-11-02,GB,CAR,CAR,GB,16,13
2025,9,2025-11-02,HOU,DEN,DEN,HOU,18,15
2025,9,2025-11-02,NE,ATL,NE,ATL,24,23
2025,9,2025-11-02,NYG,SF,SF,NYG,34,24
2025,9,2025-11-02,PIT,IND,PIT,IND,27,20
2025,9,2025-11-02,TEN,LAC,LAC,TEN,27,20
