rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-10741,SYNTH-10741,0,32,0.001319,0.0,0.00048,7500.98,BUF 50%; NE 13%; IND 9%
2,SYNTH-05841,SYNTH-05841,0,32,0.001319,0.0,0.0004,7038.47,BUF 46%; NE 16%; IND 8%
3,SYNTH-23164,SYNTH-23164,0,32,0.001319,0.0,0.00056,6532.96,BUF 48%; NE 11%; IND 10%
4,SYNTH-20080,SYNTH-20080,0,32,0.001319,0.0,0.0004,6392.7,BUF 49%; NE 11%; IND 10%
5,SYNTH-15127,SYNTH-15127,0,32,0.001319,0.0,0.00032,6341.17,BUF 39%; NE 15%; IND 8%
6,SYNTH-09673,SYNTH-09673,0,32,0.001319,0.0,0.00032,6273.04,BUF 40%; NE 12%; IND 10%
7,SYNTH-21321,SYNTH-21321,0,32,0.001319,0.0,0.00032,6230.49,BUF 46%; NE 13%; IND 9%
8,SYNTH-17697,SYNTH-17697,0,32,0.001319,0.0,0.00064,6043.12,BUF 51%; NE 14%; IND 9%
9,SYNTH-19540,SYNTH-19540,0,32,0.001319,0.0,0.00048,5990.36,BUF 44%; NE 14%; IND 8%
10,SYNTH-03844,SYNTH-03844,0,32,0.001319,0.0,0.00032,5977.19,BUF 38%; NE 13%; IND 9%
11,SYNTH-20120,SYNTH-20120,0,32,0.001319,0.0,0.00032,5968.7,BUF 32%; NE 13%; IND 8%
12,SYNTH-05954,SYNTH-05954,0,32,0.001319,0.0,0.0004,5967.41,BUF 31%; NE 12%; BAL 8%
13,SYNTH-10637,SYNTH-10637,0,32,0.001319,0.0,0.00048,5944.79,BUF 43%; NE 14%; IND 9%
14,SYNTH-09555,SYNTH-09555,0,32,0.001319,0.0,0.00032,5812.92,BUF 44%; NE 13%; IND 9%
15,SYNTH-19432,SYNTH-19432,0,32,0.001319,0.0,0.00032,5793.09,BUF 35%; NE 16%; IND 7%
16,SYNTH-09099,SYNTH-09099,0,32,0.001319,0.0,0.00024,5760.0,BUF 40%; NE 13%; IND 9%
17,SYNTH-19642,SYNTH-19642,0,32,0.001319,0.0,0.00024,5760.0,BUF 52%; NE 12%; IND 9%
18,SYNTH-07722,SYNTH-07722,0,32,0.001319,0.0,0.0004,5714.12,BUF 35%; NE 15%; IND 7%
19,SYNTH-16531,SYNTH-16531,0,32,0.001319,0.0,0.00032,5706.67,BUF 43%; NE 12%; IND 10%
20,SYNTH-11872,SYNTH-11872,0,32,0.001319,0.0,0.00088,5649.33,BUF 48%; NE 14%; IND 8%
21,SYNTH-02586,SYNTH-02586,0,32,0.001319,0.0,0.00048,5636.74,BUF 38%; NE 13%; IND 8%
22,SYNTH-12107,SYNTH-12107,0,32,0.001319,0.0,0.00032,5607.0,BUF 39%; NE 12%; IND 9%
23,SYNTH-06929,SYNTH-06929,0,32,0.001319,0.0,0.00032,5585.54,BUF 41%; NE 12%; IND 9%
