rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,9,23,0.032169,0.0,0.01808,12156.18,GB 79%; CLE 6%; NO 5%
2,Puppy Kisses-2,Puppy Kisses,9,23,0.030898,0.0,0.02136,7026.23,GB 88%; LV 2%; BAL 2%
3,DaliBones-1,DaliBones,9,23,0.029235,0.0,0.02056,6732.05,GB 85%; NO 5%; LV 2%
4,KPT31920-1,KPT31920,9,23,0.037523,0.0,0.02,6157.02,GB 84%; NO 5%; LV 2%
5,JEFF PROBST-4,JEFF PROBST,9,23,0.037488,0.0,0.022,5894.54,GB 80%; CLE 6%; NO 5%
6,Gamblinsteve-2,Gamblinsteve,9,23,0.03631,0.0,0.02856,5608.68,GB 51%; NO 14%; LV 5%
7,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,9,23,0.037608,0.0,0.02432,5602.66,GB 85%; NO 5%; LV 2%
8,Bison Sports-3,Bison Sports,9,23,0.026892,0.0,0.01824,5498.75,GB 83%; CLE 6%; LV 2%
9,PGAMOPTOUR5-4,PGAMOPTOUR5,9,23,0.033905,0.0,0.02408,5356.46,GB 46%; CLE 16%; NO 13%
10,MR. PICKLES-1,MR. PICKLES,9,23,0.036933,0.0,0.01952,5249.41,GB 88%; LV 2%; TB 2%
11,Tom Lippard-1,Tom Lippard,9,23,0.037734,0.0,0.0212,5224.44,GB 79%; CLE 6%; NO 5%
12,WAZ-2,WAZ,9,23,0.037264,0.0,0.02336,5019.84,GB 80%; CLE 6%; NO 5%
13,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,9,23,0.027178,0.0,0.01488,4990.19,CLE 29%; NO 23%; LV 8%
14,Sting-4,Sting,9,23,0.031328,0.0,0.01912,4979.82,GB 81%; CLE 6%; NO 5%
15,C.A.G.E-1,C.A.G.E,9,23,0.034685,0.0,0.02344,4940.8,GB 82%; CLE 6%; LV 2%
16,H-TOWN-1,H-TOWN,9,23,0.034228,0.0,0.01968,4905.11,CLE 30%; NO 24%; LV 8%
17,BonkAgainstTheSpread-3,BonkAgainstTheSpread,9,23,0.023805,0.0,0.01464,4868.05,CLE 31%; NO 24%; LV 8%
18,Ned Landers-3,Ned Landers,9,23,0.032448,0.0,0.0132,4824.9,CLE 38%; LV 10%; BAL 8%
19,@plastered in paris-1,@plastered in paris,9,23,0.035368,0.0,0.01984,4793.6,GB 83%; CLE 6%; LV 2%
20,SGPN-1,SGPN,9,23,0.019861,0.0,0.01208,4718.76,CLE 37%; LV 10%; TB 9%
21,ORDER UP-3,ORDER UP,9,23,0.032871,0.0,0.01696,4703.42,GB 48%; CLE 20%; LV 5%
22,RG-1,RG,9,23,0.031192,0.0,0.0216,4647.55,GB 84%; CLE 4%; NO 3%
23,SKOL-1,SKOL,9,23,0.034177,0.0,0.01888,4601.48,GB 83%; CLE 6%; LV 2%
24,Fireball-1,Fireball,9,23,0.031192,0.0,0.02272,4594.3,GB 80%; CLE 6%; NO 5%
25,YEEGONE2-3,YEEGONE2,9,23,0.035575,0.0,0.02384,4562.49,GB 89%; LV 2%; PIT 1%
26,Putting on the foil-4,Putting on the foil,9,23,0.030899,0.0,0.0184,4541.23,GB 79%; CLE 6%; NO 5%
27,Cuddy120-1,Cuddy120,9,23,0.023783,0.0,0.01288,4508.61,NO 33%; LV 11%; TB 10%
28,Marphil-1,Marphil,9,23,0.034488,0.0,0.0204,4504.44,GB 80%; CLE 6%; NO 5%
29,EROQ-4,EROQ,9,23,0.017492,0.0,0.0132,4454.94,LV 19%; CHI 12%; NYG 10%
30,PRAY4DUBB-2,PRAY4DUBB,9,23,0.036923,0.0,0.02128,4443.68,GB 50%; NO 14%; LV 5%
