rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,10,22,0.038793,0.0,0.02176,16891.77,LAC 34%; MIN 19%; PIT 17%
2,KPT31920-1,KPT31920,10,22,0.046362,0.0,0.02776,8632.15,MIN 51%; NO 10%; SEA 6%
3,Ned Landers-3,Ned Landers,10,22,0.045747,0.0,0.02456,7736.07,PIT 39%; CLE 27%; NE 6%
4,JEFF PROBST-4,JEFF PROBST,10,22,0.04088,0.0,0.01872,6453.04,LAC 36%; MIN 20%; PIT 18%
5,BOBBYT-2,BOBBYT,10,22,0.043697,0.0,0.0244,6071.46,MIN 36%; PIT 33%; NO 7%
6,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,10,22,0.037646,0.0,0.02176,6022.48,LAC 34%; MIN 19%; PIT 17%
7,Puppy Kisses-2,Puppy Kisses,10,22,0.038017,0.0,0.0272,6018.23,LAC 51%; MIN 29%; SEA 3%
8,No Regrets-5,No Regrets,10,22,0.043456,0.0,0.02568,5984.54,MIN 54%; NO 10%; NE 8%
9,Gamblinsteve-2,Gamblinsteve,10,22,0.04837,0.0,0.02568,5873.65,PIT 39%; MIN 27%; NO 8%
10,DaliBones-1,DaliBones,10,22,0.036265,0.0,0.02336,5866.76,LAC 49%; MIN 27%; NE 4%
11,Bison Sports-3,Bison Sports,10,22,0.033401,0.0,0.02456,5861.36,LAC 42%; MIN 24%; CLE 15%
12,ODBMG-1,ODBMG,10,22,0.048328,0.0,0.02376,5839.04,MIN 29%; PIT 26%; CLE 19%
13,PRAY4DUBB-2,PRAY4DUBB,10,22,0.041421,0.0,0.02368,5682.54,PIT 37%; MIN 26%; NO 7%
14,PICKSWCLARS24-1,PICKSWCLARS24,10,22,0.055254,0.0,0.02656,5663.61,MIN 37%; PIT 33%; NO 7%
15,Follow Proto-2,Follow Proto,10,22,0.041821,0.0,0.03336,5583.44,MIN 44%; LAC 32%; SEA 5%
16,Artie Blanco-1,Artie Blanco,10,22,0.036467,0.0,0.02144,5561.99,LAC 50%; MIN 29%; NE 4%
17,Rip Wheeler-1,Rip Wheeler,10,22,0.039539,0.0,0.03032,5438.81,MIN 60%; SEA 7%; WAS 6%
