rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,BBOSSE22-3,BBOSSE22,12,20,0.121243,0.0,0.0784,20678.83,NO 33%; BUF 14%; MIA 13%
2,PRAY4DUBB-3,PRAY4DUBB,12,20,0.139849,0.0,0.10416,18786.29,NO 39%; CLE 24%; NYG 12%
3,PICKSWCLARS24-1,PICKSWCLARS24,12,20,0.14385,0.0,0.10208,17248.14,NO 51%; NYG 17%; SEA 15%
4,scourrge-4,scourrge,12,20,0.126164,0.0,0.09632,17139.92,NO 42%; MIA 17%; NYG 14%
5,ORDER UP-2,ORDER UP,12,20,0.14481,0.0,0.08712,17085.1,NO 43%; MIA 17%; NYG 14%
6,@Pigskin_Junkies-1,@Pigskin_Junkies,12,20,0.106906,0.0,0.0632,16889.52,NO 38%; CLE 24%; NYG 12%
7,TEAM MOIST-3,TEAM MOIST,12,20,0.107939,0.0,0.06984,16851.73,NO 51%; NYG 16%; SEA 15%
8,Uncle Nephew-2,Uncle Nephew,12,20,0.125953,0.0,0.0752,16666.07,NO 50%; NYG 16%; SEA 14%
9,PUFFALUPPS-2,PUFFALUPPS,12,20,0.132616,0.0,0.09872,16194.98,NO 51%; NYG 16%; SEA 15%
10,BIGDNICK-5,BIGDNICK,12,20,0.08421,0.0,0.08,15675.69,MIA 28%; NYG 23%; SEA 21%
11,DaliBones-1,DaliBones,12,20,0.110466,0.0,0.06728,15504.04,MIA 23%; NYG 19%; SEA 17%
12,BOBBYT-2,BOBBYT,12,20,0.115504,0.0,0.0712,15455.72,NO 56%; NYG 18%; MIN 7%
13,Rip Wheeler-1,Rip Wheeler,12,20,0.11937,0.0,0.08472,15329.7,BUF 26%; NYG 20%; SEA 18%
14,COLTS45-2,COLTS45,12,20,0.117008,0.0,0.07376,15309.65,BUF 31%; NYG 24%; SEA 21%
15,Cubby-1,Cubby,12,20,0.105644,0.0,0.07424,15257.34,MIA 23%; NYG 19%; SEA 17%
16,Maiowe-3,Maiowe,12,20,0.090196,0.0,0.07104,14795.78,MIA 23%; NYG 19%; SEA 17%
17,Joncon16-1,Joncon16,12,20,0.110188,0.0,0.07192,14759.42,NO 43%; MIA 17%; NYG 14%
18,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,12,20,0.107625,0.0,0.0824,14623.82,BUF 28%; NYG 22%; SEA 19%
19,Slick Rick11-1,Slick Rick11,12,20,0.125953,0.0,0.08824,14597.91,NO 39%; CLE 25%; NYG 13%
20,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,12,20,0.11358,0.0,0.07352,14595.56,CLE 34%; NYG 18%; SEA 16%
21,GULF COAST GURU-1,GULF COAST GURU,12,20,0.129185,0.0,0.09056,14506.55,CLE 32%; MIA 20%; NYG 16%
22,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,12,20,0.117008,0.0,0.07696,14304.07,MIA 30%; NYG 17%; SEA 16%
23,PRESENCE-5,PRESENCE,12,20,0.128328,0.0,0.08992,14220.86,CLE 35%; NYG 18%; SEA 16%
24,YEEGONE2-3,YEEGONE2,12,20,0.118457,0.0,0.08224,14130.86,MIA 29%; NYG 24%; SEA 22%
25,MK INVEST-1,MK INVEST,12,20,0.121691,0.0,0.08392,14034.86,NYG 25%; SEA 23%; GB 20%
26,Larry B 27-3,Larry B 27,12,20,0.116117,0.0,0.09232,14030.02,NO 43%; MIA 17%; NYG 14%
27,Puppy Kisses-2,Puppy Kisses,12,20,0.13196,0.0,0.0824,13970.46,MIA 24%; NYG 20%; SEA 18%
28,GAVIN45-3,GAVIN45,12,20,0.124664,0.0,0.08488,13944.13,NO 39%; CLE 24%; NYG 12%
29,Artie Blanco-1,Artie Blanco,12,20,0.121691,0.0,0.08576,13842.32,NYG 31%; SEA 27%; MIN 12%
30,KSSA-1,KSSA,12,20,0.117634,0.0,0.0696,13801.58,NO 37%; CLE 23%; NYG 12%
31,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,12,20,0.128157,0.0,0.07888,13697.01,NYG 26%; SEA 23%; GB 20%
32,Live Odds-1,Live Odds,12,20,0.118457,0.0,0.09248,13605.75,MIA 29%; NYG 24%; SEA 21%
33,BizzyBettor-2,BizzyBettor,12,20,0.103389,0.0,0.07328,13569.51,NO 43%; CLE 27%; NYG 14%
34,Follow Proto-1,Follow Proto,12,20,0.086713,0.0,0.06536,13512.74,CLE 34%; MIA 21%; NYG 17%
35,Practice Squad QB-2,Practice Squad QB,12,20,0.114962,0.0,0.07744,13391.11,CLE 40%; NYG 21%; SEA 18%
36,Lehrjet-1,Lehrjet,12,20,0.112212,0.0,0.08184,13196.32,CLE 33%; NYG 17%; SEA 15%
37,Sting-4,Sting,12,20,0.109039,0.0,0.06912,13164.48,NO 39%; CLE 24%; NYG 13%
38,BALD RAZORS-2,BALD RAZORS,12,20,0.114697,0.0,0.072,13162.71,NO 42%; MIA 17%; NYG 14%
39,LoveMyBaxter-2,LoveMyBaxter,12,20,0.09841,0.0,0.06264,13131.39,NYG 24%; SEA 23%; MIN 13%
40,SIN CITY LORI-1,SIN CITY LORI,12,20,0.105605,0.0,0.09856,13048.27,BUF 30%; NYG 23%; SEA 21%
41,Mucked Nuts.-1,Mucked Nuts.,12,20,0.11022,0.0,0.07624,12795.66,CLE 28%; MIA 18%; NYG 15%
42,DIGGS ALLEN '22-5,DIGGS ALLEN '22,12,20,0.11213,0.0,0.07976,12794.75,NO 38%; MIA 15%; NYG 12%
43,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,12,20,0.123139,0.0,0.08112,12726.49,NO 42%; MIA 16%; NYG 13%
44,Practice Squad QB-1,Practice Squad QB,12,20,0.12245,0.0,0.0772,12661.63,NO 48%; CLE 13%; NYG 10%
45,WARDOG-2,WARDOG,12,20,0.12245,0.0,0.07384,12624.25,NO 34%; CLE 21%; MIA 13%
46,Juice Box-2,Juice Box,12,20,0.116902,0.0,0.076,12588.77,NO 42%; CLE 26%; NYG 14%
47,Perfect Pint-1,Perfect Pint,12,20,0.109039,0.0,0.0636,12535.26,NO 39%; CLE 24%; NYG 13%
