rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,BOBBYT-2,BOBBYT,14,18,0.237168,0.0,0.18088,35012.07,NO 34%; TEN 26%; CAR 10%
2,DR B-3,DR B,14,18,0.223615,0.0,0.1648,31751.47,NO 48%; TEN 15%; CAR 10%
3,Juice Box-2,Juice Box,14,18,0.244329,0.0,0.15672,30849.93,NO 37%; TEN 28%; CAR 11%
4,BizzyBettor-2,BizzyBettor,14,18,0.201315,0.0,0.15232,28338.96,CAR 22%; TB 20%; SF 14%
5,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,14,18,0.213986,0.0,0.1444,24089.13,NO 37%; TEN 29%; CAR 11%
6,DR B-2,DR B,14,18,0.181816,0.0,0.12816,20478.71,TEN 46%; CAR 18%; CHI 7%
7,PICKSWCLARS24-1,PICKSWCLARS24,14,18,0.272865,0.0,0.24704,19953.86,SEA 86%; NO 5%; TEN 4%
8,RG-2,RG,14,18,0.181263,0.0,0.1328,19147.31,TEN 43%; CAR 17%; SF 10%
9,ORDER UP-2,ORDER UP,14,18,0.252758,0.0,0.22304,17595.43,SEA 89%; NO 5%; CAR 2%
10,ODBMG-1,ODBMG,14,18,0.243564,0.0,0.2312,17537.35,SEA 89%; NO 5%; CAR 2%
11,KSSA-1,KSSA,14,18,0.190367,0.0,0.19184,17407.42,SEA 87%; NO 5%; TEN 4%
12,Practice Squad QB-1,Practice Squad QB,14,18,0.244329,0.0,0.1996,17196.35,SEA 58%; NO 21%; CAR 6%
13,Joncon16-1,Joncon16,14,18,0.222105,0.0,0.18456,17009.81,SEA 85%; NO 5%; TEN 4%
14,pointsonthepackage-1,pointsonthepackage,14,18,0.249478,0.0,0.216,16917.78,SEA 86%; NO 5%; TEN 4%
15,Cuddy120-1,Cuddy120,14,18,0.225695,0.0,0.18592,16702.58,SEA 90%; TEN 4%; CAR 2%
16,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,14,18,0.243564,0.0,0.21648,16697.57,SEA 89%; NO 5%; CAR 2%
17,Golfing in Hell-2,Golfing in Hell,14,18,0.231823,0.0,0.20896,16526.56,SEA 90%; TEN 4%; CAR 2%
18,BLOW OUT-1,BLOW OUT,14,18,0.17901,0.0,0.17088,16307.17,SEA 88%; NO 5%; CAR 2%
19,Practice Squad QB-2,Practice Squad QB,14,18,0.236223,0.0,0.20912,16241.02,SEA 91%; TEN 4%; CAR 2%
20,GAVIN45-3,GAVIN45,14,18,0.247588,0.0,0.19664,15844.07,SEA 86%; NO 5%; TEN 4%
21,Cubby-1,Cubby,14,18,0.223912,0.0,0.22984,15704.54,SEA 90%; TEN 4%; CAR 2%
22,DaliBones-1,DaliBones,14,18,0.226327,0.0,0.20064,15592.82,SEA 90%; TEN 4%; CAR 2%
23,Texas Bound.-1,Texas Bound.,14,18,0.22536,0.0,0.21488,15559.78,SEA 87%; NO 5%; TEN 4%
24,Maiowe-3,Maiowe,14,18,0.209311,0.0,0.22056,15444.18,SEA 93%; CAR 2%; TB 1%
25,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,14,18,0.259046,0.0,0.22048,15399.36,SEA 93%; CAR 2%; TB 1%
26,scourrge-4,scourrge,14,18,0.218807,0.0,0.202,15331.3,SEA 88%; NO 5%; CAR 2%
27,CLARKGRIZWOLD-2,CLARKGRIZWOLD,14,18,0.228724,0.0,0.17736,15151.67,SEA 92%; CAR 2%; TB 1%
28,MK INVEST-1,MK INVEST,14,18,0.239684,0.0,0.21976,15056.72,SEA 90%; TEN 4%; CAR 2%
29,SHINEBOX.-1,SHINEBOX.,14,18,0.211643,0.0,0.17904,14928.56,SEA 89%; NO 5%; CAR 2%
30,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,14,18,0.259046,0.0,0.23952,14891.72,SEA 93%; CAR 2%; TB 1%
31,BIGDNICK-5,BIGDNICK,14,18,0.232952,0.0,0.20288,14873.72,SEA 92%; CAR 2%; TB 1%
32,CNT WALK-1,CNT WALK,14,18,0.220345,0.0,0.1976,14872.08,SEA 90%; TEN 4%; CAR 2%
33,@plastered in paris-1,@plastered in paris,14,18,0.236843,0.0,0.21064,14789.44,SEA 90%; TEN 4%; CAR 2%
34,Puppy Kisses-2,Puppy Kisses,14,18,0.272086,0.0,0.22664,14760.93,SEA 94%; CAR 2%; SF 1%
35,JEFF PROBST-4,JEFF PROBST,14,18,0.220964,0.0,0.18344,14616.91,SEA 91%; TEN 4%; CAR 2%
36,Marphil-1,Marphil,14,18,0.233725,0.0,0.21312,14611.68,SEA 92%; TEN 4%; CAR 2%
37,Mucked Nuts.-1,Mucked Nuts.,14,18,0.233725,0.0,0.20696,14542.13,SEA 94%; CAR 2%; SF 1%
38,HMA-1,HMA,14,18,0.201495,0.0,0.1916,14535.52,SEA 90%; TEN 4%; CAR 2%
39,WWCD 2-1,WWCD 2,14,18,0.223615,0.0,0.19144,14466.06,SEA 87%; NO 5%; TEN 4%
40,JakestroJans-1,JakestroJans,14,18,0.240291,0.0,0.24208,14464.89,SEA 94%; CAR 2%; SF 1%
41,ROBERTRUTTER-1,ROBERTRUTTER,14,18,0.240358,0.0,0.2208,14395.57,SEA 87%; NO 5%; TEN 4%
42,PRESENCE-5,PRESENCE,14,18,0.255636,0.0,0.23832,14342.9,SEA 91%; TEN 4%; CAR 2%
43,BALD RAZORS-2,BALD RAZORS,14,18,0.22536,0.0,0.19976,14338.62,SEA 87%; NO 5%; TEN 4%
44,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,14,18,0.228693,0.0,0.19544,14334.12,SEA 94%; CAR 2%; SF 1%
45,FJIZZLE-2,FJIZZLE,14,18,0.230989,0.0,0.18984,14258.96,SEA 86%; NO 5%; TEN 4%
46,Slick Rick11-1,Slick Rick11,14,18,0.22536,0.0,0.212,14233.27,SEA 86%; NO 5%; TEN 4%
47,Chimp-19-1,Chimp-19,14,18,0.240755,0.0,0.1928,14117.19,SEA 90%; TEN 4%; CAR 2%
48,Uncle Nephew-2,Uncle Nephew,14,18,0.243564,0.0,0.21584,14091.02,SEA 86%; NO 5%; TEN 4%
