rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,DaliBones-1,DaliBones,15,17,0.325506,0.0,0.26536,23583.01,TEN 36%; BAL 34%; ARI 13%
2,KSSA-1,KSSA,15,17,0.306949,0.0,0.25664,22867.54,TEN 33%; BAL 30%; PIT 14%
3,PICKSWCLARS24-1,PICKSWCLARS24,15,17,0.384007,0.0,0.30736,22582.66,TEN 44%; BAL 41%; SF 4%
4,SIN CITY LORI-1,SIN CITY LORI,15,17,0.358157,0.0,0.32592,21990.97,LA 73%; BAL 20%; SF 2%
5,YEEGONE2-3,YEEGONE2,15,17,0.34784,0.0,0.2876,21837.75,LA 71%; TEN 21%; MIN 2%
6,Practice Squad QB-2,Practice Squad QB,15,17,0.341293,0.0,0.28752,21209.53,TEN 76%; SF 7%; LV 5%
7,Puppy Kisses-2,Puppy Kisses,15,17,0.386618,0.0,0.29168,21179.25,LA 67%; BAL 18%; ARI 7%
8,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,15,17,0.372465,0.0,0.27336,21024.48,BAL 56%; ARI 22%; SF 6%
9,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,15,17,0.326922,0.0,0.2812,20864.74,BAL 58%; ARI 23%; SF 6%
10,PUFFALUPPS-2,PUFFALUPPS,15,17,0.358157,0.0,0.32544,20650.44,LA 72%; BAL 20%; MIN 2%
11,@plastered in paris-1,@plastered in paris,15,17,0.330963,0.0,0.29576,20424.7,TEN 43%; BAL 40%; SF 4%
12,ROBERTRUTTER-1,ROBERTRUTTER,15,17,0.330527,0.0,0.2812,19889.24,TEN 43%; BAL 40%; SF 4%
13,Chimp-19-1,Chimp-19,15,17,0.337385,0.0,0.28856,19610.29,LA 71%; TEN 21%; MIN 2%
14,scourrge-4,scourrge,15,17,0.33667,0.0,0.2476,19253.88,LA 87%; MIN 3%; SF 3%
15,Larry B 27-3,Larry B 27,15,17,0.318249,0.0,0.25504,19090.45,LA 72%; TEN 21%; SF 2%
16,Practice Squad QB-1,Practice Squad QB,15,17,0.336941,0.0,0.2816,19066.81,LA 82%; ARI 9%; SF 2%
17,Maiowe-3,Maiowe,15,17,0.293516,0.0,0.25632,19015.17,BAL 43%; PIT 20%; ARI 17%
18,DOZER-1,DOZER,15,17,0.330527,0.0,0.27856,18897.32,BAL 55%; PIT 26%; SF 6%
19,pointsonthepackage-1,pointsonthepackage,15,17,0.341219,0.0,0.2788,18590.91,TEN 44%; BAL 41%; SF 4%
20,Golfing in Hell-2,Golfing in Hell,15,17,0.335593,0.0,0.2736,18521.93,TEN 38%; BAL 36%; ARI 14%
21,ORDER UP-2,ORDER UP,15,17,0.353728,0.0,0.28432,18469.5,LA 71%; BAL 20%; MIN 2%
22,Scrlou41-1,Scrlou41,15,17,0.303428,0.0,0.22792,18145.37,PIT 35%; ARI 29%; BUF 10%
23,FJIZZLE-2,FJIZZLE,15,17,0.336227,0.0,0.27032,17969.37,LA 71%; TEN 21%; MIN 2%
24,ODBMG-1,ODBMG,15,17,0.330963,0.0,0.25816,17909.79,BAL 53%; PIT 25%; SF 6%
25,SHINEBOX.-1,SHINEBOX.,15,17,0.283837,0.0,0.23656,17861.08,ARI 46%; SF 12%; TB 8%
26,GAVIN45-3,GAVIN45,15,17,0.337385,0.0,0.26496,17774.77,LA 72%; TEN 21%; TB 1%
27,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,15,17,0.372465,0.0,0.26136,17759.18,BAL 52%; ARI 21%; BUF 7%
28,CLARKGRIZWOLD-2,CLARKGRIZWOLD,15,17,0.318887,0.0,0.24096,17745.25,GB 51%; ARI 24%; SF 7%
29,GULF COAST GURU-1,GULF COAST GURU,15,17,0.374503,0.0,0.31104,17729.5,LA 59%; TEN 18%; BAL 16%
30,BIGDNICK-5,BIGDNICK,15,17,0.291148,0.0,0.21416,17651.75,LA 81%; ARI 9%; SF 2%
31,Mucked Nuts.-1,Mucked Nuts.,15,17,0.330527,0.0,0.26456,17434.04,BAL 54%; ARI 21%; MIN 6%
32,Rip Wheeler-1,Rip Wheeler,15,17,0.35134,0.0,0.2488,17355.24,BAL 54%; ARI 21%; BUF 7%
33,PRESENCE-5,PRESENCE,15,17,0.371975,0.0,0.28224,17291.09,TEN 31%; BAL 29%; GB 24%
34,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,15,17,0.330963,0.0,0.26824,17238.44,BAL 69%; SF 7%; TB 5%
35,EX-FINANCE-1,EX-FINANCE,15,17,0.330527,0.0,0.2664,17039.92,BAL 72%; SF 8%; LV 5%
36,Joncon16-1,Joncon16,15,17,0.303264,0.0,0.22296,17017.59,TEN 68%; MIN 7%; SF 7%
37,Follow Proto-1,Follow Proto,15,17,0.353728,0.0,0.28456,16937.11,LA 68%; BAL 19%; ARI 7%
38,THE GREATEST DANCER-2,THE GREATEST DANCER,15,17,0.330599,0.0,0.25512,16863.1,TEN 57%; ARI 21%; SF 6%
39,JakestroJans-1,JakestroJans,15,17,0.35134,0.0,0.28512,16697.16,BAL 64%; BUF 9%; MIN 7%
