rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,Practice Squad QB-2,Practice Squad QB,16,16,0.524656,0.0,0.47256,34364.76,CHI 54%; KC 37%; DAL 2%
2,DaliBones-1,DaliBones,16,16,0.447543,0.0,0.34936,33856.01,TB 61%; HOU 18%; ARI 5%
3,PICKSWCLARS24-1,PICKSWCLARS24,16,16,0.524656,0.0,0.4516,33082.1,CHI 46%; KC 32%; NO 11%
4,pointsonthepackage-1,pointsonthepackage,16,16,0.514624,0.0,0.44184,32560.0,CHI 46%; KC 32%; NO 11%
5,Joncon16-1,Joncon16,16,16,0.463617,0.0,0.41352,30119.04,CHI 40%; KC 28%; TB 16%
6,@plastered in paris-1,@plastered in paris,16,16,0.507142,0.0,0.45048,29156.25,CHI 51%; TB 20%; CLE 17%
7,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,16,16,0.517029,0.0,0.43624,28752.5,CHI 61%; TB 23%; BUF 6%
8,ROBERTRUTTER-1,ROBERTRUTTER,16,16,0.495993,0.0,0.43688,28579.98,CHI 55%; CLE 19%; NO 13%
9,SHINEBOX.-1,SHINEBOX.,16,16,0.456877,0.0,0.3876,28018.81,CHI 47%; TB 18%; CLE 16%
10,Mucked Nuts.-1,Mucked Nuts.,16,16,0.495993,0.0,0.42952,27857.43,CHI 63%; CLE 21%; BAL 5%
11,THE GREATEST DANCER-2,THE GREATEST DANCER,16,16,0.505662,0.0,0.422,27828.11,CHI 57%; CLE 19%; NO 14%
12,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,16,16,0.456877,0.0,0.39192,27817.94,CHI 56%; TB 21%; NO 13%
13,Texas Bound.-1,Texas Bound.,16,16,0.475748,0.0,0.4548,27628.38,CHI 69%; NO 16%; BAL 5%
14,SUNFLOWER-1,SUNFLOWER,16,16,0.443602,0.0,0.3768,27199.67,CHI 51%; TB 20%; CLE 17%
15,Golfing in Hell-2,Golfing in Hell,16,16,0.514624,0.0,0.46144,27007.73,CHI 52%; KC 36%; BAL 4%
16,Sting-4,Sting,16,16,0.456531,0.0,0.33288,26771.93,CHI 45%; KC 31%; NO 11%
