rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SUBIIME-4,SUBIIME,0,32,0.001319,0.0,0.00056,768.88,BUF 11%; NE 11%; SF 8%
2,GOOD TALK RUSS-3,GOOD TALK RUSS,0,32,0.001319,0.0,0.00056,746.35,BUF 13%; NE 13%; SF 8%
3,EROQ-3,EROQ,0,32,0.001319,0.0,0.00056,744.85,BUF 10%; NE 10%; SF 7%
4,RED EYE-1,RED EYE,0,32,0.001319,0.0,0.00056,686.01,BUF 19%; NE 18%; SF 8%
5,SOFAKINGZ-1,SOFAKINGZ,0,32,0.001319,0.0,0.00056,684.78,BUF 19%; NE 18%; SF 8%
6,ACKATTACK-3,ACKATTACK,0,32,0.001319,0.0,0.00048,659.04,BUF 13%; NE 13%; SF 8%
7,ESSENTIAL BETTORS-3,ESSENTIAL BETTORS,0,32,0.001319,0.0,0.00048,659.04,BUF 15%; NE 15%; SF 8%
8,Football Junkies-4,Football Junkies,0,32,0.001319,0.0,0.00048,659.04,BUF 19%; NE 18%; SF 8%
9,Mean Machine-2,Mean Machine,0,32,0.001319,0.0,0.00048,659.04,BUF 15%; NE 15%; SF 8%
10,Kitsunegari-2,Kitsunegari,0,32,0.001319,0.0,0.00048,659.04,BUF 19%; NE 18%; SF 8%
11,RICKSKINS-1,RICKSKINS,0,32,0.001319,0.0,0.00048,643.89,BUF 19%; NE 18%; SF 8%
12,SMOOTH TASTE FOOL YA-5,SMOOTH TASTE FOOL YA,0,32,0.001319,0.0,0.00048,639.67,BUF 19%; NE 18%; SF 8%
13,Locksmith-2,Locksmith,0,32,0.001319,0.0,0.00048,636.51,BUF 19%; NE 18%; SF 8%
14,RUSH 2112 YYZ-3,RUSH 2112 YYZ,0,32,0.001319,0.0,0.00048,635.01,BUF 11%; NE 11%; SF 8%
15,EX-FINANCE-3,EX-FINANCE,0,32,0.001319,0.0,0.00048,632.12,BUF 11%; NE 11%; SF 8%
16,BOYCOTT 8 PCT-3,BOYCOTT 8 PCT,0,32,0.001319,0.0,0.00048,629.96,BUF 15%; NE 15%; SF 8%
17,IMAWHALE SPORTS-2,IMAWHALE SPORTS,0,32,0.001319,0.0,0.00048,628.96,BUF 15%; NE 15%; SF 8%
18,BALD RAZORS-2,BALD RAZORS,0,32,0.001319,0.0,0.00048,628.19,BUF 19%; NE 18%; SF 8%
