rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,WINNINGANGLE-1,WINNINGANGLE,1,31,0.002235,0.0,0.0012,1192.1,TEN 18%; CLE 14%; TB 10%
2,Roundtrip-1,Roundtrip,1,31,0.001627,0.0,0.00096,1150.21,TEN 19%; CLE 14%; TB 11%
3,JMDTCASH-2,JMDTCASH,1,31,0.002247,0.0,0.0012,1116.34,TEN 15%; CLE 13%; TB 10%
4,TEAM MOIST-3,TEAM MOIST,1,31,0.002235,0.0,0.00088,1089.85,TEN 18%; CLE 14%; TB 10%
5,HMA-1,HMA,1,31,0.002247,0.0,0.00136,1085.04,TEN 18%; CLE 14%; TB 10%
6,KSSA-1,KSSA,1,31,0.002247,0.0,0.00096,1062.02,TEN 18%; CLE 14%; TB 10%
7,DR B-4,DR B,1,31,0.001627,0.0,0.0008,1055.54,TEN 12%; CLE 11%; TB 10%
8,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,1,31,0.002247,0.0,0.00096,1037.47,TEN 18%; CLE 14%; TB 10%
9,Midnight Cat-4,Midnight Cat,1,31,0.002251,0.0,0.00096,1008.2,TEN 14%; CLE 12%; TB 10%
10,Larry B 27-5,Larry B 27,1,31,0.002247,0.0,0.00112,999.12,TEN 12%; CLE 11%; TB 10%
11,Captain Seamus-1,Captain Seamus,1,31,0.002247,0.0,0.00096,992.52,TEN 18%; CLE 14%; TB 10%
12,Dble Dutch18-1,Dble Dutch18,1,31,0.002251,0.0,0.00096,989.14,TEN 17%; CLE 13%; TB 10%
13,HARTMANN-1,HARTMANN,1,31,0.002247,0.0,0.00112,976.82,TEN 18%; CLE 14%; TB 10%
14,ATS.IO-1,ATS.IO,1,31,0.002266,0.0,0.00096,950.85,TEN 17%; CLE 13%; TB 10%
15,Chimp-19-1,Chimp-19,1,31,0.002247,0.0,0.00096,944.15,TEN 18%; CLE 14%; TB 10%
16,Covid Cappers-2,Covid Cappers,1,31,0.002235,0.0,0.00096,943.03,TEN 15%; CLE 12%; TB 10%
17,HeatStroke-1,HeatStroke,1,31,0.002247,0.0,0.00096,940.57,TEN 16%; CLE 13%; TB 10%
18,GULF COAST GURU-1,GULF COAST GURU,1,31,0.002247,0.0,0.00096,920.77,TEN 18%; CLE 14%; TB 10%
19,Luther41-3,Luther41,1,31,0.002247,0.0,0.0008,914.52,TEN 15%; CLE 13%; TB 10%
20,PARLAY G-5,PARLAY G,1,31,0.002247,0.0,0.0008,913.56,TEN 18%; CLE 14%; TB 10%
21,* THE NUT SQUIRRELS-5,* THE NUT SQUIRRELS,1,31,0.002251,0.0,0.0008,912.8,TEN 15%; CLE 12%; TB 10%
22,Practice Squad QB-2,Practice Squad QB,1,31,0.002235,0.0,0.0008,912.15,TEN 18%; CLE 14%; TB 10%
23,HR CAPPERS-1,HR CAPPERS,1,31,0.002251,0.0,0.00088,910.66,TEN 17%; CLE 13%; TB 10%
24,MXX-2,MXX,1,31,0.002251,0.0,0.0008,909.8,TEN 15%; CLE 12%; TB 10%
25,DR B-5,DR B,1,31,0.001627,0.0,0.00072,903.68,TEN 11%; CLE 10%; TB 9%
26,Must86-1,Must86,1,31,0.002235,0.0,0.00096,901.68,TEN 18%; CLE 14%; TB 10%
27,DIGGS ALLEN '22-2,DIGGS ALLEN '22,1,31,0.002251,0.0,0.00104,900.87,TEN 14%; CLE 12%; TB 10%
28,Puppy Kisses-4,Puppy Kisses,1,31,0.002247,0.0,0.00096,896.04,TEN 13%; CLE 12%; TB 10%
29,Jrod-5,Jrod,1,31,0.001627,0.0,0.00088,895.19,TEN 12%; CLE 11%; TB 10%
30,Lord Smith-1,Lord Smith,1,31,0.002266,0.0,0.0008,886.68,TEN 17%; CLE 13%; TB 10%
31,Gamblinsteve-1,Gamblinsteve,1,31,0.002251,0.0,0.00104,886.27,TEN 17%; CLE 13%; TB 10%
32,YEEGONE2-3,YEEGONE2,1,31,0.002247,0.0,0.00088,884.09,TEN 18%; CLE 14%; TB 10%
33,CAVEHAWKS-1,CAVEHAWKS,1,31,0.002251,0.0,0.00096,883.92,TEN 14%; CLE 12%; TB 10%
34,Football Junkies-4,Football Junkies,1,31,0.002235,0.0,0.00112,871.63,TEN 18%; CLE 14%; TB 10%
35,Jokey-2,Jokey,1,31,0.002235,0.0,0.0008,871.01,TEN 15%; CLE 12%; TB 10%
36,Jokey-1,Jokey,1,31,0.002251,0.0,0.00096,869.98,TEN 17%; CLE 13%; TB 10%
37,KNOWSTRADAMUS-1,KNOWSTRADAMUS,1,31,0.002247,0.0,0.00096,861.09,TEN 18%; CLE 14%; TB 10%
38,WHERE'S LUNCH-4,WHERE'S LUNCH,1,31,0.002251,0.0,0.00096,855.69,TEN 14%; CLE 12%; TB 10%
39,IMAWHALE SPORTS-1,IMAWHALE SPORTS,1,31,0.002235,0.0,0.00088,855.58,TEN 18%; CLE 14%; TB 10%
40,TOMPAPAGEORGIO-2,TOMPAPAGEORGIO,1,31,0.002247,0.0,0.00064,854.69,TEN 15%; CLE 13%; TB 10%
41,Joncon16-1,Joncon16,1,31,0.002251,0.0,0.00072,853.65,TEN 17%; CLE 13%; TB 10%
42,LEO-2,LEO,1,31,0.001852,0.0,0.00072,852.26,TEN 18%; CLE 11%; TB 10%
43,CLARKGRIZWOLD-1,CLARKGRIZWOLD,1,31,0.002247,0.0,0.00072,848.88,TEN 13%; CLE 12%; TB 10%
44,DONTTELLYOURSISTER-1,DONTTELLYOURSISTER,1,31,0.002251,0.0,0.00072,844.44,TEN 17%; CLE 13%; TB 10%
45,DUCK-5,DUCK,1,31,0.002266,0.0,0.00104,841.0,TEN 10%; CLE 10%; TB 9%
46,FTGB-4,FTGB,1,31,0.002247,0.0,0.00088,839.5,TEN 14%; CLE 12%; TB 10%
47,WE BAD-1,WE BAD,1,31,0.001774,0.0,0.00072,837.31,TEN 18%; CLE 13%; TB 10%
48,WISE CAPPERS-1,WISE CAPPERS,1,31,0.002247,0.0,0.00072,832.01,TEN 18%; CLE 14%; TB 10%
49,Heater City-1,Heater City,1,31,0.002247,0.0,0.0008,829.08,TEN 18%; CLE 14%; TB 10%
50,BRIAR GREEN-3,BRIAR GREEN,1,31,0.002247,0.0,0.00088,825.11,TEN 14%; CLE 12%; TB 10%
51,Lucas Nogueira-3,Lucas Nogueira,1,31,0.002251,0.0,0.00064,823.49,TEN 11%; CLE 10%; TB 9%
52,NOTGambling-2,NOTGambling,1,31,0.001627,0.0,0.00088,821.07,TEN 19%; CLE 14%; TB 11%
53,Jax 2 Win-3,Jax 2 Win,1,31,0.001627,0.0,0.00088,820.96,TEN 19%; CLE 14%; TB 11%
54,PROBST-2,PROBST,1,31,0.002251,0.0,0.0008,820.59,TEN 17%; CLE 13%; TB 10%
55,Supreme Court-1,Supreme Court,1,31,0.002247,0.0,0.00088,817.87,TEN 18%; CLE 14%; TB 10%
