rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-06260,SYNTH-06260,0,32,5e-05,0.0,0.00024,4930.91,CIN 82%; BUF 6%; SEA 3%
2,SYNTH-16976,SYNTH-16976,0,32,5e-05,0.0,0.00024,4872.47,CIN 54%; BUF 10%; SEA 6%
3,SYNTH-17273,SYNTH-17273,0,32,5e-05,0.0,0.00024,4763.08,CIN 76%; BUF 8%; SEA 3%
4,SYNTH-02222,SYNTH-02222,0,32,5e-05,0.0,0.00024,4032.77,CIN 76%; BUF 7%; SEA 4%
5,SYNTH-19618,SYNTH-19618,0,32,5e-05,0.0,0.00024,4032.77,CIN 78%; BUF 7%; SEA 3%
6,SYNTH-17875,SYNTH-17875,0,32,5e-05,0.0,0.00016,3840.0,CIN 74%; BUF 9%; SEA 4%
7,SYNTH-00579,SYNTH-00579,0,32,5e-05,0.0,0.00016,3840.0,CIN 77%; BUF 7%; SEA 4%
8,SYNTH-17609,SYNTH-17609,0,32,5e-05,0.0,0.00016,3840.0,CIN 68%; BUF 8%; SEA 5%
9,SYNTH-21096,SYNTH-21096,0,32,5e-05,0.0,0.00016,3840.0,CIN 82%; BUF 6%; SEA 3%
10,SYNTH-08769,SYNTH-08769,0,32,5e-05,0.0,0.00016,3840.0,CIN 79%; BUF 8%; SEA 3%
11,SYNTH-18753,SYNTH-18753,0,32,5e-05,0.0,0.00016,3840.0,CIN 75%; BUF 8%; SEA 4%
12,SYNTH-02174,SYNTH-02174,0,32,5e-05,0.0,0.00016,3840.0,CIN 83%; BUF 6%; SEA 3%
13,SYNTH-18695,SYNTH-18695,0,32,5e-05,0.0,0.00016,3840.0,CIN 67%; BUF 8%; SEA 5%
14,SYNTH-07288,SYNTH-07288,0,32,5e-05,0.0,0.00016,3840.0,CIN 79%; BUF 7%; SEA 3%
15,SYNTH-14559,SYNTH-14559,0,32,5e-05,0.0,0.00016,3840.0,CIN 78%; BUF 8%; SEA 3%
16,SYNTH-11542,SYNTH-11542,0,32,5e-05,0.0,0.00016,3840.0,CIN 81%; BUF 6%; SEA 3%
17,SYNTH-00690,SYNTH-00690,0,32,5e-05,0.0,0.00016,3766.15,CIN 72%; BUF 9%; SEA 4%
18,SYNTH-10317,SYNTH-10317,0,32,5e-05,0.0,0.00016,3634.29,CIN 80%; BUF 7%; SEA 3%
19,SYNTH-06213,SYNTH-06213,0,32,5e-05,0.0,0.00016,3634.29,CIN 76%; BUF 8%; SEA 3%
