rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,737 KEVIN-1,737 KEVIN,9,23,0.009142,0.0,0.00712,75352.01,LAC 33%; MIN 31%; CHI 15%
2,Just Say Yes-2,Just Say Yes,9,23,0.010734,0.0,0.00808,66507.51,LAC 33%; MIN 30%; CHI 17%
3,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,9,23,0.008828,0.0,0.00736,65543.44,LAC 54%; BAL 10%; BUF 5%
4,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,9,23,0.009719,0.0,0.00688,64115.17,LAC 30%; MIN 27%; CHI 16%
5,CitadelSG34-2,CitadelSG34,9,23,0.007014,0.0,0.0072,58906.54,MIN 41%; CHI 24%; BAL 9%
6,Tarz-2,Tarz,9,23,0.010617,0.0,0.00672,58361.56,MIN 46%; SF 15%; BAL 10%
7,TRAINWRECK-3,TRAINWRECK,9,23,0.009296,0.0,0.00568,57131.94,SF 28%; BAL 18%; BUF 9%
8,Izzy-4,Izzy,9,23,0.008616,0.0,0.00608,56950.63,SF 30%; BAL 19%; KC 9%
9,FLOWMASTER-5,FLOWMASTER,9,23,0.00745,0.0,0.0076,56892.78,LAC 33%; MIN 31%; CHI 15%
10,BEARDOWNPOLSTO.-4,BEARDOWNPOLSTO.,9,23,0.008711,0.0,0.00704,56255.56,LAC 31%; MIN 28%; CHI 16%
11,Like A Good Naber-5,Like A Good Naber,9,23,0.008045,0.0,0.00736,55591.29,MIN 40%; CHI 23%; BAL 8%
12,JJarvis117-5,JJarvis117,9,23,0.008919,0.0,0.00648,55586.13,LAC 38%; MIN 36%; BAL 7%
13,GoodNLucky-7,GoodNLucky,9,23,0.009769,0.0,0.00728,55390.13,MIN 43%; CHI 25%; BAL 9%
14,Gilkey-2,Gilkey,9,23,0.008004,0.0,0.00816,55339.94,MIN 41%; CHI 24%; BAL 9%
15,DRGUESSEDIT-2,DRGUESSEDIT,9,23,0.007547,0.0,0.00584,54866.5,LAC 55%; CHI 22%; BAL 9%
16,THEBIGHORSE-2,THEBIGHORSE,9,23,0.008831,0.0,0.00664,54304.87,LAC 34%; MIN 28%; CHI 16%
17,CMAMOULELIS-2,CMAMOULELIS,9,23,0.010702,0.0,0.00608,53841.25,LAC 39%; MIN 33%; BAL 7%
18,THE RAZOR SQUAD-1,THE RAZOR SQUAD,9,23,0.007204,0.0,0.00608,53331.97,LAC 33%; MIN 30%; CHI 17%
19,ZURLINSKY-1,ZURLINSKY,9,23,0.007315,0.0,0.00736,52902.67,LAC 32%; MIN 29%; CHI 17%
20,TY1823-8,TY1823,9,23,0.00745,0.0,0.00704,52824.92,LAC 31%; MIN 29%; CHI 17%
21,THE WATER BOYS-1,THE WATER BOYS,9,23,0.008797,0.0,0.0072,52012.11,MIN 50%; CHI 23%; BAL 9%
22,2 make the cut-1,2 make the cut,9,23,0.0,0.0,0.00616,51874.43,LAC 39%; MIN 35%; BAL 7%
23,RISKY 11-1,RISKY 11,9,23,0.008686,0.0,0.00656,51729.31,LAC 33%; MIN 30%; CHI 18%
24,ATTACKOFTHESURVIVOR-8,ATTACKOFTHESURVIVOR,9,23,0.008362,0.0,0.00576,51646.53,LAC 47%; MIN 20%; SF 11%
25,Browna-6,Browna,9,23,0.008932,0.0,0.00656,51623.12,LAC 34%; MIN 31%; CHI 16%
26,DR STRANGE-3,DR STRANGE,9,23,0.008705,0.0,0.00744,51242.53,MIN 43%; CHI 25%; BAL 9%
