rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,10,22,0.012714,0.0,0.0136,100026.65,MIA 47%; DET 37%; GB 8%
2,ALPHAJC-1,ALPHAJC,10,22,0.013086,0.0,0.0112,96940.54,MIA 31%; MIN 26%; DET 24%
3,DREAM STAKES-1,DREAM STAKES,10,22,0.0,0.0,0.01208,92864.16,MIA 32%; MIN 27%; DET 26%
4,White Lotus-1,White Lotus,10,22,0.010623,0.0,0.01128,92429.79,MIN 40%; MIA 20%; DET 19%
5,ATTACKOFTHESURVIVOR-10,ATTACKOFTHESURVIVOR,10,22,0.018462,0.0,0.0108,88008.02,MIA 31%; MIN 26%; DET 25%
6,Just Say Yes-2,Just Say Yes,10,22,0.015315,0.0,0.0136,87587.08,MIA 33%; MIN 28%; DET 26%
7,My 3 Sunz-2,My 3 Sunz,10,22,0.010242,0.0,0.01168,86546.75,MIA 44%; DET 35%; GB 8%
8,737 KEVIN-1,737 KEVIN,10,22,0.013934,0.0,0.00928,85180.35,MIA 46%; MIN 32%; PHI 10%
9,BIG HOUSE-2,BIG HOUSE,10,22,0.0135,0.0,0.01024,84642.05,MIA 41%; MIN 35%; GB 7%
10,THE RAZOR SQUAD-1,THE RAZOR SQUAD,10,22,0.010623,0.0,0.01,83177.89,MIA 33%; MIN 28%; DET 26%
11,mill dog-8,mill dog,10,22,0.017347,0.0,0.012,83009.64,MIA 45%; DET 36%; GB 8%
12,Tam Tam-2,Tam Tam,10,22,0.013406,0.0,0.01016,82966.0,MIA 31%; MIN 26%; DET 25%
13,HOFF_66-1,HOFF_66,10,22,0.012244,0.0,0.00896,82588.33,MIA 31%; MIN 26%; DET 24%
14,He1ter Ske1ter-1,He1ter Ske1ter,10,22,0.012248,0.0,0.01192,82350.74,MIA 47%; DET 37%; GB 8%
15,C3 Picks-7,C3 Picks,10,22,0.010964,0.0,0.0096,81769.32,MIA 42%; MIN 35%; GB 8%
16,MUSTwIN-1,MUSTwIN,10,22,0.010119,0.0,0.0096,81074.95,MIA 40%; DET 31%; GB 7%
17,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,10,22,0.01488,0.0,0.00952,80793.03,MIA 63%; PHI 13%; LA 7%
18,ATTACKOFTHESURVIVOR-8,ATTACKOFTHESURVIVOR,10,22,0.013177,0.0,0.00896,80782.44,MIA 25%; MIN 23%; DET 22%
19,Browna-6,Browna,10,22,0.013127,0.0,0.01008,79137.79,MIA 71%; GB 10%; DEN 5%
20,TRAINWRECK-3,TRAINWRECK,10,22,0.012809,0.0,0.00816,79022.86,MIA 38%; DET 30%; PHI 8%
