rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,HOFF_66-1,HOFF_66,11,21,0.016856,0.0,0.01432,121391.84,DET 22%; PIT 21%; MIA 16%
2,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,11,21,0.025144,0.0,0.01416,118797.99,KC 43%; DEN 21%; PIT 15%
3,JOEMALC-6,JOEMALC,11,21,0.015354,0.0,0.0136,108481.15,TB 40%; KC 23%; DEN 11%
4,C3 Picks-9,C3 Picks,11,21,0.016503,0.0,0.01296,104460.74,TB 28%; KC 23%; DET 15%
5,COUNTRY SOUDED-9,COUNTRY SOUDED,11,21,0.018704,0.0,0.0136,101585.52,TB 57%; PIT 12%; MIA 9%
6,Just Say Yes-2,Just Say Yes,11,21,0.01704,0.0,0.01464,99281.62,TB 42%; KC 24%; DET 9%
7,My 3 Sunz-2,My 3 Sunz,11,21,0.014046,0.0,0.01296,98685.34,TB 37%; KC 21%; HOU 21%
8,737 KEVIN-1,737 KEVIN,11,21,0.01717,0.0,0.01184,98530.51,KC 33%; PIT 19%; MIA 15%
9,BIG HOUSE-2,BIG HOUSE,11,21,0.018977,0.0,0.01224,97472.94,TB 43%; KC 25%; PIT 9%
10,PISTONS87-7,PISTONS87,11,21,0.012699,0.0,0.0116,97178.92,TB 56%; PIT 13%; DET 9%
11,ATTACKOFTHESURVIVOR-10,ATTACKOFTHESURVIVOR,11,21,0.020037,0.0,0.0128,97175.42,TB 37%; KC 21%; DEN 11%
12,PONDEROSA-2,PONDEROSA,11,21,0.01754,0.0,0.01192,95850.86,KC 34%; HOU 34%; PIT 12%
13,CB BBQ-1,CB BBQ,11,21,0.015016,0.0,0.0108,95350.33,TB 43%; KC 25%; DET 10%
14,Whiskey Business-1,Whiskey Business,11,21,0.012402,0.0,0.0108,92864.72,TB 42%; KC 25%; DET 9%
15,KC ICE CREAM-6,KC ICE CREAM,11,21,0.017758,0.0,0.01176,92338.57,KC 44%; PIT 16%; MIA 12%
16,THEBIGHORSE-2,THEBIGHORSE,11,21,0.014463,0.0,0.01072,92163.53,TB 34%; HOU 24%; KC 16%
17,MUSTwIN-1,MUSTwIN,11,21,0.01814,0.0,0.01096,91838.74,KC 30%; HOU 30%; DET 11%
18,ALLISON'S BOYFRIEND-6,ALLISON'S BOYFRIEND,11,21,0.014559,0.0,0.00952,90119.97,TB 42%; HOU 24%; DET 9%
19,VODKA JOHNNY-7,VODKA JOHNNY,11,21,0.016963,0.0,0.0132,88216.09,TB 43%; KC 25%; PIT 9%
20,ZURLINSKY-1,ZURLINSKY,11,21,0.013538,0.0,0.01088,87506.03,TB 45%; KC 26%; PIT 10%
21,White Lotus-4,White Lotus,11,21,0.01243,0.0,0.00976,87283.35,TB 46%; KC 27%; DET 10%
22,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,11,21,0.017207,0.0,0.01376,86828.02,TB 45%; KC 26%; PIT 9%
23,The Docs Picks-2,The Docs Picks,11,21,0.021419,0.0,0.01104,85659.52,TB 42%; KC 24%; DEN 12%
24,DALLAS-3,DALLAS,11,21,0.011963,0.0,0.01024,84487.97,TB 44%; KC 25%; DET 10%
25,He1ter Ske1ter-1,He1ter Ske1ter,11,21,0.016975,0.0,0.0112,84368.79,TB 52%; DET 12%; PIT 11%
26,RISKY 11-1,RISKY 11,11,21,0.016955,0.0,0.0092,84325.21,TB 55%; DEN 16%; DET 12%
27,EL LOCO IS-5,EL LOCO IS,11,21,0.017107,0.0,0.0104,82902.8,TB 57%; DET 12%; PIT 12%
28,Tarz-2,Tarz,11,21,0.019806,0.0,0.01024,82740.03,TB 47%; DEN 14%; PIT 10%
29,BIG FLAT IRON-1,BIG FLAT IRON,11,21,0.01774,0.0,0.01056,82637.73,DET 26%; PIT 25%; SEA 15%
30,Browna-6,Browna,11,21,0.02041,0.0,0.01128,82449.94,TB 45%; KC 20%; DEN 13%
