rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,14,18,0.098308,0.0,0.08632,341989.32,PIT 66%; PHI 22%; NO 7%
2,737 KEVIN-1,737 KEVIN,14,18,0.104105,0.0,0.07752,315515.38,PIT 58%; PHI 33%; NO 5%
3,TRAINWRECK-3,TRAINWRECK,14,18,0.077475,0.0,0.05384,293837.33,PHI 53%; NO 18%; TB 14%
4,DRGUESSEDIT-2,DRGUESSEDIT,14,18,0.073564,0.0,0.05792,291120.84,TB 64%; ARI 13%; JAX 5%
5,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,14,18,0.06295,0.0,0.04728,275779.71,NO 32%; TB 25%; MIN 16%
6,PISTONS87-7,PISTONS87,14,18,0.079148,0.0,0.07496,275480.15,PIT 58%; PHI 31%; NO 5%
7,TY1823-8,TY1823,14,18,0.065366,0.0,0.05384,266273.45,PIT 75%; NO 9%; TB 7%
8,Tarz-2,Tarz,14,18,0.080036,0.0,0.072,260237.17,PIT 60%; PHI 20%; NO 7%
9,VODKA JOHNNY-7,VODKA JOHNNY,14,18,0.07801,0.0,0.06696,258649.91,PIT 64%; PHI 21%; NO 7%
10,C3 Picks-9,C3 Picks,14,18,0.073557,0.0,0.06048,254269.1,PHI 41%; PIT 24%; NO 14%
11,rock-2,rock,14,18,0.074158,0.0,0.06392,250334.21,PIT 81%; NO 9%; MIN 5%
12,FLOWMASTER-5,FLOWMASTER,14,18,0.073293,0.0,0.05496,247865.8,PIT 82%; NO 8%; TB 7%
13,THEBIGHORSE-2,THEBIGHORSE,14,18,0.064544,0.0,0.05184,244421.57,PIT 76%; NO 8%; TB 7%
14,Tommy Dawg-7,Tommy Dawg,14,18,0.069829,0.0,0.05696,243918.03,PIT 61%; PHI 20%; NO 7%
15,COUNTRY SOUDED-9,COUNTRY SOUDED,14,18,0.095488,0.0,0.08232,240528.54,PIT 86%; MIA 7%; SF 3%
16,COACHD-4,COACHD,14,18,0.070808,0.0,0.0548,240119.31,PIT 64%; PHI 21%; NO 7%
17,SLOPPY BRI-3,SLOPPY BRI,14,18,0.072743,0.0,0.06776,238496.45,PIT 79%; NO 9%; MIN 5%
18,BIG HOUSE-2,BIG HOUSE,14,18,0.095488,0.0,0.07064,237253.61,PIT 78%; NO 9%; TB 7%
19,JOEMALC-6,JOEMALC,14,18,0.070808,0.0,0.05072,233597.56,PIT 61%; PHI 20%; NO 7%
20,UNCJERSEYMIKE-2,UNCJERSEYMIKE,14,18,0.068431,0.0,0.0584,233479.48,PIT 79%; NO 9%; TB 7%
21,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,14,18,0.095488,0.0,0.0768,229771.16,PIT 79%; NO 9%; TB 7%
22,mill dog-8,mill dog,14,18,0.094375,0.0,0.06768,229093.1,PIT 79%; NO 9%; TB 7%
23,White Lotus-4,White Lotus,14,18,0.070375,0.0,0.05024,228844.47,PIT 66%; PHI 22%; NO 7%
24,Whiskey Business-1,Whiskey Business,14,18,0.074652,0.0,0.05,227346.24,PIT 61%; PHI 20%; NO 7%
25,Just Say Yes-2,Just Say Yes,14,18,0.094375,0.0,0.07392,225624.6,PIT 90%; MIN 5%; ARI 2%
26,DALLAS-3,DALLAS,14,18,0.082947,0.0,0.0596,221630.2,PIT 85%; NO 10%; ARI 2%
27,MEATBALL BROTHERS-2,MEATBALL BROTHERS,14,18,0.062919,0.0,0.05392,212660.11,PIT 79%; NO 9%; TB 7%
28,WHATEVERYALLWANT-6,WHATEVERYALLWANT,14,18,0.072449,0.0,0.05936,212265.62,PIT 79%; TB 7%; MIA 7%
29,C3 Picks-7,C3 Picks,14,18,0.071737,0.0,0.0612,210730.6,PIT 81%; TB 7%; MIN 5%
30,SENIOR JIBBLES-5,SENIOR JIBBLES,14,18,0.07774,0.0,0.0664,199140.87,PIT 83%; TB 7%; MIN 5%
31,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,14,18,0.0,0.0,0.04976,196899.63,PIT 76%; NO 9%; TB 7%
32,DR STRANGE-3,DR STRANGE,14,18,0.057829,0.0,0.05064,196210.06,PIT 81%; NO 9%; MIN 5%
33,PAPAJOE-1,PAPAJOE,14,18,0.072449,0.0,0.0644,194699.43,PIT 89%; NO 7%; ARI 1%
34,DRAKEMAY-9,DRAKEMAY,14,18,0.070808,0.0,0.04016,192607.04,PIT 65%; PHI 22%; TB 6%
35,Ryan Hojo-10,Ryan Hojo,14,18,0.071737,0.0,0.0592,192454.59,PIT 80%; NO 9%; MIN 5%
36,njtocal11-4,njtocal11,14,18,0.056493,0.0,0.04416,187849.61,PIT 75%; NO 8%; TB 7%
37,ANGRY IRISH J3W-5,ANGRY IRISH J3W,14,18,0.0,0.0,0.0328,187177.95,PHI 54%; NO 18%; TB 14%
38,hotlanta-3,hotlanta,14,18,0.052329,0.0,0.04328,185175.44,PIT 79%; NO 9%; TB 7%
39,NELLIELEE25-2,NELLIELEE25,14,18,0.076834,0.0,0.05928,183514.35,PIT 75%; NO 9%; MIA 6%
40,NICKEL AND DIMING-4,NICKEL AND DIMING,14,18,0.060374,0.0,0.04536,181608.28,PIT 76%; NO 9%; TB 7%
