rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,TRAINWRECK-3,TRAINWRECK,16,16,0.148755,0.0,0.12872,1167352.41,CIN 78%; BUF 12%; SF 2%
2,hotlanta-3,hotlanta,16,16,0.101363,0.0,0.07488,631890.97,ATL 57%; CIN 38%; LA 1%
3,TY1823-8,TY1823,16,16,0.157262,0.0,0.11072,429650.1,ATL 47%; GB 37%; ARI 6%
4,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,16,16,0.0,0.0,0.10272,427791.78,ARI 50%; BAL 16%; SF 7%
5,Tapout59-1,Tapout59,16,16,0.164546,0.0,0.12048,411782.58,ATL 39%; GB 31%; CIN 26%
6,2 make the cut-1,2 make the cut,16,16,0.160966,0.0,0.1236,400400.95,ATL 50%; CIN 33%; ARI 7%
7,IRONGATE-1,IRONGATE,16,16,0.16435,0.0,0.13944,394697.63,ATL 50%; GB 39%; ARI 7%
8,NFL WISEGUYS-6,NFL WISEGUYS,16,16,0.148578,0.0,0.12368,365622.42,ATL 47%; ARI 23%; BUF 15%
9,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,16,16,0.143167,0.0,0.098,361459.72,ATL 38%; GB 30%; CIN 25%
10,RUBBERINWALL-3,RUBBERINWALL,16,16,0.16435,0.0,0.13376,361358.84,ATL 49%; GB 39%; ARI 7%
11,FLOWMASTER-5,FLOWMASTER,16,16,0.16435,0.0,0.12232,341102.53,ATL 50%; GB 43%; BAL 3%
12,White Lotus-4,White Lotus,16,16,0.143167,0.0,0.10272,339052.81,ATL 58%; CIN 38%; LA 1%
13,DREAM STAKES-1,DREAM STAKES,16,16,0.16435,0.0,0.1188,335267.36,ATL 49%; GB 39%; ARI 7%
14,DR STRANGE-3,DR STRANGE,16,16,0.142997,0.0,0.09416,330893.18,ATL 83%; ARI 11%; LA 2%
15,COACHD-4,COACHD,16,16,0.147854,0.0,0.10176,316838.8,ATL 36%; GB 29%; CIN 24%
16,Whiskey Business-1,Whiskey Business,16,16,0.167388,0.0,0.12424,311317.33,ATL 80%; ARI 11%; BAL 3%
17,DRGUESSEDIT-2,DRGUESSEDIT,16,16,0.148557,0.0,0.11776,302828.67,ATL 61%; CIN 33%; BAL 4%
18,THEBIGHORSE-2,THEBIGHORSE,16,16,0.143998,0.0,0.11192,279764.37,ATL 84%; BAL 5%; MIN 4%
19,C3 Picks-9,C3 Picks,16,16,0.162323,0.0,0.13728,269148.94,ATL 68%; BUF 20%; SF 4%
20,UNCJERSEYMIKE-2,UNCJERSEYMIKE,16,16,0.143998,0.0,0.11336,261973.29,ATL 80%; ARI 11%; BAL 3%
21,DALLAS-3,DALLAS,16,16,0.142997,0.0,0.1008,250319.27,ATL 83%; ARI 11%; LA 2%
22,NFL WISEGUYS-5,NFL WISEGUYS,16,16,0.148578,0.0,0.12128,237846.44,ATL 79%; ARI 9%; BUF 6%
23,rock-2,rock,16,16,0.136222,0.0,0.09056,231673.34,GB 48%; CIN 40%; ARI 8%
24,JOEMALC-6,JOEMALC,16,16,0.13606,0.0,0.0944,230023.71,ATL 48%; GB 38%; ARI 7%
25,COUNTRY SOUDED-9,COUNTRY SOUDED,16,16,0.144155,0.0,0.1156,228985.7,ATL 38%; GB 30%; CIN 25%
26,WHATEVERYALLWANT-6,WHATEVERYALLWANT,16,16,0.143983,0.0,0.11608,227558.76,ATL 48%; GB 38%; ARI 7%
27,Tarz-2,Tarz,16,16,0.143983,0.0,0.11392,224439.99,ATL 74%; ARI 10%; BUF 7%
28,Sula-locke-2,Sula-locke,16,16,0.129337,0.0,0.09384,223500.32,ATL 38%; GB 29%; CIN 25%
29,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,16,16,0.133258,0.0,0.1048,222090.76,ATL 51%; CIN 34%; ARI 7%
30,DRAKEMAY-9,DRAKEMAY,16,16,0.147678,0.0,0.10256,215099.9,ATL 48%; GB 37%; ARI 7%
31,NELLIELEE25-2,NELLIELEE25,16,16,0.143983,0.0,0.10816,198981.78,ATL 54%; GB 42%; SF 1%
32,NICKEL AND DIMING-4,NICKEL AND DIMING,16,16,0.13606,0.0,0.09384,182078.65,ATL 50%; GB 40%; ARI 7%
33,njtocal11-4,njtocal11,16,16,0.133258,0.0,0.10112,180088.72,ATL 51%; CIN 34%; ARI 7%
34,PISTONS87-7,PISTONS87,16,16,0.122985,0.0,0.09272,174092.1,ATL 56%; CIN 33%; ARI 6%
35,Tommy Dawg-7,Tommy Dawg,16,16,0.13606,0.0,0.08008,170657.17,ATL 50%; GB 39%; ARI 7%
36,Ryan Hojo-10,Ryan Hojo,16,16,0.122985,0.0,0.09232,165073.24,ATL 54%; CIN 35%; ARI 7%
37,mill dog-8,mill dog,16,16,0.13606,0.0,0.0932,163398.35,ATL 51%; GB 40%; ARI 7%
38,VODKA JOHNNY-7,VODKA JOHNNY,16,16,0.119211,0.0,0.09648,156038.07,ATL 83%; ARI 11%; LA 2%
39,MEATBALL BROTHERS-2,MEATBALL BROTHERS,16,16,0.119211,0.0,0.09328,139877.12,ATL 83%; ARI 11%; LA 2%
40,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,16,16,0.119211,0.0,0.09664,137092.88,ATL 79%; ARI 11%; MIN 4%
41,C3 Picks-7,C3 Picks,16,16,0.0,0.0,0.0,0.0,ATL 53%; CIN 35%; ARI 7%
42,BIG HOUSE-2,BIG HOUSE,16,16,0.0,0.0,0.0,0.0,ATL 38%; GB 30%; CIN 25%
43,PAPAJOE-1,PAPAJOE,16,16,0.0,0.0,0.0,0.0,ATL 48%; GB 43%; ARI 5%
44,PUMBAPACK9-3,PUMBAPACK9,16,16,0.0,0.0,0.0,0.0,ATL 58%; CIN 38%; LA 1%
45,737 KEVIN-1,737 KEVIN,16,16,0.0,0.0,0.0,0.0,GB 80%; ARI 10%; BUF 6%
46,Just Say Yes-2,Just Say Yes,16,16,0.0,0.0,0.0,0.0,ATL 49%; GB 39%; ARI 7%
47,SLOPPY BRI-3,SLOPPY BRI,16,16,0.0,0.0,0.0,0.0,ATL 50%; CIN 33%; ARI 7%
48,SENIOR JIBBLES-5,SENIOR JIBBLES,16,16,0.0,0.0,0.0,0.0,GB 47%; CIN 40%; ARI 8%
49,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,16,16,0.0,0.0,0.0,0.0,ATL 38%; GB 30%; CIN 25%
50,Greatestdancer1-7,Greatestdancer1,16,16,0.0,0.0,0.0,0.0,ATL 49%; GB 39%; ARI 7%
