rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,ATTACKOFTHESURVIVOR-8,ATTACKOFTHESURVIVOR,8,24,0.006638,0.0,0.00432,47764.88,PHI 32%; BAL 29%; MIN 11%
2,ANGRY IRISH J3W-5,ANGRY IRISH J3W,8,24,0.004322,0.0,0.00416,43315.45,PHI 42%; BAL 22%; MIN 9%
3,Izzy-4,Izzy,8,24,0.00591,0.0,0.00496,43290.75,PHI 44%; BAL 22%; MIN 10%
4,THE RAZOR SQUAD-1,THE RAZOR SQUAD,8,24,0.005199,0.0,0.00472,41991.95,CIN 30%; PHI 24%; BUF 13%
5,C3 Picks-9,C3 Picks,8,24,0.005695,0.0,0.00472,41822.97,PHI 41%; BUF 15%; BAL 15%
6,Quickening-4,Quickening,8,24,0.005387,0.0,0.00464,41775.11,PHI 42%; BAL 21%; MIN 9%
7,C3 Picks-7,C3 Picks,8,24,0.005971,0.0,0.0052,40366.57,CIN 42%; BUF 18%; BAL 18%
8,BIG HOUSE-1,BIG HOUSE,8,24,0.006638,0.0,0.00352,38427.66,PHI 47%; BAL 16%; MIN 9%
9,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,8,24,0.005043,0.0,0.00336,38332.33,CIN 35%; PHI 29%; BAL 15%
10,White Lotus-1,White Lotus,8,24,0.004329,0.0,0.00384,36931.34,CIN 22%; PHI 20%; BAL 18%
11,PUMBAPACK9-3,PUMBAPACK9,8,24,0.004734,0.0,0.00416,36680.62,CIN 40%; BUF 17%; BAL 17%
12,GODBLESS KAYLAKARIS-6,GODBLESS KAYLAKARIS,8,24,0.005032,0.0,0.00392,36226.04,CIN 28%; BUF 19%; BAL 18%
13,The Docs Picks-2,The Docs Picks,8,24,0.005066,0.0,0.00376,36024.89,CIN 47%; BAL 19%; MIN 8%
14,Fjizzle-3,Fjizzle,8,24,0.004328,0.0,0.00344,35641.33,CIN 30%; PHI 25%; BUF 13%
15,TRAINWRECK-3,TRAINWRECK,8,24,0.005909,0.0,0.00336,35464.53,CIN 31%; PHI 25%; BUF 14%
16,Abes Warriors-3,Abes Warriors,8,24,0.005023,0.0,0.00424,35261.4,CIN 35%; PHI 29%; BAL 15%
17,PONDEROSA-2,PONDEROSA,8,24,0.005037,0.0,0.00376,35163.85,PHI 34%; BUF 18%; BAL 17%
18,Amy-8,Amy,8,24,0.004819,0.0,0.00344,34681.76,PHI 38%; BUF 20%; BAL 19%
19,HOFF_66-1,HOFF_66,8,24,0.004578,0.0,0.00304,34389.76,CIN 31%; PHI 25%; BUF 13%
20,COUNTRY SOUDED-9,COUNTRY SOUDED,8,24,0.005307,0.0,0.00376,33769.85,CIN 37%; PHI 30%; BAL 15%
21,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,8,24,0.003194,0.0,0.00344,33101.69,CIN 31%; PHI 25%; BUF 13%
22,MATTERS 248-2,MATTERS 248,8,24,0.004799,0.0,0.00272,32769.63,BUF 29%; BAL 28%; MIN 12%
23,Like A Good Naber-5,Like A Good Naber,8,24,0.003772,0.0,0.00328,32730.02,CIN 31%; PHI 25%; BUF 13%
24,JED-4,JED,8,24,0.006873,0.0,0.00312,32215.84,PHI 35%; BUF 19%; BAL 18%
25,TAMROCK505-2,TAMROCK505,8,24,0.0,0.0,0.0032,32196.97,PHI 36%; BUF 19%; BAL 18%
26,THELUCKYS7VEN.-1,THELUCKYS7VEN.,8,24,0.004834,0.0,0.00368,31375.55,PHI 34%; BUF 18%; BAL 17%
27,SUMMER OF GEORGE-6,SUMMER OF GEORGE,8,24,0.006278,0.0,0.00312,30847.83,CIN 35%; PHI 29%; BAL 15%
28,LKSIMBA-1,LKSIMBA,8,24,0.004763,0.0,0.00288,30797.19,CIN 40%; BUF 18%; BAL 17%
29,SORRYBOOKIES-9,SORRYBOOKIES,8,24,0.004402,0.0,0.00336,30760.83,CIN 40%; BUF 17%; BAL 16%
30,SLOPPY BRI-3,SLOPPY BRI,8,24,0.005597,0.0,0.00352,30704.18,CIN 40%; BUF 17%; BAL 16%
31,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,8,24,0.006603,0.0,0.00376,30511.85,CIN 31%; PHI 25%; BUF 14%
32,CitadelSG34-2,CitadelSG34,8,24,0.004249,0.0,0.00344,30396.8,CIN 35%; PHI 28%; BAL 15%
33,PIGRIB-9,PIGRIB,8,24,0.004318,0.0,0.00384,30138.51,CIN 34%; PHI 28%; BAL 14%
34,GAMBLERANDAGIVER-2,GAMBLERANDAGIVER,8,24,0.003782,0.0,0.00304,30121.72,CIN 39%; BUF 17%; BAL 16%
35,RMVD-1,RMVD,8,24,0.004672,0.0,0.00296,29843.63,CIN 32%; PHI 26%; BUF 14%
36,CHOSEN ONE-4,CHOSEN ONE,8,24,0.005122,0.0,0.00344,29804.12,PHI 36%; BAL 23%; BUF 16%
37,DR STRANGE-3,DR STRANGE,8,24,0.004248,0.0,0.00344,29616.43,CIN 41%; BUF 18%; BAL 17%
38,SACHEM1993-2,SACHEM1993,8,24,0.00582,0.0,0.0028,29591.78,CIN 30%; PHI 25%; BUF 13%
39,polar bears-5,polar bears,8,24,0.004911,0.0,0.00288,29369.89,CIN 35%; PHI 28%; BAL 14%
40,MEATBALL BROTHERS-2,MEATBALL BROTHERS,8,24,0.005059,0.0,0.00392,29290.36,CIN 49%; BAL 20%; MIN 9%
41,ALLISON'S BOYFRIEND-6,ALLISON'S BOYFRIEND,8,24,0.00482,0.0,0.00304,28686.27,CIN 50%; BAL 21%; MIN 9%
42,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,8,24,0.004948,0.0,0.00392,28604.19,CIN 31%; PHI 25%; BUF 13%
43,GAROFALO.-2,GAROFALO.,8,24,0.004322,0.0,0.00312,28224.27,CIN 35%; PHI 28%; BAL 14%
44,SPICOLI-3,SPICOLI,8,24,0.005032,0.0,0.0036,28125.68,CIN 40%; BUF 17%; BAL 17%
45,VODKA JOHNNY-7,VODKA JOHNNY,8,24,0.00411,0.0,0.00296,28115.52,CIN 41%; PHI 33%; MIN 7%
46,GoodNLucky-7,GoodNLucky,8,24,0.006603,0.0,0.0032,28077.47,PHI 37%; BUF 20%; BAL 19%
47,RESULTS TAKE TIME-1,RESULTS TAKE TIME,8,24,0.004994,0.0,0.00432,28073.23,BAL 44%; BUF 23%; MIN 12%
48,PAPAJOE-1,PAPAJOE,8,24,0.003989,0.0,0.0028,27882.01,CIN 37%; BAL 29%; BUF 13%
49,Gilkey-2,Gilkey,8,24,0.00581,0.0,0.0032,27540.94,PHI 37%; BUF 20%; BAL 19%
50,Greatestdancer1-7,Greatestdancer1,8,24,0.004599,0.0,0.00312,27413.6,CIN 50%; BAL 21%; MIN 9%
51,WHATEVERYALLWANT-6,WHATEVERYALLWANT,8,24,0.006429,0.0,0.0036,27374.24,CIN 41%; BUF 18%; BAL 17%
52,JJarvis117-5,JJarvis117,8,24,0.0,0.0,0.00296,27075.38,CIN 27%; PHI 25%; BAL 20%
53,HAWK TUAH-3,HAWK TUAH,8,24,0.00467,0.0,0.00304,27045.11,CIN 42%; BUF 18%; BAL 17%
54,NICKEL AND DIMING-4,NICKEL AND DIMING,8,24,0.005113,0.0,0.00296,27032.39,CIN 40%; BUF 17%; BAL 17%
55,rock-2,rock,8,24,0.006017,0.0,0.0028,26905.94,CIN 35%; PHI 29%; BAL 15%
56,AOK 505-4,AOK 505,8,24,0.0,0.0,0.0032,26862.03,CIN 31%; PHI 25%; BUF 14%
57,TY1823-7,TY1823,8,24,0.0,0.0,0.00272,26721.64,PHI 42%; CIN 13%; BUF 10%
58,ACESHARP26-9,ACESHARP26,8,24,0.005562,0.0,0.00224,26605.59,CIN 40%; PHI 33%; MIN 7%
59,njtocal11-4,njtocal11,8,24,0.005104,0.0,0.00384,26603.41,CIN 41%; BUF 18%; BAL 17%
60,BOUNTY HUNTER-2,BOUNTY HUNTER,8,24,0.005694,0.0,0.00272,26589.7,CIN 35%; PHI 28%; BAL 14%
61,RISKY 11-1,RISKY 11,8,24,0.004432,0.0,0.0028,26567.0,CIN 39%; BUF 17%; BAL 16%
62,MATTY DICE-1,MATTY DICE,8,24,0.006028,0.0,0.00296,26536.24,CIN 34%; PHI 28%; BAL 14%
63,MENTAL HANDICAPPED-2,MENTAL HANDICAPPED,8,24,0.0,0.0,0.00272,26276.89,BUF 28%; BAL 27%; MIN 12%
64,ZERBS63-9,ZERBS63,8,24,0.004609,0.0,0.00256,26243.65,CIN 28%; PHI 25%; BAL 18%
65,Bet Openly-1,Bet Openly,8,24,0.004497,0.0,0.0028,26150.88,CIN 40%; BUF 17%; BAL 17%
66,SORRYBOOKIES-1,SORRYBOOKIES,8,24,0.0,0.0,0.00272,26146.1,PHI 37%; CIN 20%; BAL 13%
67,REBA-1,REBA,8,24,0.005088,0.0,0.00264,26094.04,CIN 41%; BUF 18%; BAL 17%
68,JSANDLER-1,JSANDLER,8,24,0.005718,0.0,0.00328,26042.43,CIN 42%; BUF 18%; BAL 18%
69,DRAKELEYRE-5,DRAKELEYRE,8,24,0.004497,0.0,0.00312,25773.13,CIN 40%; BUF 17%; BAL 17%
70,FALL OF SAM-1,FALL OF SAM,8,24,0.003897,0.0,0.00272,25642.04,CIN 31%; PHI 26%; BUF 14%
71,CASH-IN 12-1,CASH-IN 12,8,24,0.0,0.0,0.00304,25525.16,BUF 28%; BAL 27%; MIN 12%
72,MARQUISJHOLE-2,MARQUISJHOLE,8,24,0.00546,0.0,0.00312,25476.25,CIN 48%; BAL 20%; MIN 9%
73,SEANS DOLPHINS-7,SEANS DOLPHINS,8,24,0.004557,0.0,0.00224,25296.77,CIN 47%; BAL 20%; MIN 9%
74,TIA-1,TIA,8,24,0.005696,0.0,0.00272,25289.26,BAL 38%; MIN 17%; NO 11%
75,VAN BUREN BOYS-9,VAN BUREN BOYS,8,24,0.004054,0.0,0.00304,25191.82,CIN 42%; BUF 18%; BAL 18%
76,TEAM YOGI-2,TEAM YOGI,8,24,0.0,0.0,0.0028,25171.44,CIN 47%; BAL 20%; MIN 9%
77,ZURLINSKY-1,ZURLINSKY,8,24,0.004293,0.0,0.00368,25078.5,CIN 47%; BAL 19%; MIN 9%
78,DR STRANGE-1,DR STRANGE,8,24,0.005139,0.0,0.00272,25076.81,CIN 25%; BAL 20%; MIN 13%
79,MUSTwIN-1,MUSTwIN,8,24,0.005023,0.0,0.0028,25033.35,CIN 48%; BAL 20%; MIN 9%
80,JTMONEY3-3,JTMONEY3,8,24,0.004422,0.0,0.00232,24936.01,CIN 31%; PHI 25%; BUF 13%
81,Tarz-2,Tarz,8,24,0.005822,0.0,0.00248,24892.45,CIN 31%; PHI 25%; BUF 13%
82,BURCULES-4,BURCULES,8,24,0.003773,0.0,0.00288,24735.06,CIN 41%; BUF 18%; BAL 17%
