rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYMPATHY-10,SYMPATHY,12,20,0.09645,0.0,0.05288,53535.09,PHI 91%; KC 7%; DAL 2%
2,RESULTSTAKETIME-2,RESULTSTAKETIME,12,20,0.075432,0.0,0.04824,49880.8,PHI 87%; KC 6%; GB 5%
3,GR81-2,GR81,12,20,0.078064,0.0,0.03336,49642.28,KC 45%; DET 35%; DAL 13%
4,LEAPINGLIZARDS-6,LEAPINGLIZARDS,12,20,0.040683,0.0,0.0204,49131.23,DAL 77%; CIN 23%
5,BIG VINCE-8,BIG VINCE,12,20,0.108588,0.0,0.04832,48963.09,PHI 86%; KC 6%; DET 5%
6,JOHN HOJO-6,JOHN HOJO,12,20,0.082419,0.0,0.0348,48170.33,BAL 92%; KC 4%; DET 3%
7,sector-3,sector,12,20,0.119806,0.0,0.04728,48107.73,PHI 86%; KC 6%; DET 5%
8,BEND THE KNEE-1,BEND THE KNEE,12,20,0.086097,0.0,0.05144,46011.71,PHI 86%; KC 6%; DET 5%
9,CALFKILLER-4,CALFKILLER,12,20,0.084496,0.0,0.04,45377.95,BAL 62%; PHI 34%; KC 3%
10,NATRONE BETS-4,NATRONE BETS,12,20,0.078302,0.0,0.04624,43081.21,BAL 64%; PHI 35%
11,ICE BOX-1,ICE BOX,12,20,0.104781,0.0,0.04952,43059.57,BAL 62%; PHI 34%; KC 3%
12,Brandon GH Ewing-3,Brandon GH Ewing,12,20,0.043648,0.0,0.02536,42688.6,DET 68%; DAL 25%; CIN 8%
13,REBVISION-1,REBVISION,12,20,0.064048,0.0,0.02584,42483.84,KC 73%; DAL 22%; CHI 5%
14,AW Team-4,AW Team,12,20,0.070622,0.0,0.03872,42080.33,BAL 47%; PHI 45%; DET 5%
15,THE COOLER-4,THE COOLER,12,20,0.067978,0.0,0.04288,41836.13,BAL 62%; PHI 34%; KC 3%
16,HITEMUP-1,HITEMUP,12,20,0.10442,0.0,0.05088,41722.41,PHI 88%; KC 7%; DET 5%
17,HOLLYWOOD VEGAS-8,HOLLYWOOD VEGAS,12,20,0.065321,0.0,0.04696,41694.54,BAL 64%; PHI 35%
18,DIME PIECE-3,DIME PIECE,12,20,0.094178,0.0,0.03456,40180.11,PHI 58%; DET 21%; GB 19%
19,Caveman6470-4,Caveman6470,12,20,0.06482,0.0,0.05376,40074.88,BAL 99%; DAL 1%
20,NJTOSD-5,NJTOSD,12,20,0.054561,0.0,0.03728,39821.02,BAL 92%; KC 4%; GB 3%
21,LYNDARNIO.-8,LYNDARNIO.,12,20,0.083935,0.0,0.04888,39730.35,BAL 94%; DAL 4%; CIN 1%
22,GET CRUNK-9,GET CRUNK,12,20,0.075914,0.0,0.03152,39349.1,KC 51%; GB 31%; DAL 14%
23,FORZAP-1,FORZAP,12,20,0.09869,0.0,0.04656,38771.38,BAL 61%; PHI 33%; KC 2%
24,Last Chance CT-1,Last Chance CT,12,20,0.074906,0.0,0.03504,38769.59,KC 84%; DAL 7%; CIN 5%
25,HOT MAMA-8,HOT MAMA,12,20,0.083338,0.0,0.04704,38343.01,BAL 63%; PHI 34%; DET 2%
26,DuduPhudu-1,DuduPhudu,12,20,0.080483,0.0,0.05232,37908.67,BAL 94%; KC 4%; DAL 1%
27,JET WITH JON-1,JET WITH JON,12,20,0.082936,0.0,0.04176,37827.98,BAL 61%; PHI 33%; KC 2%
28,GAMBLE-TRON 2000-4,GAMBLE-TRON 2000,12,20,0.0636,0.0,0.0328,37815.82,BAL 61%; PHI 33%; KC 2%
29,QUADFOURSKIN-8,QUADFOURSKIN,12,20,0.068202,0.0,0.0596,37445.36,PHI 65%; DET 24%; DAL 8%
30,WICKED JAMMERS-3,WICKED JAMMERS,12,20,0.079611,0.0,0.0456,37359.54,BAL 62%; PHI 34%; KC 3%
31,SQUEAKING BY-1,SQUEAKING BY,12,20,0.083935,0.0,0.04584,37185.16,BAL 98%; DAL 1%
32,DALLAS21-1,DALLAS21,12,20,0.040082,0.0,0.03992,37041.15,BAL 89%; KC 4%; DET 3%
33,CTOWN CHUCK-10,CTOWN CHUCK,12,20,0.09489,0.0,0.04712,36913.13,PHI 86%; KC 6%; DET 5%
34,BREW CITY-1,BREW CITY,12,20,0.062256,0.0,0.05016,36718.74,BAL 96%; DET 3%
35,SPARTAN6-1,SPARTAN6,12,20,0.068514,0.0,0.02472,36353.25,KC 53%; DET 43%; CIN 5%
36,THE_CARTEL-4,THE_CARTEL,12,20,0.096791,0.0,0.04728,36314.17,BAL 61%; PHI 33%; KC 2%
37,SOJ-1,SOJ,12,20,0.109081,0.0,0.03896,36005.16,BAL 62%; PHI 34%; KC 3%
38,RNJESUS-3,RNJESUS,12,20,0.058659,0.0,0.02624,35980.64,KC 69%; DAL 20%; CIN 6%
39,SQUEAKING BY-2,SQUEAKING BY,12,20,0.084527,0.0,0.04736,35512.21,BAL 71%; KC 21%; DAL 6%
40,MAMBA 222-5,MAMBA 222,12,20,0.055654,0.0,0.0356,35402.07,BAL 96%; GB 3%; DAL 1%
41,NATURAL9-6,NATURAL9,12,20,0.080774,0.0,0.03816,35344.3,BAL 62%; PHI 34%; KC 3%
42,PUMBAPACK9-9,PUMBAPACK9,12,20,0.075951,0.0,0.03792,35331.31,BAL 55%; PHI 45%
43,FLICKAJJ-4,FLICKAJJ,12,20,0.098313,0.0,0.04416,35327.51,PHI 87%; KC 7%; DET 5%
44,CHAMP-4,CHAMP,12,20,0.070413,0.0,0.02944,35116.23,KC 68%; DAL 24%; CIN 8%
45,COSTA-3,COSTA,12,20,0.113706,0.0,0.05472,34986.49,BAL 62%; PHI 34%; KC 3%
46,BEST BETS ANALYTICS-4,BEST BETS ANALYTICS,12,20,0.083234,0.0,0.04816,34938.93,BAL 94%; KC 4%; DAL 1%
47,IWONTHEMONEY-9,IWONTHEMONEY,12,20,0.074943,0.0,0.03672,34812.76,PHI 91%; KC 7%; DAL 2%
48,NJ TRADER-3,NJ TRADER,12,20,0.045271,0.0,0.01992,34644.44,DET 64%; DAL 23%; CIN 7%
49,GREATTHINGS-3,GREATTHINGS,12,20,0.034795,0.0,0.01984,34583.1,DAL 65%; CIN 20%; CHI 15%
50,GET CRUNK-7,GET CRUNK,12,20,0.069818,0.0,0.03328,34474.24,BAL 98%; KC 2%
51,CO.LE.MA.AU-2,CO.LE.MA.AU,12,20,0.059927,0.0,0.02904,34458.86,KC 72%; DAL 21%; CIN 7%
52,CHAT GPT MADE-2,CHAT GPT MADE,12,20,0.058604,0.0,0.05328,34415.03,BAL 95%; DET 3%; DAL 1%
53,POKERBOYS-5,POKERBOYS,12,20,0.102998,0.0,0.05352,34306.57,PHI 84%; KC 7%; DET 5%
54,DIRTYMIKE&THEBOYS-1,DIRTYMIKE&THEBOYS,12,20,0.039613,0.0,0.02376,33840.0,KC 46%; GB 34%; DAL 13%
55,__IGITRDONE!-1,__IGITRDONE!,12,20,0.07495,0.0,0.04432,33333.76,BAL 92%; KC 4%; GB 3%
56,STRONG ISLAND-1,STRONG ISLAND,12,20,0.071663,0.0,0.03272,33331.41,BAL 64%; PHI 35%
57,SHARONMARSH-7,SHARONMARSH,12,20,0.047921,0.0,0.0264,33161.51,DET 90%; CIN 10%
58,BLIZAIR-10,BLIZAIR,12,20,0.080498,0.0,0.03944,33036.91,BAL 98%; DAL 1%
59,DR_SEANATHAN-10,DR_SEANATHAN,12,20,0.081229,0.0,0.0464,32774.35,BAL 95%; KC 4%; DAL 1%
60,Sigil Slips-1,Sigil Slips,12,20,0.097015,0.0,0.04376,32748.25,BAL 62%; PHI 34%; KC 3%
61,RHF Survivors-2,RHF Survivors,12,20,0.068878,0.0,0.05344,32733.96,BAL 63%; PHI 34%; DET 2%
62,Dordo-1,Dordo,12,20,0.052909,0.0,0.02192,32705.4,KC 44%; DET 36%; DAL 13%
63,W.A.R.-1,W.A.R.,12,20,0.035735,0.0,0.01728,32604.8,DAL 65%; CIN 20%; CHI 15%
