rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,GET CRUNK-9,GET CRUNK,13,19,0.120139,0.0,0.07096,688988.13,SEA 25%; MIA 18%; LA 16%
2,SLOPPY BRIE-8,SLOPPY BRIE,13,19,0.101302,0.0,0.08864,682608.48,MIA 26%; JAX 20%; LA 17%
3,JUICY KEWCHI-9,JUICY KEWCHI,13,19,0.136065,0.0,0.06912,672233.01,MIA 24%; SEA 24%; LA 19%
4,BASEBALLISBEST-2,BASEBALLISBEST,13,19,0.145456,0.0,0.0908,622413.11,LAC 68%; MIA 9%; JAX 7%
5,LEAPINGLIZARDS-6,LEAPINGLIZARDS,13,19,0.134611,0.0,0.0636,575660.97,MIA 21%; SEA 21%; JAX 16%
6,Heater City-8,Heater City,13,19,0.106679,0.0,0.05888,481194.52,LAC 40%; MIA 18%; JAX 14%
7,KICK YOUR KNEES UP-1,KICK YOUR KNEES UP,13,19,0.096299,0.0,0.06408,467609.9,MIA 34%; JAX 26%; DEN 15%
8,RNJESUS-3,RNJESUS,13,19,0.110088,0.0,0.0524,439807.84,LAC 67%; MIA 9%; JAX 7%
9,Caveman6470-3,Caveman6470,13,19,0.099944,0.0,0.05288,429303.44,LAC 70%; MIA 9%; SEA 9%
10,C3 PICKSS-8,C3 PICKSS,13,19,0.098785,0.0,0.05912,425388.2,MIA 27%; JAX 20%; LA 18%
11,JUICY KEWCHI-7,JUICY KEWCHI,13,19,0.105066,0.0,0.04944,395762.91,LAC 63%; MIA 8%; SEA 8%
12,Heater City-2,Heater City,13,19,0.080854,0.0,0.04896,383294.46,LAC 72%; MIA 9%; JAX 7%
13,BIG JOE-6,BIG JOE,13,19,0.10211,0.0,0.05824,371712.45,LAC 73%; MIA 9%; JAX 7%
14,Heater City-1,Heater City,13,19,0.10511,0.0,0.04864,371031.34,LA 28%; MIA 24%; JAX 21%
15,BISONSPORTSCARDS-2,BISONSPORTSCARDS,13,19,0.074768,0.0,0.04856,366292.24,JAX 36%; SF 29%; ATL 13%
16,REAL BRO-3,REAL BRO,13,19,0.107768,0.0,0.05968,362313.91,LAC 77%; MIA 10%; JAX 7%
17,KICK YOUR KNEES UP-10,KICK YOUR KNEES UP,13,19,0.092111,0.0,0.0524,357565.2,LAC 86%; MIA 6%; ATL 2%
18,Last Chance CT-3,Last Chance CT,13,19,0.095327,0.0,0.04528,353688.38,MIA 31%; JAX 23%; SF 19%
19,SUNTANBIRD-10,SUNTANBIRD,13,19,0.103345,0.0,0.06032,341911.02,MIA 27%; NE 19%; LA 18%
20,ACCORSI-4,ACCORSI,13,19,0.095327,0.0,0.04456,338417.01,MIA 31%; JAX 23%; SF 19%
21,COSMIC VOLTAGE-3,COSMIC VOLTAGE,13,19,0.103174,0.0,0.05272,334831.06,MIA 32%; JAX 24%; SF 20%
22,HEAD TABLE-3,HEAD TABLE,13,19,0.099149,0.0,0.04312,328375.43,LAC 76%; MIA 10%; JAX 7%
23,GaryA-10,GaryA,13,19,0.063725,0.0,0.03728,324544.62,MIA 23%; JAX 17%; NE 16%
24,WHO IS MO 86-5,WHO IS MO 86,13,19,0.102381,0.0,0.0496,319727.83,MIA 34%; JAX 26%; SF 21%
25,CHAMP-4,CHAMP,13,19,0.110979,0.0,0.04312,313324.62,MIA 26%; JAX 19%; LA 18%
26,JED-4,JED,13,19,0.091838,0.0,0.04752,306518.93,MIA 29%; JAX 24%; SF 19%
27,RIVADERCI-1,RIVADERCI,13,19,0.080069,0.0,0.04472,303140.74,LAC 72%; MIA 9%; JAX 7%
28,THIRD TIME CHARM-4,THIRD TIME CHARM,13,19,0.090881,0.0,0.04896,289365.1,LAC 71%; MIA 9%; JAX 7%
29,LAWFIRMOFJCM-6,LAWFIRMOFJCM,13,19,0.072538,0.0,0.03976,284536.0,LAC 77%; MIA 10%; SF 6%
30,DYLAN W-8,DYLAN W,13,19,0.092249,0.0,0.04768,281290.86,LA 18%; MIA 18%; SEA 18%
31,C3 PICKZ-2,C3 PICKZ,13,19,0.077387,0.0,0.05104,278865.84,MIA 27%; JAX 20%; LA 18%
32,BRAD LEE-1,BRAD LEE,13,19,0.086539,0.0,0.04896,277826.02,LAC 69%; MIA 9%; JAX 7%
33,ACCORSI-3,ACCORSI,13,19,0.094344,0.0,0.04616,275124.15,LAC 46%; MIA 14%; JAX 12%
34,DYLAN W-10,DYLAN W,13,19,0.089189,0.0,0.04272,262618.65,MIA 21%; SEA 21%; JAX 16%
35,PARTZ1-9,PARTZ1,13,19,0.078027,0.0,0.04544,254914.16,MIA 23%; JAX 17%; NE 16%
36,ITSTARTSWITHABET-7,ITSTARTSWITHABET,13,19,0.096932,0.0,0.0352,254859.35,MIA 29%; SF 24%; ATL 14%
37,WENDY TESTABURGER-8,WENDY TESTABURGER,13,19,0.083313,0.0,0.0484,248556.16,MIA 46%; SF 28%; ATL 12%
38,FRUIT FANATICS-6,FRUIT FANATICS,13,19,0.080962,0.0,0.05064,248356.61,LAC 71%; MIA 9%; JAX 7%
