rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SLOPPY BRIE-8,SLOPPY BRIE,14,18,0.182978,0.0,0.13984,650873.57,TB 56%; LA 21%; CLE 7%
2,BASEBALLISBEST-2,BASEBALLISBEST,14,18,0.184746,0.0,0.12936,641811.7,TB 48%; DEN 33%; CLE 6%
3,REAL BRO-3,REAL BRO,14,18,0.138392,0.0,0.10008,623222.67,GB 31%; CLE 23%; MIA 11%
4,JUICY KEWCHI-7,JUICY KEWCHI,14,18,0.145679,0.0,0.08088,596204.56,SEA 34%; CLE 24%; MIA 11%
5,JUICY KEWCHI-9,JUICY KEWCHI,14,18,0.173091,0.0,0.08744,581119.38,LA 48%; BUF 20%; CLE 9%
6,BIG JOE-6,BIG JOE,14,18,0.131899,0.0,0.08504,490104.68,CLE 33%; MIA 16%; JAX 13%
7,LEAPINGLIZARDS-6,LEAPINGLIZARDS,14,18,0.170558,0.0,0.08216,483673.88,TB 54%; LA 20%; BUF 9%
8,KICK YOUR KNEES UP-1,KICK YOUR KNEES UP,14,18,0.152382,0.0,0.10328,478476.52,TB 51%; DEN 34%; CLE 6%
9,Heater City-8,Heater City,14,18,0.139277,0.0,0.10208,470262.49,TB 34%; BUF 22%; CLE 14%
10,WHO IS MO 86-5,WHO IS MO 86,14,18,0.13216,0.0,0.082,467280.14,CLE 38%; MIA 18%; MIN 13%
11,ACCORSI-3,ACCORSI,14,18,0.095879,0.0,0.07216,445281.58,CLE 29%; JAX 17%; MIN 14%
12,RNJESUS-3,RNJESUS,14,18,0.155799,0.0,0.07944,420830.1,TB 70%; BUF 11%; CLE 8%
13,HEAD TABLE-3,HEAD TABLE,14,18,0.131961,0.0,0.08544,416885.23,TB 67%; BUF 11%; CLE 8%
14,SUNTANBIRD-10,SUNTANBIRD,14,18,0.133498,0.0,0.09488,416372.38,TB 55%; LA 21%; BUF 9%
15,WENDY TESTABURGER-8,WENDY TESTABURGER,14,18,0.101437,0.0,0.08976,414705.99,BAL 50%; CLE 23%; MIN 8%
16,BISONSPORTSCARDS-2,BISONSPORTSCARDS,14,18,0.14047,0.0,0.08936,405733.7,TB 56%; BAL 15%; GB 9%
17,KICK YOUR KNEES UP-10,KICK YOUR KNEES UP,14,18,0.117232,0.0,0.08472,397762.31,TB 44%; GB 20%; CLE 13%
18,Caveman6470-3,Caveman6470,14,18,0.127999,0.0,0.07704,394407.12,TB 69%; SEA 12%; CLE 8%
19,THIRD TIME CHARM-4,THIRD TIME CHARM,14,18,0.115978,0.0,0.09184,389223.4,TB 76%; CLE 9%; JAX 4%
20,JED-4,JED,14,18,0.119999,0.0,0.08752,384207.63,TB 67%; CLE 10%; JAX 5%
21,ITSTARTSWITHABET-7,ITSTARTSWITHABET,14,18,0.12246,0.0,0.07936,375158.11,TB 36%; BAL 25%; CLE 14%
