rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-11343,SYNTH-11343,0,32,0.002265,0.0,0.00096,8080.71,JAX 66%; LAC 6%; CIN 4%
2,SYNTH-12615,SYNTH-12615,0,32,0.002265,0.0,0.00152,6253.35,JAX 81%; LAC 4%; DET 2%
3,SYNTH-11375,SYNTH-11375,0,32,0.002265,0.0,0.00104,5661.77,JAX 74%; LAC 5%; CIN 3%
4,SYNTH-17163,SYNTH-17163,0,32,0.002265,0.0,0.00144,5568.88,JAX 73%; LAC 5%; CIN 3%
5,SYNTH-06704,SYNTH-06704,0,32,0.002265,0.0,0.00104,5558.95,JAX 54%; LAC 7%; CIN 6%
6,SYNTH-09835,SYNTH-09835,0,32,0.002265,0.0,0.0012,5445.98,JAX 72%; LAC 6%; DET 4%
7,SYNTH-04608,SYNTH-04608,0,32,0.002265,0.0,0.00072,5312.12,JAX 63%; LAC 6%; CIN 5%
8,SYNTH-09764,SYNTH-09764,0,32,0.002265,0.0,0.00072,5285.59,JAX 56%; LAC 6%; CIN 6%
9,SYNTH-08756,SYNTH-08756,0,32,0.002265,0.0,0.0016,5142.86,JAX 62%; LAC 6%; CIN 5%
10,SYNTH-00558,SYNTH-00558,0,32,0.002265,0.0,0.00072,5115.73,JAX 59%; LAC 6%; CIN 5%
11,SYNTH-14599,SYNTH-14599,0,32,0.002265,0.0,0.00104,5096.89,JAX 60%; LAC 7%; CIN 5%
12,SYNTH-11453,SYNTH-11453,0,32,0.002265,0.0,0.00072,4958.18,JAX 61%; LAC 6%; CIN 5%
13,SYNTH-14379,SYNTH-14379,0,32,0.002265,0.0,0.00072,4914.77,JAX 72%; LAC 5%; CIN 3%
14,SYNTH-10699,SYNTH-10699,0,32,0.002265,0.0,0.00152,4795.4,JAX 79%; LAC 4%; DET 3%
15,SYNTH-18923,SYNTH-18923,0,32,0.002265,0.0,0.0012,4782.09,JAX 66%; LAC 6%; CIN 5%
16,SYNTH-14934,SYNTH-14934,0,32,0.002265,0.0,0.00096,4698.5,JAX 64%; LAC 6%; CIN 5%
17,SYNTH-22491,SYNTH-22491,0,32,0.002265,0.0,0.00112,4684.11,JAX 67%; LAC 6%; CIN 4%
18,SYNTH-23500,SYNTH-23500,0,32,0.002265,0.0,0.00096,4682.8,JAX 77%; LAC 5%; CIN 3%
19,SYNTH-10657,SYNTH-10657,0,32,0.002265,0.0,0.00128,4648.82,JAX 77%; LAC 5%; CIN 3%
20,SYNTH-13553,SYNTH-13553,0,32,0.002265,0.0,0.00128,4618.62,JAX 66%; LAC 6%; CIN 4%
21,SYNTH-13811,SYNTH-13811,0,32,0.002265,0.0,0.00096,4611.51,JAX 71%; LAC 5%; CIN 3%
22,SYNTH-13700,SYNTH-13700,0,32,0.002265,0.0,0.00088,4606.11,JAX 70%; LAC 6%; CIN 4%
23,SYNTH-16294,SYNTH-16294,0,32,0.002265,0.0,0.0008,4562.03,JAX 68%; LAC 6%; CIN 4%
24,SYNTH-01164,SYNTH-01164,0,32,0.002265,0.0,0.00128,4555.46,JAX 68%; LAC 6%; CIN 4%
25,SYNTH-00050,SYNTH-00050,0,32,0.002265,0.0,0.00128,4548.52,JAX 60%; HOU 6%; LAC 5%
26,SYNTH-17029,SYNTH-17029,0,32,0.002265,0.0,0.00096,4543.36,JAX 75%; LAC 5%; CIN 3%
27,SYNTH-12640,SYNTH-12640,0,32,0.002265,0.0,0.00112,4521.3,JAX 68%; LAC 6%; CIN 4%
28,SYNTH-23708,SYNTH-23708,0,32,0.002265,0.0,0.0012,4506.45,JAX 70%; LAC 6%; CIN 4%
29,SYNTH-11658,SYNTH-11658,0,32,0.002265,0.0,0.00128,4494.82,JAX 72%; LAC 5%; CIN 4%
30,SYNTH-16481,SYNTH-16481,0,32,0.002265,0.0,0.00112,4465.26,JAX 64%; LAC 6%; CIN 5%
31,SYNTH-12974,SYNTH-12974,0,32,0.002265,0.0,0.00088,4449.7,JAX 69%; LAC 5%; CIN 4%
32,SYNTH-05714,SYNTH-05714,0,32,0.002265,0.0,0.00144,4384.0,JAX 74%; LAC 5%; CIN 3%
33,SYNTH-15675,SYNTH-15675,0,32,0.002265,0.0,0.0016,4382.97,JAX 80%; LAC 4%; CIN 3%
34,SYNTH-13456,SYNTH-13456,0,32,0.002265,0.0,0.00056,4377.65,JAX 52%; LAC 7%; CIN 6%
35,SYNTH-21893,SYNTH-21893,0,32,0.002265,0.0,0.00104,4373.97,JAX 64%; LAC 6%; CIN 5%
36,SYNTH-17347,SYNTH-17347,0,32,0.002265,0.0,0.00112,4357.43,JAX 72%; LAC 5%; CIN 4%
37,SYNTH-08629,SYNTH-08629,0,32,0.002265,0.0,0.00104,4329.64,JAX 70%; LAC 5%; CIN 4%
