week,team,actual,behavioral,topdown,behavioral_err,topdown_err,alive,entry_logloss,entry_top1
2,ARI,0.00038,0.00287,0.00023,0.0025,-0.00014,2664,2.6268,0.1145
2,ATL,0.0,0.00022,5e-05,0.00022,5e-05,2664,2.6268,0.1145
2,BAL,0.00188,0.00921,0.00208,0.00734,0.0002,2664,2.6268,0.1145
2,BUF,0.01502,0.04621,0.0913,0.0312,0.07628,2664,2.6268,0.1145
2,CAR,0.00075,0.00593,0.00156,0.00518,0.00081,2664,2.6268,0.1145
2,CHI,0.0,0.0006,0.0001,0.0006,0.0001,2664,2.6268,0.1145
2,CIN,0.07207,0.0044,0.08308,-0.06767,0.01101,2664,2.6268,0.1145
2,CLE,0.13438,0.16609,0.15917,0.03171,0.02478,2664,2.6268,0.1145
2,DAL,0.0,0.00475,0.00011,0.00475,0.00011,2664,2.6268,0.1145
2,DEN,0.3262,0.11846,0.17117,-0.20774,-0.15503,2664,2.6268,0.1145
2,DET,0.0045,0.00326,0.00169,-0.00124,-0.00281,2664,2.6268,0.1145
2,GB,0.11036,0.06643,0.10363,-0.04393,-0.00673,2664,2.6268,0.1145
2,HOU,0.0,0.0012,0.00017,0.0012,0.00017,2664,2.6268,0.1145
2,IND,0.00488,0.00943,0.01184,0.00455,0.00696,2664,2.6268,0.1145
2,JAX,0.0,0.00244,0.00027,0.00244,0.00027,2664,2.6268,0.1145
2,KC,0.0,0.00696,0.00498,0.00696,0.00498,2664,2.6268,0.1145
2,LA,0.11411,0.44455,0.29319,0.33044,0.17908,2664,2.6268,0.1145
2,LAC,0.0,0.00042,0.00014,0.00042,0.00014,2664,2.6268,0.1145
2,LV,0.0289,0.00883,0.01172,-0.02008,-0.01719,2664,2.6268,0.1145
2,MIA,0.0,0.00054,0.00031,0.00054,0.00031,2664,2.6268,0.1145
2,MIN,0.0,0.00066,0.00032,0.00066,0.00032,2664,2.6268,0.1145
2,NE,0.00188,0.00217,0.0016,0.00029,-0.00027,2664,2.6268,0.1145
2,NO,0.0,0.00108,0.00027,0.00108,0.00027,2664,2.6268,0.1145
2,NYG,0.00113,0.00486,0.00196,0.00373,0.00083,2664,2.6268,0.1145
2,NYJ,0.0,0.00035,0.00013,0.00035,0.00013,2664,2.6268,0.1145
2,PHI,0.00075,0.02197,0.00082,0.02122,7e-05,2664,2.6268,0.1145
2,PIT,0.00113,0.01011,0.00145,0.00899,0.00032,2664,2.6268,0.1145
2,SEA,0.00038,0.00054,0.00017,0.00017,-0.0002,2664,2.6268,0.1145
2,SF,0.18056,0.03581,0.05351,-0.14474,-0.12705,2664,2.6268,0.1145
2,TB,0.00038,0.01453,0.00113,0.01415,0.00075,2664,2.6268,0.1145
2,TEN,0.0,0.00015,0.0001,0.00015,0.0001,2664,2.6268,0.1145
2,WAS,0.00038,0.00495,0.00177,0.00458,0.00139,2664,2.6268,0.1145
