week,team,actual,behavioral,topdown,behavioral_err,topdown_err
2,ARI,0.28517,0.03352,0.24851,-0.25165,-0.03666
2,ATL,0.00022,0.00782,0.00016,0.0076,-6e-05
2,BAL,0.24385,0.39295,0.27452,0.1491,0.03068
2,BUF,0.02394,0.07093,0.06039,0.04699,0.03644
2,CAR,0.0,0.00205,0.00011,0.00205,0.00011
2,CHI,0.0,0.00136,3e-05,0.00136,3e-05
2,CIN,0.01523,0.00388,0.03605,-0.01135,0.02083
2,CLE,6e-05,0.00022,0.00035,0.00016,0.00029
2,DAL,0.19342,0.04125,0.14813,-0.15217,-0.0453
2,DEN,0.00221,0.01145,0.0012,0.00925,-0.00101
2,DET,0.05296,0.0345,0.03496,-0.01846,-0.018
2,GB,0.00364,0.02281,0.00661,0.01917,0.00297
2,HOU,0.00574,0.00974,0.00268,0.004,-0.00306
2,IND,0.00088,0.00308,0.00096,0.00219,8e-05
2,JAX,0.00011,0.00935,0.00032,0.00924,0.00021
2,KC,0.00011,0.00166,0.00131,0.00155,0.0012
2,LA,0.08948,0.18064,0.09415,0.09115,0.00467
2,LAC,0.01556,0.05395,0.01903,0.03839,0.00347
2,LV,6e-05,0.0009,0.00039,0.00084,0.00034
2,MIA,0.00811,0.00805,0.00213,-6e-05,-0.00598
2,MIN,0.01959,0.0064,0.01565,-0.01319,-0.00393
2,NE,0.00116,0.00605,0.00137,0.00489,0.00021
2,NO,0.00061,0.00095,0.00055,0.00034,-5e-05
2,NYG,0.00011,0.00161,7e-05,0.0015,-4e-05
2,NYJ,0.0,0.00064,0.00032,0.00064,0.00032
2,PHI,0.00028,0.02236,0.00085,0.02209,0.00057
2,PIT,0.02709,0.00569,0.03671,-0.02139,0.00962
2,SEA,0.00011,0.00728,0.00018,0.00717,7e-05
2,SF,0.00982,0.0522,0.01087,0.04238,0.00105
2,TB,0.00022,0.00471,0.00092,0.00449,0.0007
2,TEN,0.00022,0.00027,0.00027,5e-05,5e-05
2,WAS,6e-05,0.00173,0.00025,0.00167,0.00019
3,ARI,6e-05,0.00109,0.00016,0.00103,0.0001
3,ATL,0.06955,0.08392,0.0801,0.01437,0.01055
3,BAL,0.00177,0.00757,0.00957,0.0058,0.0078
3,BUF,0.19832,0.25639,0.2798,0.05806,0.08148
3,CAR,0.00018,0.00046,5e-05,0.00028,-0.00013
3,CHI,0.00077,0.00457,0.00063,0.00381,-0.00013
3,CIN,0.0,0.00165,0.00022,0.00165,0.00022
3,CLE,0.0,0.00022,3e-05,0.00022,3e-05
3,DAL,0.00254,0.00516,0.00358,0.00262,0.00104
3,DEN,0.0,0.00392,0.00035,0.00392,0.00035
3,DET,0.0,0.00174,0.00011,0.00174,0.00011
3,GB,0.10718,0.15985,0.12594,0.05266,0.01876
3,HOU,0.00289,0.00575,0.00067,0.00286,-0.00222
3,IND,0.04212,0.09979,0.06126,0.05767,0.01914
3,JAX,0.00053,0.00316,0.00094,0.00263,0.00041
3,KC,0.03988,0.07118,0.05536,0.0313,0.01548
3,LA,0.00012,0.00321,0.00123,0.0031,0.00111
3,LAC,0.00307,0.00455,0.00557,0.00148,0.0025
3,LV,0.00024,0.00125,0.00086,0.00102,0.00063
3,MIA,6e-05,0.00034,2e-05,0.00028,-4e-05
3,MIN,0.00602,0.01491,0.00601,0.0089,-1e-05
3,NE,0.00065,0.008,0.00258,0.00735,0.00193
3,NO,0.00012,0.00027,0.0,0.00016,-0.00011
3,NYG,0.0,0.00045,0.0,0.00045,0.0
3,NYJ,0.0,0.001,0.00018,0.001,0.00018
3,PHI,0.00053,0.00389,0.00054,0.00336,1e-05
3,PIT,0.00118,0.00301,0.00014,0.00183,-0.00104
3,SEA,0.39258,0.15807,0.16909,-0.23451,-0.22349
3,SF,0.00395,0.01385,0.0066,0.0099,0.00265
