Rank,Team,Rating,Rating_Last,Rank_Last,Change,QB used
1,SEA,7.03,4.84,2,-1,Darnold
2,SF,6.79,4.99,1,1,Purdy
3,LAR,4.79,1.86,8,-5,Stafford
4,BUF,4.13,3.45,5,-1,Allen
5,BAL,4.08,4.18,4,1,Jackson
6,JAC,3.7,4.58,3,3,Lawrence
7,GB,3.35,2.78,6,1,Love
8,NE,3.02,1.31,11,-3,Maye
9,DET,2.56,2.61,7,2,Goff
10,DEN,2.21,1.09,13,-3,Nix
11,KC,1.64,1.68,9,2,Mahomes
12,MIN,0.87,0.85,15,-3,Murray
13,PHI,0.67,1.25,12,1,Hurts
14,HOU,-0.04,1.08,14,0,Stroud
15,IND,-0.11,-0.91,19,-4,Jones
16,CIN,-0.68,-1.2,20,-4,Burrow
17,WAS,-0.75,-0.75,18,-1,Daniels
18,CAR,-1.14,-3.38,30,-12,Young
19,NO,-1.18,-1.37,23,-4,Shough
20,DAL,-1.19,-2.23,26,-6,Prescott
21,TB,-1.32,-0.38,16,5,Mayfield
22,CHI,-1.87,1.39,10,12,Williams
23,ATL,-2.13,-0.42,17,6,Penix
24,LAC,-2.44,-1.8,25,-1,Herbert
25,LV,-2.67,-2.84,27,-2,Cousins
26,PIT,-3.01,-1.24,21,5,Rodgers
27,ARI,-3.43,-1.32,22,5,Brissett
28,NYJ,-3.62,-3.29,28,0,Smith
29,CLE,-4.17,-5.26,31,-2,Watson
30,MIA,-4.28,-3.33,29,1,Willis
31,TEN,-4.82,-5.67,32,-1,Ward
32,NYG,-5.1,-1.78,24,8,Dart
