Team,HFA (Points),Home Rating (Adj),Away Rating (Adj),Global Rating,HFA EPA,HFA SR
CLE,4.907,-2.519,-12.333,-8.121,5.15,0.062
KC,3.697,4.07,-3.324,1.147,4.648,0.039
MIA,3.508,-1.97,-8.986,-5.972,6.386,0.019
MIN,3.1,4.852,-1.349,2.197,3.912,0.033
GB,2.023,4.83,0.785,2.25,2.323,0.024
JAX,1.904,6.136,2.328,4.686,0.449,0.039
CAR,1.698,-3.411,-6.807,-4.769,-0.582,0.044
DEN,1.545,3.502,0.412,1.93,2.103,0.015
LV,1.429,-4.185,-7.043,-5.28,1.291,0.02
TB,1.39,-1.19,-3.969,-2.835,2.72,0.006
NYG,1.018,-1.863,-3.899,-2.71,0.725,0.016
DAL,0.991,-4.513,-6.495,-5.705,0.829,0.014
BUF,0.895,4.545,2.754,3.45,-0.044,0.021
PIT,0.874,1.044,-0.705,0.378,0.782,0.012
CIN,0.755,0.25,-1.26,-0.33,-0.126,0.018
CHI,0.528,3.001,1.945,2.431,-1.364,0.025
NE,0.506,4.439,3.426,3.923,-0.635,0.017
ATL,0.138,0.153,-0.124,-0.014,-0.446,0.007
DET,-0.253,3.303,3.809,3.518,-1.948,0.013
NO,-0.259,-5.309,-4.792,-4.988,-2.234,0.015
HOU,-0.35,3.844,4.543,4.158,-0.767,-0.001
PHI,-0.476,2.458,3.409,2.83,-1.187,0.001
WAS,-0.832,-2.243,-0.58,-1.218,-1.47,-0.005
SEA,-0.852,9.153,10.858,9.882,-2.541,0.005
IND,-1.015,-2.823,-0.793,-2.004,-2.146,-0.003
TEN,-1.23,-11.331,-8.87,-10.374,-2.301,-0.006
ARI,-1.503,-2.896,0.109,-1.047,-2.475,-0.01
LAC,-1.576,-3.531,-0.379,-2.142,-2.418,-0.013
LA,-1.827,3.146,6.8,5.022,-2.931,-0.013
SF,-2.173,1.993,6.34,4.735,-4.13,-0.01
NYJ,-2.477,-8.354,-3.4,-5.455,-3.075,-0.027
BAL,-5.34,-1.986,8.694,4.215,-9.236,-0.033
