Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game
BAL,7.777,L.Jackson,0.971,0.137,9.398,6.218,0.807,9.386,-0.793,-1.28
DET,6.78,J.Goff,1.0,-0.0,7.85,5.669,0.455,6.96,0.496,0.89
BUF,5.797,J.Allen,1.0,-0.0,8.269,3.719,0.464,9.687,0.916,-0.457
PHI,5.663,J.Hurts,0.995,0.016,8.48,3.342,-0.747,6.509,-3.109,-0.429
SF,3.827,B.Purdy,0.906,0.514,5.841,2.178,0.95,5.712,-1.459,-2.003
KC,3.577,C.Oladokun,0.0,-5.983,0.86,5.367,-0.025,-1.089,-1.905,0.669
MIN,3.559,J.McCarthy,0.0,-1.833,4.529,2.68,-1.296,1.474,-3.908,0.892
PIT,3.289,A.Rodgers,0.0,1.575,6.727,0.637,-0.87,1.773,-3.059,2.6
WAS,3.012,M.Mariota,0.055,-0.793,0.928,4.371,-1.602,2.884,0.75,0.38
TB,2.176,B.Mayfield,0.967,-0.045,3.656,0.997,0.179,4.044,1.791,1.551
DEN,1.929,B.Nix,0.786,0.051,2.168,1.66,-1.124,-1.914,-4.349,0.768
HOU,0.955,C.Stroud,0.944,0.226,1.67,0.39,-1.608,-1.883,-4.321,0.751
LAC,0.938,J.Herbert,0.948,0.211,3.384,-0.881,0.182,0.058,-1.895,1.237
GB,0.922,M.Willis,0.091,-4.261,1.179,0.69,0.742,0.968,0.088,-0.955
LA,0.73,M.Stafford,0.959,0.132,0.238,1.05,1.334,1.719,1.309,-1.481
DAL,0.029,D.Prescott,0.612,1.644,-0.473,0.392,0.082,0.829,2.029,0.597
CIN,-0.263,J.Burrow,0.912,0.107,0.347,-0.691,0.05,5.348,4.794,-0.28
ATL,-1.402,K.Cousins,0.788,0.475,-2.311,-0.675,0.2,2.054,2.706,-1.847
ARI,-1.63,J.Brissett,0.0,-0.611,-1.465,-1.669,0.815,1.04,2.501,-0.551
SEA,-1.693,S.Darnold,0.0,-0.84,-2.526,-1.007,0.781,-1.917,1.765,0.421
MIA,-2.081,Q.Ewers,0.0,-3.289,-4.985,0.125,-0.984,-2.675,0.653,-0.791
NYJ,-2.76,B.Cook,0.0,-2.184,-4.867,-1.097,-0.656,-3.51,0.806,-0.001
NO,-2.989,T.Shough,0.0,-1.597,-4.498,-1.748,-1.426,-2.046,1.833,0.658
JAX,-3.574,T.Lawrence,0.661,0.313,-5.799,-1.786,0.246,-0.691,5.859,0.418
LV,-3.906,G.Smith,0.0,1.616,-6.326,-1.96,1.381,-5.591,1.686,-0.201
IND,-4.123,P.Rivers,0.0,-0.968,-5.308,-3.061,0.05,-5.469,-0.426,-0.271
CHI,-4.504,C.Williams,0.79,-0.08,-5.556,-3.519,0.752,-3.907,2.206,-0.173
CLE,-4.683,S.Sanders,0.0,-0.698,-7.265,-2.581,1.319,-8.636,0.323,-0.053
NE,-4.749,D.Maye,0.491,0.438,-6.69,-3.108,-1.439,-2.97,3.407,0.689
TEN,-6.001,C.Ward,0.0,-0.161,-6.886,-5.062,0.183,-5.624,0.567,-1.099
NYG,-7.604,J.Dart,0.0,-0.827,-9.427,-5.906,0.901,-6.468,3.782,-0.478
CAR,-8.187,B.Young,0.706,-0.684,-10.758,-5.919,-0.227,-4.779,5.794,-0.156
