Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.893,S.Darnold,0.747,0.572,12.097,7.806,1.503,3.518,-5.313,2.212,1,5.13,10.42,1,0,Darnold,4.763000000000001,4.763000000000001
HOU,4.897,C.Stroud,0.816,0.548,6.606,3.416,0.134,-2.36,-7.037,1.87,11,1.85,2.96,11,0,Stroud,3.047,3.047
SF,4.847,B.Purdy,0.72,1.201,7.478,2.701,1.691,8.065,3.275,1.233,5,2.83,3.57,10,-5,Purdy,2.0170000000000003,2.0170000000000003
LA,4.464,M.Stafford,0.992,0.03,5.264,3.663,2.202,6.819,2.238,-1.233,2,4.08,8.12,2,0,Stafford,0.38400000000000034,0.38400000000000034
NE,3.946,D.Maye,0.963,0.084,4.414,3.411,0.539,1.796,-2.073,0.076,12,1.57,5.09,5,7,Maye,2.3760000000000003,2.3760000000000003
JAX,3.722,T.Lawrence,0.923,0.101,4.134,3.24,-0.982,2.906,-0.608,1.412,8,2.48,5.41,6,2,Lawrence,1.242,1.242
PHI,3.594,J.Hurts,0.912,0.286,5.346,2.148,-0.722,1.481,-4.738,-0.246,9,2.38,5.52,4,5,Hurts,1.214,1.214
DET,3.453,J.Goff,1.0,0.0,3.798,3.032,0.33,4.407,0.763,-0.012,4,2.87,3.98,9,-5,Goff,0.5829999999999997,0.5829999999999997
DEN,3.428,B.Nix,0.937,0.244,3.805,2.986,-1.414,1.399,-3.708,-0.076,10,2.34,-0.48,17,-7,Nix,1.088,1.088
BUF,3.316,J.Allen,0.935,0.347,5.478,1.587,-0.742,7.72,0.22,-1.274,6,2.76,6.16,3,3,Allen,0.556,0.556
BAL,2.704,L.Jackson,0.749,1.079,3.098,2.284,-0.385,5.413,1.716,-0.26,7,2.59,5.1,7,0,Jackson,0.11400000000000032,0.11400000000000032
GB,2.64,J.Love,0.858,0.661,3.281,2.044,0.344,7.866,3.127,-1.845,3,3.3,5.09,8,-5,Love,-0.6599999999999997,0.6599999999999997
MIN,2.625,K.Murray,0.0,3.149,5.171,0.651,0.906,-0.388,-3.993,0.884,15,0.28,-0.75,18,-3,Murray,2.3449999999999998,2.3449999999999998
CHI,1.535,C.Williams,1.0,0.0,2.269,0.928,0.445,3.912,2.535,0.618,17,-0.49,0.9,14,3,Williams,2.025,2.025
KC,0.466,P.Mahomes,0.807,1.54,1.292,-0.155,-0.826,2.52,-0.114,-0.552,13,1.47,-2.17,22,-9,Mahomes,-1.004,1.004
LAC,0.444,J.Herbert,0.939,0.362,0.705,0.233,-0.987,-0.91,-3.523,-1.046,16,-0.37,1.12,12,4,Herbert,0.8140000000000001,0.8140000000000001
PIT,0.431,A.Rodgers,0.801,0.052,0.32,0.489,0.127,0.319,1.037,0.913,20,-0.84,0.59,15,5,Rodgers,1.271,1.271
ATL,0.226,T.Tagovailoa,0.0,1.161,1.384,-0.623,-1.294,2.82,-0.629,-0.84,18,-0.55,-0.79,19,-1,Tagovailoa,0.776,0.776
IND,0.053,D.Jones,0.543,0.611,1.193,-0.776,0.999,2.992,2.601,-0.093,14,0.65,0.93,13,1,Jones,-0.597,0.597
CIN,-0.794,J.Burrow,0.549,1.4,-0.881,-0.692,-0.665,4.5,5.952,1.06,22,-1.19,-0.04,16,6,Burrow,0.3959999999999999,0.3959999999999999
WAS,-1.526,J.Daniels,0.465,1.33,-1.817,-1.239,-0.094,3.339,6.33,1.319,23,-1.3,-5.43,27,-4,Daniels,-0.22599999999999998,0.22599999999999998
TB,-2.253,B.Mayfield,1.0,-0.0,-2.135,-2.227,-0.602,1.764,2.78,-0.454,19,-0.64,-1.4,21,-2,Mayfield,-1.613,1.613
MIA,-2.712,M.Willis,0.0,1.176,-1.143,-3.713,-1.603,1.114,2.163,1.433,29,-3.54,-5.46,28,1,Willis,0.8279999999999998,0.8279999999999998
DAL,-3.67,D.Prescott,0.908,0.552,-4.271,-3.053,-1.536,6.472,9.573,0.232,21,-1.13,-1.01,20,1,Prescott,-2.54,2.54
ARI,-4.2,J.Brissett,0.653,-0.57,-5.598,-2.978,1.965,-0.416,4.693,-2.12,25,-2.42,-4.4,26,-1,Brissett,-1.7800000000000002,1.7800000000000002
CAR,-4.602,B.Young,0.92,0.011,-6.179,-3.232,0.038,-1.788,4.595,0.096,26,-2.7,-3.79,24,2,Young,-1.9020000000000001,1.9020000000000001
NYG,-5.008,J.Dart,0.626,0.717,-5.331,-4.526,-0.224,0.458,4.874,-0.886,30,-3.58,-3.53,23,7,Dart,-1.428,1.428
NO,-5.029,T.Shough,0.514,0.752,-6.266,-3.884,-1.634,-2.924,-0.643,-2.792,24,-1.72,-4.37,25,-1,Shough,-3.309,3.309
CLE,-7.205,D.Watson,0.051,0.146,-8.141,-6.17,-0.718,-8.785,-2.558,-1.397,28,-3.27,-6.94,29,-1,Watson,-3.935,3.935
NYJ,-7.225,G.Smith,0.0,1.601,-9.66,-5.104,0.157,-4.253,7.383,1.429,32,-5.11,-9.26,32,0,Smith,-2.1149999999999993,2.1149999999999993
LV,-7.617,K.Cousins,0.0,1.1,-10.654,-5.04,-0.19,-8.307,0.702,-1.489,27,-3.16,-8.15,30,-3,Cousins,-4.457,4.457
TEN,-8.419,C.Ward,0.783,-0.038,-10.034,-6.833,1.211,-6.218,6.049,0.871,31,-4.46,-8.19,31,0,Ward,-3.9590000000000005,3.9590000000000005
