Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Pressured,Quick_Game_Proxy,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,Vs_Man,Vs_Zone
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,25.0,25.0,28.125,40.625,18.75,62.5,21.875,50.0,50.0,75.0,37.5,78.125,25.0,,21.875,87.5,18.75,28.125,56.25,84.375,68.75,68.75,56.25,90.625,16.129032258064516,18.75,71.875,43.75,21.875,81.25,68.75,87.5,,65.625,62.5,31.25,50.0,65.625
ATL,31.25,3.125,21.875,9.375,31.25,37.5,40.625,25.0,12.5,62.5,56.25,12.5,46.875,50.0,18.75,40.625,15.625,6.25,37.5,56.25,34.375,59.375,53.125,40.625,70.96774193548387,31.25,50.0,37.5,28.125,31.25,53.125,68.75,,71.875,18.75,46.875,78.125,28.125
BAL,28.125,78.125,87.5,75.0,93.75,40.625,25.0,87.5,28.125,87.5,100.0,62.5,96.875,,71.875,78.125,62.5,87.5,50.0,100.0,100.0,100.0,100.0,37.5,54.83870967741935,100.0,96.875,96.875,84.375,65.625,96.875,100.0,44.44444444444444,62.5,96.875,93.75,87.5,100.0
BUF,65.625,6.25,56.25,31.25,65.625,12.5,59.375,6.25,31.25,21.875,31.25,56.25,84.375,,31.25,90.625,3.125,18.75,34.375,87.5,93.75,96.875,90.625,68.75,67.74193548387096,43.75,87.5,68.75,100.0,84.375,100.0,96.875,77.77777777777777,100.0,31.25,65.625,75.0,96.875
CAR,6.25,12.5,3.125,12.5,28.125,6.25,43.75,43.75,46.875,90.625,12.5,6.25,3.125,,53.125,9.375,25.0,62.5,6.25,59.375,28.125,34.375,21.875,3.125,51.61290322580645,28.125,21.875,15.625,53.125,9.375,84.375,59.375,,3.125,25.0,56.25,28.125,15.625
CHI,15.625,53.125,40.625,53.125,50.0,9.375,46.875,78.125,18.75,15.625,46.875,87.5,34.375,,25.0,84.375,21.875,90.625,31.25,12.5,18.75,15.625,12.5,31.25,6.451612903225806,9.375,62.5,28.125,15.625,28.125,56.25,46.875,33.33333333333333,40.625,65.625,15.625,6.25,25.0
CIN,37.5,65.625,15.625,21.875,15.625,53.125,75.0,65.625,15.625,18.75,15.625,21.875,18.75,,28.125,34.375,71.875,34.375,15.625,93.75,84.375,90.625,87.5,62.5,58.064516129032256,96.875,93.75,81.25,87.5,87.5,75.0,71.875,,93.75,87.5,90.625,71.875,93.75
CLE,34.375,43.75,62.5,56.25,37.5,50.0,81.25,81.25,56.25,12.5,65.625,46.875,56.25,,87.5,81.25,37.5,78.125,28.125,3.125,3.125,3.125,3.125,15.625,3.225806451612903,6.25,3.125,6.25,12.5,3.125,12.5,15.625,,12.5,3.125,3.125,9.375,3.125
