Team,Origin_TZ,General Away Rating,EST Diff,CST Diff,MST Diff,PST Diff
BAL,EST,7.79,-0.37,0.8,-1.75,1.06
SEA,PST,7.14,-0.02,-5.27,1.88,1.04
LA,PST,4.84,-0.39,-5.85,5.26,3.11
SF,PST,4.1,-0.77,-7.54,-1.36,5.0
DET,EST,3.21,1.27,-0.04,3.63,-5.19
HOU,CST,3.12,1.68,-2.44,-9.46,-0.39
BUF,EST,2.66,-0.15,-1.55,1.34,6.63
NE,EST,1.75,0.04,1.33,0.98,-2.23
PHI,EST,1.55,1.21,-2.26,4.84,3.9
GB,CST,0.57,0.76,-1.32,-1.43,6.19
LAC,PST,0.08,-2.32,3.12,-2.94,4.2
CIN,EST,0.03,1.61,-0.42,-9.73,-0.85
JAX,EST,-0.2,-1.81,0.98,0.97,0.49
KC,CST,-0.31,5.02,-7.98,-6.8,-0.11
DEN,MST,-0.46,-1.18,0.8,,0.85
CHI,CST,-0.67,1.5,-0.93,-15.62,-1.32
TB,EST,-0.8,-2.07,6.7,6.76,-2.02
MIN,CST,-0.83,1.23,2.92,2.65,-8.07
IND,EST,-1.29,-4.22,1.21,-3.6,4.66
PIT,EST,-1.78,-0.01,0.0,3.42,-0.54
NO,CST,-2.0,2.2,-1.83,2.61,-8.3
ARI,MST,-2.02,-3.26,-0.95,,2.96
ATL,EST,-2.45,-1.68,6.08,-1.21,-1.36
WAS,EST,-2.83,3.04,-7.61,12.59,11.96
CAR,EST,-3.36,1.13,-3.25,-3.04,2.31
NYJ,EST,-3.7,-0.95,3.03,-4.28,-0.45
DAL,CST,-3.91,-0.81,0.23,-3.98,7.57
NYG,EST,-4.49,-3.54,0.57,3.64,10.47
LV,PST,-5.22,-4.51,1.89,1.41,4.49
MIA,EST,-5.85,2.46,4.1,3.71,-6.26
TEN,CST,-6.83,-2.25,1.62,5.03,1.35
CLE,EST,-7.87,-0.14,-6.63,1.95,8.22
