EntryName,Status,Week_1,Week_2
000ST-1,Alive,JAC,SF
0xgug-1,Eliminated,JAC,TB
0xgug-2,Alive,JAC,CAR
0xgug-3,Alive,JAC,PHI
0xgug-4,Eliminated,PIT,TB
0xgug-5,Alive,JAC,CAR
0xgug-6,Eliminated,JAC,TB
0xgug-7,Eliminated,PIT,TB
0xgug-8,Alive,PIT,SF
0xgug-11,Alive,LV,SF
101-Ways-1,Eliminated,PIT,TB
15mcgra15-1,Eliminated,LV,TB
17JA17-1,Eliminated,PIT,TB
1btmCO-1,Eliminated,PIT,TB
1btmCO-2,Alive,PIT,PHI
1btmCO-3,Alive,PIT,PHI
1btmCO-4,Alive,PIT,PHI
1btmCO-5,Eliminated,PIT,TB
1btmCO-6,Eliminated,PIT,TB
1btmCO-7,Alive,PIT,SF
1btmCO-8,Alive,PIT,SF
1btmCO-9,Alive,PIT,SF
1btmCO-10,Alive,PIT,SF
1btmCO-11,Alive,LV,SF
1btmCO-12,Alive,LV,SF
1btmCO-13,Alive,LV,SF
1btmCO-14,Eliminated,LV,TB
1btmCO-15,Eliminated,LV,TB
1btmCO-16,Eliminated,LV,TB
1btmCO-17,Eliminated,LV,TB
1btmCO-18,Eliminated,LV,TB
1btmCO-19,Eliminated,LV,TB
1btmCO-20,Eliminated,LV,TB
1btmCO-21,Eliminated,JAC,TB
1btmCO-23,Eliminated,NYJ,TB
1btmCO-24,Eliminated,MIN,TB
1btmCO-26,Eliminated,PIT,TB
1btmCO-27,Eliminated,PIT,TB
1btmCO-28,Eliminated,PIT,TB
1btmCO-29,Eliminated,PIT,TB
1btmCO-30,Eliminated,PIT,TB
2001-Odyssey-1,Eliminated,DET,TB
2001-Odyssey-2,Alive,JAC,SF
21million-1,Eliminated,JAC,TB
27BOB27-1,Eliminated,JAC,TB
3mmm-1,Eliminated,JAC,TB
3putt-357-2,Eliminated,PIT,TB
3putt-357-3,Alive,JAC,SF
3putt-357-4,Alive,JAC,SF
4_degens-1,Eliminated,JAC,TB
6ixty-1,Alive,JAC,SF
757sports-1,Alive,PIT,SF
7_Shots-1,Alive,PIT,PHI
810ofclubs-1,Alive,JAC,PHI
810ofclubs-2,Alive,JAC,PHI
810ofclubs-126,Eliminated,DET,TB
810ofclubs-127,Eliminated,DET,TB
810ofclubs-128,Eliminated,DET,TB
810ofclubs-129,Eliminated,DET,TB
810ofclubs-130,Eliminated,DET,TB
810ofclubs-131,Eliminated,DET,TB
810ofclubs-132,Eliminated,DET,TB
810ofclubs-133,Alive,DET,SF
810ofclubs-134,Alive,DET,SF
810ofclubs-135,Alive,DET,SF
810ofclubs-136,Alive,DET,SF
810ofclubs-137,Alive,DET,SF
810ofclubs-138,Alive,DET,SF
810ofclubs-139,Alive,DET,SF
810ofclubs-140,Alive,DET,SF
810ofclubs-141,Eliminated,DET,LAC
810ofclubs-142,Eliminated,DET,LAC
810ofclubs-143,Eliminated,DET,LAC
810ofclubs-144,Eliminated,DET,LAC
810ofclubs-145,Eliminated,DET,LAC
810ofclubs-146,Alive,DET,PHI
810ofclubs-147,Alive,DET,PHI
810ofclubs-148,Alive,DET,PHI
810ofclubs-149,Alive,DET,PHI
810ofclubs-150,Eliminated,DET,BAL
a1chickenlittle-1,Eliminated,PIT,TB
a1exjet-1,Eliminated,DET,BAL
aaron-Bliven-1,Eliminated,JAC,TB
aaron-Bliven-3,Alive,CHI,SF
aaronlabrie15-1,Eliminated,PIT,TB
aaronlabrie15-2,Eliminated,PIT,TB
aaronlabrie15-3,Eliminated,PIT,LAC
aaronlabrie15-4,Eliminated,LV,LAC
Aaron-Li-1,Eliminated,JAC,TB
aBass94-1,Alive,PIT,PHI
abbq-3,Alive,BAL,PHI
abbq-4,Alive,BAL,SF
abbq-5,Alive,BAL,SF
abbq-6,Alive,BAL,PHI
abbq-7,Alive,BAL,LA
abbq-8,Alive,BAL,NE
abbq-9,Alive,BAL,SF
abbq-10,Alive,CHI,PHI
abbq-11,Alive,CHI,KC
abbq-12,Eliminated,CHI,BAL
abbq-13,Alive,CHI,PHI
abbq-14,Eliminated,CHI,TB
abbq-15,Alive,CHI,PHI
abbq-16,Alive,CHI,NE
abbq-17,Alive,CHI,KC
abbq-18,Alive,CHI,PHI
abbq-19,Alive,CIN,SF
abbq-20,Eliminated,CIN,CHI
abbq-21,Eliminated,CIN,CHI
abbq-22,Alive,CIN,PHI
abbq-23,Eliminated,CIN,CHI
abbq-24,Alive,CIN,SF
abbq-25,Eliminated,CIN,LAC
abbq-26,Alive,CIN,DAL
abbq-27,Alive,CIN,GB
abbq-28,Alive,CIN,SF
abbq-29,Eliminated,CIN,BAL
abbq-30,Alive,CIN,KC
abbq-31,Alive,CIN,SF
abbq-32,Alive,CIN,PHI
abbq-33,Eliminated,CIN,BAL
abbq-46,Eliminated,DET,LAC
abbq-47,Alive,DET,PHI
abbq-48,Alive,DET,SF
abbq-49,Alive,DET,LA
abbq-50,Eliminated,DET,BAL
abbq-51,Alive,DET,CAR
abbq-52,Alive,DET,CAR
abbq-53,Alive,DET,SF
abbq-54,Alive,DET,KC
abbq-55,Alive,DET,PHI
abbq-56,Alive,DET,DAL
abbq-57,Alive,DET,KC
abbq-58,Alive,DET,SF
abbq-59,Alive,DET,SF
abbq-60,Alive,JAC,SF
abbq-61,Alive,JAC,KC
abbq-62,Alive,JAC,PHI
abbq-63,Alive,JAC,KC
abbq-64,Alive,JAC,NE
