EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
000ST-1,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-2,Alive,JAC,CAR,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-3,Alive,JAC,PHI,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-4,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
0xgug-5,Alive,JAC,CAR,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-6,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
0xgug-7,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
0xgug-8,Alive,PIT,SF,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
0xgug-11,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
101-Ways-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
15mcgra15-1,Eliminated,LV,TB,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
17JA17-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-2,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-3,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-4,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-5,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-6,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
1btmCO-7,Alive,PIT,SF,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
