User Name,Entry Number,Status,Week 1,Week 2
000ST,1,Alive,Jaguars,49ers
0xgug,2,Alive,Jaguars,Panthers
0xgug,3,Alive,Jaguars,Eagles
0xgug,5,Alive,Jaguars,Panthers
0xgug,8,Alive,Steelers,49ers
0xgug,11,Alive,Raiders,49ers
1btmCO,2,Alive,Steelers,Eagles
1btmCO,3,Alive,Steelers,Eagles
1btmCO,4,Alive,Steelers,Eagles
1btmCO,7,Alive,Steelers,49ers
1btmCO,8,Alive,Steelers,49ers
1btmCO,9,Alive,Steelers,49ers
1btmCO,10,Alive,Steelers,49ers
1btmCO,11,Alive,Raiders,49ers
1btmCO,12,Alive,Raiders,49ers
1btmCO,13,Alive,Raiders,49ers
2001-Odyssey,2,Alive,Jaguars,49ers
3putt-357,3,Alive,Jaguars,49ers
3putt-357,4,Alive,Jaguars,49ers
6ixty,1,Alive,Jaguars,49ers
757sports,1,Alive,Steelers,49ers
7_Shots,1,Alive,Steelers,Eagles
810ofclubs,1,Alive,Jaguars,Eagles
810ofclubs,2,Alive,Jaguars,Eagles
810ofclubs,133,Alive,Lions,49ers
810ofclubs,134,Alive,Lions,49ers
810ofclubs,135,Alive,Lions,49ers
810ofclubs,136,Alive,Lions,49ers
810ofclubs,137,Alive,Lions,49ers
810ofclubs,138,Alive,Lions,49ers
810ofclubs,139,Alive,Lions,49ers
810ofclubs,140,Alive,Lions,49ers
810ofclubs,146,Alive,Lions,Eagles
810ofclubs,147,Alive,Lions,Eagles
810ofclubs,148,Alive,Lions,Eagles
810ofclubs,149,Alive,Lions,Eagles
aaron-Bliven,3,Alive,Bears,49ers
aBass94,1,Alive,Steelers,Eagles
abbq,3,Alive,Ravens,Eagles
abbq,4,Alive,Ravens,49ers
abbq,5,Alive,Ravens,49ers
abbq,6,Alive,Ravens,Eagles
abbq,7,Alive,Ravens,Rams
abbq,8,Alive,Ravens,Patriots
abbq,9,Alive,Ravens,49ers
abbq,10,Alive,Bears,Eagles
abbq,11,Alive,Bears,Chiefs
abbq,13,Alive,Bears,Eagles
abbq,15,Alive,Bears,Eagles
abbq,16,Alive,Bears,Patriots
abbq,17,Alive,Bears,Chiefs
abbq,18,Alive,Bears,Eagles
abbq,19,Alive,Bengals,49ers
abbq,22,Alive,Bengals,Eagles
abbq,24,Alive,Bengals,49ers
abbq,26,Alive,Bengals,Cowboys
abbq,27,Alive,Bengals,Packers
abbq,28,Alive,Bengals,49ers
abbq,30,Alive,Bengals,Chiefs
abbq,31,Alive,Bengals,49ers
abbq,32,Alive,Bengals,Eagles
abbq,47,Alive,Lions,Eagles
abbq,48,Alive,Lions,49ers
abbq,49,Alive,Lions,Rams
abbq,51,Alive,Lions,Panthers
abbq,52,Alive,Lions,Panthers
abbq,53,Alive,Lions,49ers
abbq,54,Alive,Lions,Chiefs
abbq,55,Alive,Lions,Eagles
abbq,56,Alive,Lions,Cowboys
abbq,57,Alive,Lions,Chiefs
abbq,58,Alive,Lions,49ers
abbq,59,Alive,Lions,49ers
abbq,60,Alive,Jaguars,49ers
abbq,61,Alive,Jaguars,Chiefs
abbq,62,Alive,Jaguars,Eagles
abbq,63,Alive,Jaguars,Chiefs
abbq,64,Alive,Jaguars,Patriots
abbq,65,Alive,Jaguars,49ers
abbq,66,Alive,Jaguars,Rams
abbq,67,Alive,Jaguars,Cowboys
abbq,68,Alive,Jaguars,Cowboys
abbq,69,Alive,Jaguars,49ers
abbq,70,Alive,Jaguars,49ers
abbq,71,Alive,Jaguars,Eagles
abbq,72,Alive,Jaguars,Rams
abbq,73,Alive,Jaguars,49ers
abbq,75,Alive,Chiefs,Patriots
abbq,76,Alive,Chiefs,Eagles
abbq,77,Alive,Chiefs,Eagles
abbq,78,Alive,Chiefs,Eagles
abbq,97,Alive,Raiders,49ers
abbq,98,Alive,Raiders,49ers
abbq,99,Alive,Raiders,49ers
abbq,101,Alive,Raiders,Cowboys
abbq,102,Alive,Raiders,Eagles
abbq,103,Alive,Raiders,Eagles
abbq,104,Alive,Raiders,49ers
abbq,105,Alive,Raiders,49ers
abbq,108,Alive,Raiders,49ers
abbq,109,Alive,Raiders,Seahawks
abbq,110,Alive,Raiders,49ers
abbq,112,Alive,Vikings,49ers
abbq,113,Alive,Vikings,49ers
abbq,114,Alive,Vikings,Eagles
abbq,115,Alive,Vikings,Chiefs
abbq,116,Alive,Eagles,Seahawks
abbq,117,Alive,Eagles,49ers
abbq,118,Alive,Eagles,49ers
abbq,119,Alive,Eagles,49ers
abbq,121,Alive,Eagles,49ers
abbq,124,Alive,Eagles,49ers
abbq,125,Alive,Eagles,49ers
abbq,126,Alive,Steelers,Eagles
abbq,128,Alive,Steelers,Rams
abbq,130,Alive,Steelers,Rams
abbq,131,Alive,Steelers,Eagles
abbq,133,Alive,Steelers,Chiefs
abbq,134,Alive,Steelers,Panthers
abbq,135,Alive,Steelers,Eagles
abbq,136,Alive,Steelers,Packers
abbq,138,Alive,Steelers,Eagles
abbq,139,Alive,Steelers,Rams
abbq,140,Alive,Steelers,Eagles
abbq,141,Alive,Steelers,Eagles
abbq,142,Alive,Steelers,Chiefs
abbq,143,Alive,Steelers,49ers
abbq,144,Alive,Steelers,Patriots
abbq,145,Alive,Steelers,Rams
abbq,146,Alive,Steelers,Patriots
abbq,147,Alive,Steelers,Eagles
abbq,148,Alive,Steelers,Patriots
abbq,149,Alive,Steelers,49ers
abbq,150,Alive,Steelers,Eagles
acaneya,1,Alive,Jaguars,49ers
Accorsi,6,Alive,Steelers,49ers
Accorsi,9,Alive,Lions,Eagles
Accorsi,11,Alive,Jaguars,Patriots
acieciura,1,Alive,Eagles,49ers
ackles,2,Alive,Steelers,49ers
acmartinez1,2,Alive,Jaguars,Eagles
acmartinez1,3,Alive,Jaguars,49ers
ACRISURE-GLORY,1,Alive,Eagles,49ers
actionjoe,1,Alive,Steelers,49ers
actionjoe,2,Alive,Steelers,49ers
actionjoe,3,Alive,Steelers,49ers
actionjoe,4,Alive,Steelers,49ers
actionjoe,5,Alive,Steelers,49ers
actionjoe,6,Alive,Steelers,49ers
actionjoe,7,Alive,Steelers,49ers
actionjoe,8,Alive,Steelers,49ers
actionjoe,9,Alive,Steelers,49ers
actionjoe,10,Alive,Steelers,49ers
actionjoe,11,Alive,Steelers,49ers
actionjoe,12,Alive,Steelers,49ers
actionjoe,13,Alive,Steelers,49ers
actionjoe,14,Alive,Steelers,49ers
actionjoe,15,Alive,Steelers,49ers
actionjoe,16,Alive,Steelers,49ers
actionjoe,17,Alive,Steelers,49ers
actionjoe,18,Alive,Steelers,49ers
actionjoe,19,Alive,Steelers,49ers
actionjoe,20,Alive,Steelers,49ers
actionjoe,21,Alive,Steelers,49ers
actionjoe,22,Alive,Steelers,49ers
actionjoe,23,Alive,Steelers,49ers
actionjoe,24,Alive,Steelers,49ers
actionjoe,25,Alive,Steelers,49ers
actionjoe,26,Alive,Steelers,49ers
actionjoe,27,Alive,Steelers,49ers
actionjoe,28,Alive,Steelers,49ers
actionjoe,29,Alive,Steelers,49ers
actionjoe,30,Alive,Steelers,49ers
actionjoe,31,Alive,Steelers,49ers
actionjoe,36,Alive,Steelers,49ers
actionjoe,37,Alive,Steelers,49ers
actionjoe,38,Alive,Steelers,49ers
actionjoe,39,Alive,Steelers,49ers
actionjoe,40,Alive,Steelers,49ers
actionjoe,41,Alive,Steelers,Rams
actionjoe,42,Alive,Steelers,Rams
actionjoe,45,Alive,Steelers,49ers
actionjoe,47,Alive,Lions,49ers
actionjoe,48,Alive,Lions,49ers
actionjoe,49,Alive,Lions,49ers
actionjoe,50,Alive,Lions,49ers
actionjoe,51,Alive,Lions,49ers
actionjoe,52,Alive,Lions,49ers
actionjoe,53,Alive,Lions,49ers
actionjoe,54,Alive,Lions,49ers
actionjoe,55,Alive,Lions,49ers
actionjoe,56,Alive,Lions,49ers
actionjoe,57,Alive,Lions,49ers
actionjoe,58,Alive,Lions,49ers
actionjoe,59,Alive,Lions,49ers
actionjoe,60,Alive,Lions,49ers
actionjoe,61,Alive,Lions,49ers
actionjoe,62,Alive,Lions,49ers
actionjoe,63,Alive,Lions,49ers
actionjoe,64,Alive,Lions,49ers
actionjoe,65,Alive,Lions,49ers
actionjoe,66,Alive,Lions,49ers
actionjoe,70,Alive,Lions,49ers
actionjoe,71,Alive,Lions,49ers
actionjoe,72,Alive,Lions,49ers
actionjoe,73,Alive,Lions,49ers
actionjoe,74,Alive,Lions,49ers
actionjoe,75,Alive,Lions,49ers
actionjoe,76,Alive,Lions,49ers
actionjoe,77,Alive,Lions,49ers
actionjoe,78,Alive,Lions,49ers
actionjoe,80,Alive,Lions,49ers
actionjoe,86,Alive,Lions,49ers
actionjoe,87,Alive,Lions,49ers
actionjoe,89,Alive,Lions,49ers
actionjoe,90,Alive,Lions,49ers
actionjoe,91,Alive,Lions,49ers
actionjoe,92,Alive,Lions,49ers
actionjoe,93,Alive,Lions,49ers
actionjoe,94,Alive,Lions,49ers
actionjoe,95,Alive,Lions,49ers
actionjoe,96,Alive,Lions,49ers
actionjoe,97,Alive,Lions,49ers
